T,Dose,Replicate,Time,Oxygen,Well
15,0.0125,A,0.03,15.12,A1
15,0.0125,A,1.05,14.99,A1
15,0.0125,A,2.05,14.85,A1
15,0.0125,A,3.05,14.74,A1
15,0.0125,A,4.05,14.65,A1
15,0.0125,A,5.05,14.56,A1
15,0.0125,A,6.05,14.41,A1
15,0.0125,A,7.05,14.29,A1
15,0.0125,A,8.05,14.16,A1
15,0.0125,A,9.05,14.06,A1
15,0.0125,A,10.05,13.98,A1
15,0.0125,A,11.05,13.91,A1
15,0.0125,A,12.05,13.84,A1
15,0.0125,A,13.05,13.74,A1
15,0.0125,A,14.05,13.65,A1
15,0.0125,A,15.05,13.58,A1
15,0.0125,A,16.05,13.54,A1
15,0.0125,A,17.05,13.51,A1
15,0.0125,A,18.05,13.47,A1
15,0.0125,A,19.05,13.44,A1
15,0.0125,A,20.05,13.33,A1
15,0.0125,A,21.05,13.32,A1
15,0.0125,A,22.05,13.26,A1
15,0.0125,A,23.07,13.26,A1
15,0.0125,A,24.07,13.26,A1
15,0.0125,A,25.07,13.25,A1
15,0.0125,A,26.07,13.21,A1
15,0.0125,A,27.07,13.14,A1
15,0.0125,A,28.07,13.13,A1
15,0.0125,A,29.08,13.11,A1
15,0.0125,A,30.08,13.09,A1
15,0.0125,A,31.08,13.11,A1
15,0.0125,A,32.08,13.09,A1
15,0.0125,A,33.08,13.09,A1
15,0.0125,A,34.08,13.02,A1
15,0.0125,A,35.1,13.0,A1
15,0.0125,A,36.1,12.99,A1
15,0.0125,A,37.1,12.99,A1
15,0.0125,A,38.1,13.0,A1
15,0.0125,A,39.1,13.0,A1
15,0.0125,A,40.1,12.97,A1
15,0.0125,A,41.12,12.92,A1
15,0.0125,A,42.12,12.92,A1
15,0.0125,A,43.13,12.92,A1
15,0.0125,A,44.13,12.9,A1
15,0.0125,A,45.13,12.92,A1
15,0.0125,A,46.13,12.9,A1
15,0.0125,A,47.13,12.9,A1
15,0.0125,A,48.13,12.85,A1
15,0.0125,A,49.13,12.85,A1
15,0.0125,A,50.13,12.81,A1
15,0.0125,A,51.13,12.85,A1
15,0.0125,A,52.13,12.85,A1
15,0.0125,A,53.13,12.85,A1
15,0.0125,A,54.13,12.83,A1
15,0.0125,A,55.13,12.81,A1
15,0.0125,A,56.13,12.8,A1
15,0.0125,A,57.13,12.78,A1
15,0.0125,A,58.13,12.8,A1
15,0.0125,A,59.13,12.78,A1
