Time,T,Control_R1,Control_R2,Control_R3,0.0125_R1,0.0125_R2,0.0125_R3,0.025_R1,0.025_R2,0.025_R3,0.05_R1,0.05_R2,0.05_R3,0.075_R1,0.075_R2,0.075_R3,0.1_R1,0.1_R2,0.1_R3
0.03,15,15.34,14.83,14.83,14.81,15.52,15.84,14.86,14.63,15.06,14.7,14.39,14.45,12.81,15.67,14.11,14.22,15.38,16.14
1.05,15,15.19,14.68,14.68,14.68,15.49,15.76,14.72,14.56,15.01,14.56,14.32,14.39,12.68,15.62,14.02,13.98,15.27,16.04
2.05,15,15.08,14.61,14.59,14.57,15.43,15.69,14.57,14.48,14.95,14.47,14.29,14.34,12.56,15.54,13.95,13.79,15.16,15.97
3.05,15,15.01,14.52,14.52,14.48,15.41,15.62,14.45,14.43,14.9,14.34,14.23,14.29,12.49,15.52,13.91,13.63,15.08,15.91
4.05,15,14.94,14.45,14.45,14.41,15.36,15.56,14.36,14.38,14.88,14.22,14.2,14.22,12.4,15.47,13.86,13.53,14.99,15.84
5.05,15,14.86,14.38,14.36,14.34,15.27,15.5,14.23,14.32,14.79,14.11,14.13,14.13,12.32,15.41,13.81,13.42,14.9,15.78
6.05,15,14.74,14.27,14.27,14.25,15.21,15.43,14.09,14.25,14.77,13.97,14.09,14.04,12.24,15.36,13.75,13.3,14.81,15.71
7.05,15,14.63,14.23,14.2,14.18,15.16,15.38,13.98,14.23,14.75,13.79,14.07,13.97,12.17,15.32,13.72,13.23,14.75,15.65
8.05,15,14.52,14.14,14.13,14.11,15.08,15.32,13.91,14.16,14.7,13.68,13.98,13.91,12.12,15.27,13.67,13.16,14.68,15.63
9.05,15,14.43,14.09,14.06,14.04,15.01,15.27,13.81,14.13,14.63,13.56,13.95,13.81,12.07,15.23,13.61,13.09,14.61,15.56
10.05,15,14.36,14.04,13.98,13.97,14.94,15.21,13.75,14.07,14.61,13.46,13.93,13.74,12.03,15.19,13.58,13.04,14.56,15.5
11.05,15,14.3,14.0,13.95,13.91,14.86,15.17,13.67,14.02,14.59,13.39,13.86,13.68,11.98,15.16,13.53,13.02,14.5,15.45
12.05,15,14.25,13.95,13.93,13.84,14.81,15.08,13.58,14.0,14.54,13.3,13.82,13.61,11.93,15.12,13.49,12.97,14.47,15.45
13.05,15,14.14,13.9,13.84,13.79,14.77,15.06,13.53,13.97,14.52,13.16,13.81,13.56,11.88,15.08,13.46,12.94,14.41,15.41
14.05,15,14.07,13.82,13.79,13.72,14.7,15.01,13.44,13.91,14.47,13.07,13.75,13.49,11.83,15.03,13.42,12.88,14.36,15.38
15.05,15,14.02,13.81,13.75,13.67,14.63,14.95,13.39,13.88,14.45,12.99,13.72,13.4,11.8,14.99,13.37,12.88,14.3,15.32
16.05,15,14.0,13.75,13.68,13.63,14.57,14.9,13.33,13.84,14.41,12.94,13.68,13.35,11.77,14.95,13.33,12.88,14.25,15.28
17.05,15,13.97,13.7,13.68,13.58,14.52,14.86,13.32,13.81,14.36,12.92,13.65,13.32,11.77,14.94,13.3,12.87,14.22,15.25
18.05,15,13.95,13.67,13.65,13.53,14.45,14.81,13.28,13.75,14.34,12.87,13.61,13.23,11.72,14.92,13.25,12.83,14.18,15.25
19.05,15,13.88,13.63,13.6,13.47,14.39,14.75,13.21,13.72,14.27,12.8,13.54,13.19,11.67,14.83,13.21,12.8,14.13,15.19
