"Time","T","V_R1A1","P2_R1B1","S_R1C1","P2S_R1D1","V_R1A2","P2_R1B2","S_R1C2","P2S_R1D2","V_R1A3","P2_R1B3","S_R1C3","P2S_R1D3","V_R1A4","P4_R1B4","S_R1C4","P4S_R1D4","V_R1A5","P4_R1B5","S_R1C5","P4S_R1D5","bV_R1A6","P4_R1B6","bS_R1C6","P4S_R1D6","V_R2A1","P2_R2B1","S_R2C1","P2S_R2D1","V_R2A2","P2_R2B2","S_R2C2","P2S_R2D2","V_R2A3","P2_R2B3","S_R2C3","P2S_R2D3","V_R2A4","P4_R2B4","S_R2C4","P4S_R2D4","V_R2A5","P4_R2B5","S_R2C5","P4S_R2D5","bV_R2A6","P4_R2B6","bS_R2C6","P4S_R2D6","V_R3A1","P2_R3B1","S_R3C1","P2S_R3D1","V_R3A2","P2_R3B2","S_R3C2","P2S_R3D2","V_R3A3","P2_R3B3","S_R3C3","P2S_R3D3","V_R3A4","P4_R3B4","S_R3C4","P4S_R3D4","V_R3A5","P4_R3B5","S_R3C5","P4S_R3D5","bV_R3A6","P4_R3B6","bS_R3C6","P4S_R3D6"
0.03,15,13.63,13.26,14.14,15.12,14.06,14.2,11.9,12.39,14.81,12.9,14.83,13.42,12.87,12.73,12.97,13.56,13.63,15.43,13.81,13.51,13.58,13.6,12.78,12.18,14.02,13.84,13.56,15.32,13.63,15.34,15.16,14.83,14.16,15.82,14.39,13.44,12.85,14.38,13.77,14.65,14.86,13.51,14.61,13.88,14.16,13.79,13.07,14.45,15.49,13.6,13.18,13.82,15.65,17.15,14.95,13.95,14.38,14.61,14.56,14.83,16.35,14.48,13.39,14.36,14.99,13.97,14.04,13.51,14.45,13.67,12.68,14.5
1.03,15,13.3,12.92,13.84,14.83,13.72,13.88,11.65,12.12,14.48,12.59,14.54,13.13,12.54,12.35,12.69,13.28,13.32,15.08,13.51,13.21,13.25,13.28,12.49,11.87,13.6,13.44,13.18,14.94,13.26,15.03,14.81,14.43,13.82,15.49,14.04,13.07,12.49,14.02,13.42,14.3,14.43,13.13,14.23,13.53,13.75,13.42,12.69,13.98,15.14,13.26,12.83,13.51,15.28,16.86,14.68,13.65,13.98,14.3,14.27,14.5,15.99,14.14,13.09,14.06,14.65,13.65,13.7,13.18,14.06,13.3,12.35,14.14
2.05,15,13.07,12.71,13.68,14.65,13.51,13.68,11.48,11.95,14.25,12.4,14.39,12.97,12.3,12.07,12.54,13.14,13.13,14.9,13.35,13.04,13.07,13.07,12.35,11.7,13.25,13.14,12.92,14.65,13,14.77,14.61,14.22,13.6,15.3,13.84,12.85,12.25,13.82,13.23,14.11,14.18,12.94,14.02,13.3,13.46,13.18,12.46,13.74,14.88,13,12.56,13.26,15.06,16.67,14.52,13.47,13.77,14.13,14.11,14.34,15.78,13.95,12.92,13.88,14.43,13.47,13.54,12.95,13.81,13.09,12.18,13.93
3.05,15,12.83,12.49,13.51,14.47,13.25,13.47,11.32,11.78,14.02,12.2,14.23,12.76,12.07,11.8,12.37,12.99,12.88,14.66,13.19,12.87,12.87,12.88,12.18,11.52,12.97,12.9,12.69,14.39,12.76,14.59,14.43,14.02,13.39,15.12,13.68,12.69,12.03,13.67,13.07,13.9,13.97,12.78,13.86,13.13,13.23,12.99,12.27,13.49,14.66,12.83,12.27,13,14.86,16.53,14.38,13.28,13.56,13.98,13.97,14.18,15.6,13.81,12.81,13.74,14.23,13.33,13.42,12.8,13.6,12.9,12.03,13.75
4.05,15,12.64,12.34,13.4,14.36,13.09,13.35,11.2,11.68,13.84,12.07,14.13,12.64,11.9,11.67,12.25,12.9,12.73,14.54,13.09,12.71,12.69,12.73,12.07,11.37,12.71,12.69,12.51,14.18,12.59,14.43,14.29,13.84,13.19,15.01,13.6,12.52,11.88,13.53,12.95,13.77,13.77,12.63,13.72,12.97,13.04,12.8,12.12,13.3,14.52,12.66,12.02,12.81,14.72,16.4,14.29,13.16,13.4,13.86,13.88,14.06,15.45,13.68,12.71,13.61,14.09,13.19,13.32,12.66,13.42,12.76,11.92,13.6
5.05,15,12.52,12.2,13.28,14.25,12.94,13.21,11.12,11.57,13.72,11.95,14.02,12.47,11.77,11.55,12.17,12.81,12.59,14.39,12.99,12.61,12.56,12.61,12,11.25,12.56,12.54,12.39,14.06,12.46,14.32,14.2,13.74,13.07,14.92,13.51,12.44,11.77,13.44,12.88,13.67,13.67,12.56,13.65,12.88,12.88,12.69,12.02,13.16,14.39,12.54,11.82,12.64,14.59,16.31,14.18,13.07,13.3,13.79,13.82,13.98,15.32,13.6,12.66,13.54,13.95,13.11,13.26,12.56,13.3,12.68,11.83,13.47
6.07,15,12.4,12.1,13.19,14.14,12.8,13.11,11.04,11.5,13.6,11.82,13.93,12.39,11.63,11.47,12.07,12.76,12.46,14.29,12.9,12.54,12.42,12.51,11.9,11.19,12.4,12.44,12.25,13.93,12.35,14.23,14.11,13.63,12.95,14.83,13.46,12.35,11.65,13.37,12.81,13.56,13.54,12.47,13.58,12.78,12.75,12.58,11.92,13.02,14.27,12.42,11.63,12.49,14.47,16.19,14.09,12.97,13.18,13.68,13.74,13.88,15.21,13.53,12.58,13.46,13.84,13.02,13.18,12.46,13.18,12.56,11.75,13.35
7.07,15,12.29,11.98,13.11,14.06,12.69,13,10.94,11.4,13.49,11.72,13.82,12.29,11.5,11.38,11.97,12.68,12.34,14.18,12.8,12.44,12.34,12.39,11.82,11.05,12.29,12.34,12.17,13.84,12.24,14.14,14.06,13.56,12.85,14.75,13.39,12.29,11.57,13.3,12.78,13.47,13.44,12.39,13.51,12.69,12.64,12.49,11.83,12.94,14.18,12.32,11.5,12.34,14.38,16.14,14.04,12.88,13.09,13.65,13.68,13.82,15.12,13.46,12.52,13.39,13.75,12.97,13.13,12.39,13.07,12.47,11.68,13.25
8.07,15,12.15,11.9,13,13.97,12.56,12.9,10.89,11.32,13.37,11.6,13.75,12.17,11.37,11.28,11.88,12.63,12.2,14.07,12.73,12.3,12.22,12.29,11.72,10.97,12.12,12.2,12.07,13.7,12.1,14.04,13.97,13.44,12.73,14.66,13.33,12.2,11.47,13.21,12.69,13.37,13.35,12.3,13.42,12.59,12.51,12.37,11.75,12.8,14.06,12.22,11.33,12.18,14.3,16.03,13.97,12.8,12.99,13.56,13.63,13.75,15.05,13.39,12.47,13.33,13.65,12.9,13.06,12.3,12.97,12.39,11.62,13.16
9.07,15,12.05,11.78,12.94,13.88,12.46,12.81,10.79,11.25,13.26,11.5,13.68,12.1,11.27,11.22,11.8,12.56,12.1,13.97,12.66,12.27,12.1,12.22,11.68,10.87,12,12.13,11.98,13.58,12.05,13.95,13.91,13.37,12.63,14.61,13.32,12.13,11.38,13.16,12.68,13.32,13.25,12.25,13.39,12.52,12.42,12.3,11.68,12.71,13.95,12.1,11.15,12.07,14.18,15.91,13.9,12.71,12.88,13.51,13.56,13.68,14.94,13.32,12.4,13.28,13.53,12.81,13.02,12.24,12.87,12.32,11.57,13.06
