Time,T,Control_R1,Control_R2,Control_R3,0.0125_R1,0.0125_R2,0.0125_R3,0.025_R1,0.025_R2,0.025_R3,0.05_R1,0.05_R2,0.05_R3,0.1_R1,0.1_R2,0.1_R3,0.2_R1,0.2_R2,0.2_R3,0.35_R1,0.35_R2,0.35_R3
0.03,15,14.06,13.53,15.34,15.12,16.06,13.7,15.5,14.25,16.4,14.54,15.45,15.86,14.75,13.82,15.17,15.39,13.46,14.74,13.82,16.48,16.29
1.05,15,13.95,13.44,15.19,14.99,16.04,13.6,15.38,14.22,16.35,14.45,15.41,15.91,14.68,13.81,15.12,15.25,13.4,14.7,13.74,16.44,16.29
2.05,15,13.81,13.33,15.08,14.85,16.01,13.51,15.25,14.18,16.31,14.29,15.36,15.93,14.57,13.77,15.1,15.12,13.33,14.65,13.63,16.42,16.23
3.05,15,13.7,13.25,15.01,14.74,15.93,13.4,15.12,14.11,16.23,14.18,15.32,15.91,14.5,13.74,15.05,14.97,13.3,14.61,13.51,16.38,16.16
4.05,15,13.61,13.18,14.94,14.65,15.86,13.37,15.03,14.09,16.19,14.09,15.28,15.86,14.41,13.7,15.03,14.88,13.26,14.59,13.42,16.35,16.08
5.05,15,13.54,13.11,14.86,14.56,15.78,13.3,14.92,14.04,16.14,13.97,15.25,15.82,14.32,13.67,14.99,14.72,13.23,14.56,13.35,16.27,16.01
6.05,15,13.42,13.0,14.74,14.41,15.67,13.21,14.79,13.97,16.06,13.84,15.17,15.73,14.22,13.6,14.95,14.57,13.18,14.5,13.26,16.19,15.91
7.05,15,13.37,12.95,14.63,14.29,15.54,13.16,14.7,13.93,16.04,13.74,15.14,15.69,14.14,13.6,14.94,14.47,13.16,14.5,13.19,16.18,15.88
8.05,15,13.3,12.87,14.52,14.16,15.38,13.09,14.63,13.88,15.99,13.61,15.1,15.6,14.02,13.51,14.88,14.32,13.13,14.45,13.11,16.1,15.78
9.05,15,13.23,12.8,14.43,14.06,15.25,13.0,14.52,13.81,15.91,13.49,15.03,15.5,13.93,13.47,14.86,14.22,13.09,14.41,13.02,16.03,15.67
10.05,15,13.18,12.73,14.36,13.98,15.16,12.97,14.43,13.74,15.86,13.39,14.97,15.41,13.84,13.42,14.83,14.13,13.07,14.38,12.95,15.95,15.62
11.05,15,13.14,12.69,14.3,13.91,15.08,12.94,14.38,13.68,15.84,13.33,14.94,15.34,13.77,13.4,14.81,14.0,13.04,14.36,12.9,15.88,15.56
12.05,15,13.09,12.64,14.25,13.84,14.97,12.88,14.29,13.63,15.76,13.23,14.88,15.25,13.67,13.33,14.75,13.93,13.0,14.32,12.83,15.82,15.47
13.05,15,13.04,12.58,14.14,13.74,14.86,12.83,14.2,13.58,15.75,13.14,14.83,15.16,13.61,13.3,14.75,13.82,12.97,14.27,12.78,15.75,15.39
14.05,15,12.97,12.49,14.07,13.65,14.74,12.76,14.13,13.49,15.69,13.02,14.77,15.06,13.49,13.26,14.72,13.74,12.95,14.23,12.69,15.69,15.32
15.05,15,12.94,12.47,14.02,13.58,14.65,12.73,14.06,13.44,15.63,12.95,14.74,14.97,13.42,13.21,14.66,13.67,12.94,14.22,12.63,15.58,15.27
16.05,15,12.9,12.42,14.0,13.54,14.57,12.69,13.98,13.37,15.62,12.9,14.66,14.9,13.35,13.16,14.65,13.61,12.88,14.18,12.58,15.54,15.17
17.05,15,12.87,12.39,13.97,13.51,14.54,12.68,13.95,13.32,15.58,12.81,14.61,14.81,13.32,13.11,14.61,13.56,12.88,14.14,12.54,15.49,15.12
18.05,15,12.83,12.35,13.95,13.47,14.5,12.64,13.88,13.25,15.52,12.8,14.56,14.72,13.26,13.07,14.57,13.53,12.83,14.09,12.49,15.41,15.06
19.05,15,12.8,12.34,13.88,13.44,14.45,12.61,13.86,13.21,15.5,12.75,14.54,14.66,13.23,13.04,14.56,13.49,12.81,14.07,12.47,15.38,15.03
20.05,15,12.73,12.25,13.81,13.33,14.34,12.54,13.81,13.13,15.41,12.66,14.47,14.54,13.13,12.97,14.52,13.39,12.76,14.02,12.39,15.28,14.95
21.05,15,12.71,12.22,13.79,13.32,14.27,12.52,13.77,13.06,15.39,12.61,14.43,14.45,13.07,12.95,14.5,13.35,12.75,14.04,12.37,15.27,14.9
22.05,15,12.68,12.18,13.77,13.26,14.25,12.51,13.74,12.99,15.34,12.58,14.39,14.36,13.06,12.9,14.47,13.33,12.73,13.97,12.32,15.17,14.85
23.07,15,12.64,12.15,13.79,13.26,14.23,12.47,13.68,12.94,15.32,12.52,14.34,14.27,13.0,12.85,14.43,13.28,12.71,13.95,12.29,15.12,14.79
24.07,15,12.61,12.13,13.77,13.26,14.22,12.46,13.67,12.9,15.3,12.51,14.3,14.22,12.99,12.83,14.39,13.28,12.68,13.91,12.27,15.1,14.77
25.07,15,12.61,12.13,13.75,13.25,14.2,12.46,13.65,12.87,15.28,12.49,14.29,14.16,12.97,12.8,14.39,13.28,12.66,13.88,12.25,15.05,14.74
26.07,15,12.61,12.1,13.74,13.21,14.18,12.44,13.61,12.83,15.27,12.46,14.25,14.09,12.97,12.76,14.38,13.25,12.63,13.86,12.24,15.03,14.74
27.07,15,12.52,12.05,13.65,13.14,14.09,12.37,13.58,12.78,15.21,12.4,14.18,14.0,12.87,12.71,14.34,13.18,12.59,13.82,12.17,14.99,14.66
28.07,15,12.52,12.02,13.67,13.13,14.06,12.37,13.6,12.75,15.19,12.37,14.16,13.97,12.85,12.69,14.34,13.16,12.58,13.82,12.15,14.95,14.65
29.08,15,12.51,12.02,13.65,13.11,14.04,12.35,13.56,12.68,15.16,12.32,14.13,13.9,12.81,12.66,14.3,13.13,12.54,13.75,12.12,14.88,14.59
30.08,15,12.49,12.0,13.67,13.09,14.04,12.34,13.54,12.66,15.14,12.32,14.11,13.86,12.8,12.61,14.29,13.14,12.52,13.74,12.12,14.9,14.56
31.08,15,12.47,11.97,13.65,13.11,14.02,12.32,13.51,12.64,15.12,12.29,14.07,13.81,12.8,12.58,14.27,13.11,12.51,13.72,12.1,14.85,14.56
32.08,15,12.47,12.0,13.63,13.09,14.06,12.32,13.51,12.61,15.1,12.29,14.06,13.77,12.78,12.58,14.27,13.13,12.47,13.68,12.08,14.81,14.54
33.08,15,12.47,11.97,13.63,13.09,14.02,12.3,13.49,12.61,15.08,12.27,14.02,13.74,12.76,12.52,14.25,13.09,12.46,13.67,12.07,14.79,14.52
34.08,15,12.42,11.92,13.58,13.02,13.97,12.25,13.47,12.56,15.03,12.24,13.98,13.7,12.73,12.49,14.22,13.06,12.46,13.63,12.03,14.77,14.48
35.1,15,12.4,11.88,13.54,13.0,13.93,12.24,13.46,12.52,15.03,12.18,13.95,13.63,12.69,12.46,14.2,13.0,12.42,13.6,12.0,14.74,14.45
36.1,15,12.39,11.88,13.58,12.99,13.9,12.22,13.44,12.49,14.99,12.17,13.91,13.6,12.66,12.4,14.18,13.0,12.39,13.56,11.98,14.7,14.43
37.1,15,12.39,11.88,13.56,12.99,13.9,12.24,13.46,12.49,14.99,12.17,13.9,13.58,12.66,12.4,14.16,13.02,12.39,13.56,11.98,14.68,14.41
38.1,15,12.37,11.87,13.58,13.0,13.91,12.24,13.4,12.46,14.95,12.15,13.86,13.56,12.66,12.37,14.14,13.0,12.35,13.54,11.98,14.66,14.39
39.1,15,12.39,11.87,13.56,13.0,13.91,12.24,13.42,12.46,14.95,12.13,13.88,13.54,12.64,12.35,14.14,12.99,12.35,13.53,11.98,14.68,14.38
