"Time","T","Control_R1","Control_R2","Control_R3","0.0125_R1","0.0125_R2","0.0125_R3","0.025_R1","0.025_R2","0.025_R3","0.05_R1","0.05_R2","0.05_R3","0.1_R1","0.1_R2","0.1_R3","0.2_R1","0.2_R2","0.2_R3","0.35_R1","0.35_R2","0.35_R3"
0.03,27,9.27,9.36,9.15,9.51,9.25,9.02,9.37,8.98,9.93,8.76,9.98,9.64,9.21,8.93,8.97,8.09,8.82,8.65,10.07,9.57,9.11
1.05,27,9.41,9.47,9.31,9.62,9.35,9.15,9.47,9.06,10.06,8.76,10.06,9.75,9.28,9.02,9.1,8.17,8.87,8.79,10.18,9.69,9.31
2.05,27,9.52,9.54,9.43,9.7,9.44,9.26,9.57,9.16,10.15,8.8,10.15,9.87,9.38,9.11,9.23,8.26,8.93,8.92,10.3,9.83,9.43
3.05,27,9.59,9.61,9.52,9.77,9.52,9.35,9.64,9.22,10.25,8.81,10.21,9.94,9.44,9.19,9.33,8.33,8.98,9.04,10.4,9.94,9.56
4.05,27,9.69,9.69,9.64,9.84,9.61,9.43,9.72,9.32,10.34,8.86,10.27,10.06,9.53,9.27,9.46,8.43,9.04,9.16,10.5,10.04,9.67
5.05,27,9.79,9.78,9.74,9.93,9.68,9.53,9.83,9.39,10.43,8.91,10.35,10.16,9.62,9.36,9.56,8.5,9.11,9.27,10.61,10.17,9.79
6.05,27,9.86,9.82,9.82,9.99,9.74,9.61,9.87,9.46,10.5,8.92,10.4,10.23,9.68,9.43,9.64,8.56,9.15,9.36,10.69,10.25,9.86
7.05,27,9.96,9.88,9.92,10.07,9.83,9.69,9.96,9.53,10.59,8.98,10.48,10.32,9.75,9.51,9.74,8.65,9.2,9.46,10.78,10.36,9.96
8.05,27,10.02,9.93,9.98,10.12,9.89,9.74,10.01,9.59,10.66,9,10.54,10.4,9.82,9.57,9.83,8.7,9.27,9.54,10.84,10.43,10.02
9.05,27,10.07,9.97,10.03,10.18,9.96,9.8,10.09,9.67,10.75,9.03,10.61,10.49,9.88,9.64,9.91,8.76,9.35,9.62,10.92,10.52,10.09
10.05,27,10.15,10.02,10.11,10.23,10.03,9.88,10.13,9.73,10.83,9.08,10.65,10.57,9.94,9.7,9.99,8.83,9.39,9.7,10.99,10.58,10.13
11.05,27,10.2,10.06,10.17,10.29,10.09,9.96,10.21,9.79,10.89,9.12,10.71,10.63,9.99,9.78,10.06,8.91,9.47,9.77,11.05,10.65,10.18
12.05,27,10.26,10.11,10.2,10.34,10.16,10.01,10.25,9.83,10.95,9.2,10.76,10.69,10.04,9.84,10.13,8.95,9.52,9.82,11.1,10.71,10.21
13.05,27,10.29,10.12,10.23,10.38,10.2,10.06,10.3,9.88,11,9.22,10.82,10.76,10.09,9.89,10.16,8.99,9.57,9.87,11.14,10.76,10.21
14.05,27,10.31,10.13,10.3,10.4,10.25,10.11,10.36,9.94,11.08,9.27,10.87,10.82,10.15,9.94,10.23,9.04,9.63,9.92,11.2,10.82,10.25
15.05,27,10.39,10.17,10.34,10.48,10.3,10.16,10.4,9.99,11.13,9.32,10.93,10.88,10.2,10.01,10.3,9.1,9.69,9.98,11.24,10.87,10.27
16.05,27,10.41,10.2,10.36,10.49,10.34,10.21,10.45,10.04,11.18,9.35,10.97,10.93,10.25,10.06,10.31,9.15,9.74,10.02,11.28,10.92,10.29
17.05,27,10.44,10.21,10.41,10.53,10.38,10.25,10.49,10.08,11.21,9.39,11,10.97,10.26,10.11,10.38,9.19,9.78,10.04,11.3,10.97,10.29
18.05,27,10.48,10.23,10.43,10.58,10.43,10.3,10.52,10.13,11.28,9.43,11.05,11.04,10.27,10.15,10.4,9.22,9.82,10.11,11.36,11.01,10.31
