Time,T,Control_R1,Control_R2,Control_R3,0.06_R1,0.06_R2,0.06_R3,0.12_R1,0.12_R2,0.12_R3,0.25_R1,0.25_R2,0.25_R3,0.5_R1,0.5_R2,0.5_R3,1_R1,1_R2,1_R3,2_R1,2_R2,2_R3,4_R1,4_R2,4_R3
0.03,21,10.528,10.247,10.141,10.487,9.724,9.234,10.437,10.366,11.602,8.904,7.864,9.072,9.77,9.078,9.155,10.211,10.503,9.525,9.561,10.641,9.947,10.909,10.63,10.26
1.03,21,10.612,10.221,10.036,10.48,9.652,9.222,10.454,10.358,11.541,9.003,7.871,9.052,9.777,9.121,9.163,10.202,10.498,9.649,9.564,10.687,9.941,10.794,10.565,10.212
2.03,21,10.538,10.235,10.067,10.476,9.691,9.258,10.455,10.308,11.51,8.98,7.846,9.011,9.759,9.09,9.218,10.269,10.452,9.598,9.528,10.593,9.892,10.707,10.603,10.213
3.03,21,10.496,10.318,10.072,10.537,9.703,9.275,10.515,10.305,11.544,8.997,7.821,9.119,9.787,9.076,9.159,10.197,10.502,9.626,9.544,10.642,9.909,10.765,10.598,10.227
4.03,21,10.567,10.24,10.127,10.474,9.696,9.244,10.41,10.369,11.453,9.003,7.854,9.031,9.833,9.107,9.234,10.192,10.475,9.535,9.547,10.59,9.931,10.805,10.641,10.192
5.03,21,10.594,10.236,10.07,10.48,9.836,9.183,10.427,10.379,11.545,8.995,7.913,9.01,9.786,9.077,9.264,10.166,10.475,9.595,9.472,10.624,9.93,10.767,10.591,10.216
6.03,21,10.545,10.237,10.137,10.452,9.73,9.203,10.398,10.348,11.488,9.012,7.83,9.049,9.824,9.153,9.207,10.114,10.511,9.531,9.549,10.662,9.931,10.776,10.609,10.233
7.03,21,10.548,10.202,10.178,10.442,9.789,9.167,10.424,10.4,11.541,8.973,7.872,9.084,9.782,9.117,9.183,10.167,10.387,9.567,9.524,10.632,9.925,10.788,10.597,10.227
8.03,21,10.516,10.214,10.126,10.423,9.668,9.267,10.409,10.315,11.522,8.935,7.837,9.042,9.882,9.166,9.282,10.162,10.426,9.55,9.528,10.709,9.903,10.76,10.623,10.214
9.03,21,10.567,10.233,10.134,10.507,9.709,9.219,10.464,10.306,11.511,8.937,7.859,8.998,9.852,9.112,9.226,10.257,10.39,9.535,9.535,10.605,9.954,10.823,10.586,10.168
10.03,21,10.528,10.192,10.115,10.461,9.722,9.268,10.476,10.336,11.453,8.992,7.867,9.089,9.829,9.136,9.134,10.245,10.45,9.57,9.529,10.635,9.842,10.78,10.585,10.202
11.03,21,10.524,10.304,10.134,10.426,9.74,9.262,10.464,10.329,11.469,8.971,7.868,9.127,9.882,9.142,9.195,10.192,10.448,9.528,9.561,10.674,9.948,10.731,10.672,10.2
12.03,21,10.505,10.3,10.139,10.511,9.711,9.282,10.463,10.382,11.474,8.985,7.85,9.088,9.878,9.183,9.175,10.206,10.424,9.475,9.455,10.619,9.926,10.757,10.616,10.258
13.03,21,10.531,10.261,10.078,10.373,9.77,9.215,10.379,10.35,11.456,8.974,7.816,9.063,9.883,9.2,9.155,10.223,10.408,9.492,9.495,10.655,9.846,10.757,10.603,10.246
14.03,21,10.453,10.268,10.091,10.419,9.726,9.207,10.451,10.335,11.528,9.016,7.82,9.105,9.855,9.08,9.245,10.165,10.482,9.525,9.502,10.675,9.911,10.667,10.622,10.18
15.03,21,10.584,10.299,10.102,10.49,9.746,9.229,10.418,10.293,11.462,9.009,7.888,9.06,9.865,9.077,9.198,10.115,10.419,9.569,9.461,10.641,9.892,10.725,10.653,10.215
16.03,21,10.549,10.245,10.094,10.459,9.74,9.234,10.395,10.316,11.447,8.983,7.784,9.101,9.849,9.131,9.207,10.135,10.408,9.556,9.518,10.589,9.875,10.731,10.64,10.178
17.03,21,10.563,10.233,10.158,10.478,9.769,9.244,10.433,10.281,11.504,8.982,7.822,9.099,9.843,9.091,9.141,10.158,10.396,9.519,9.479,10.543,9.901,10.748,10.68,10.173
18.03,21,10.548,10.305,10.181,10.496,9.751,9.254,10.352,10.341,11.445,9.034,7.847,9.153,9.814,9.109,9.174,10.214,10.436,9.435,9.424,10.628,9.9,10.75,10.616,10.262
19.03,21,10.571,10.208,10.161,10.473,9.677,9.288,10.283,10.302,11.479,9.008,7.903,9.058,9.843,9.117,9.178,10.199,10.396,9.515,9.508,10.63,10.008,10.632,10.61,10.216
20.03,21,10.543,10.293,10.188,10.488,9.725,9.279,10.426,10.359,11.492,8.99,7.808,9.07,9.856,9.101,9.091,10.096,10.462,9.462,9.583,10.595,9.936,10.663,10.572,10.231
21.03,21,10.531,10.215,10.09,10.55,9.778,9.268,10.43,10.266,11.412,9.017,7.859,9.076,9.906,9.174,9.111,10.122,10.396,9.456,9.524,10.587,9.936,10.68,10.594,10.281
22.03,21,10.477,10.241,10.22,10.501,9.689,9.208,10.459,10.258,11.51,9.003,7.803,9.044,9.924,9.11,9.164,10.127,10.409,9.515,9.52,10.568,9.953,10.69,10.569,10.243
23.03,21,10.464,10.274,10.1,10.488,9.777,9.226,10.404,10.283,11.473,9.046,7.879,9.044,9.922,9.11,9.134,10.214,10.368,9.534,9.61,10.546,9.866,10.759,10.523,10.215
24.03,21,10.518,10.265,10.151,10.515,9.791,9.278,10.438,10.246,11.508,8.993,7.81,9.111,9.936,9.19,9.159,10.119,10.432,9.488,9.581,10.553,9.893,10.656,10.535,10.32
25.03,21,10.455,10.328,10.115,10.53,9.833,9.256,10.372,10.323,11.533,9.039,7.875,9.044,9.923,9.145,9.075,10.177,10.318,9.484,9.523,10.538,9.937,10.628,10.602,10.223
26.03,21,10.471,10.347,10.122,10.521,9.762,9.337,10.404,10.273,11.476,9.13,7.838,9.093,9.905,9.11,9.112,10.096,10.405,9.491,9.531,10.688,9.927,10.72,10.527,10.268
27.03,21,10.48,10.338,10.184,10.559,9.803,9.294,10.474,10.27,11.448,9.045,7.779,9.038,9.962,9.089,9.105,10.076,10.346,9.486,9.506,10.605,9.964,10.746,10.498,10.214
28.03,21,10.526,10.308,10.192,10.574,9.863,9.295,10.407,10.251,11.493,9.097,7.817,9.091,9.908,9.184,9.123,10.184,10.386,9.545,9.591,10.624,9.904,10.74,10.674,10.247
29.03,21,10.435,10.367,10.194,10.472,9.836,9.177,10.366,10.242,11.463,9.104,7.799,9.143,9.993,9.182,9.074,10.088,10.399,9.529,9.544,10.579,9.91,10.743,10.557,10.239
30.03,21,10.442,10.238,10.15,10.534,9.844,9.251,10.351,10.254,11.481,9.03,7.829,9.024,9.953,9.154,9.14,10.124,10.323,9.49,9.548,10.588,9.911,10.709,10.614,10.262
31.03,21,10.527,10.27,10.079,10.517,9.835,9.236,10.459,10.255,11.454,9.038,7.807,9.088,9.928,9.13,9.123,10.057,10.353,9.528,9.593,10.553,9.841,10.592,10.585,10.253
