Time,T,Control_R1,Control_R2,Control_R3,0.06_R1,0.06_R2,0.06_R3,0.12_R1,0.12_R2,0.12_R3,0.25_R1,0.25_R2,0.25_R3,0.5_R1,0.5_R2,0.5_R3,1_R1,1_R3,2_R1,2_R2,2_R3,4_R2,4_R3
0.03,27,10.818,10.546,9.324,10.173,8.917,9.086,8.292,8.459,9.657,8.758,9.418,9.412,10.077,10.859,10.284,8.866,9.854,10.395,10.118,8.336,9.219,8.601
1.03,27,10.833,10.541,9.345,10.221,8.832,9.238,8.315,8.431,9.806,8.765,9.451,9.374,10.064,10.855,10.275,8.789,9.835,10.441,10.201,8.365,9.152,8.583
2.03,27,10.789,10.623,9.459,10.136,8.879,9.195,8.32,8.411,9.734,8.684,9.43,9.462,10.086,10.881,10.231,8.869,9.888,10.339,10.145,8.377,9.264,8.618
3.03,27,10.806,10.58,9.416,10.186,8.824,9.176,8.353,8.408,9.769,8.657,9.37,9.42,10.002,10.768,10.251,8.866,9.843,10.392,10.045,8.387,9.194,8.623
4.03,27,10.843,10.619,9.379,10.171,8.811,9.212,8.371,8.443,9.752,8.7,9.461,9.438,10.036,10.827,10.222,8.838,9.853,10.441,10.078,8.371,9.132,8.687
5.03,27,10.778,10.56,9.376,10.198,8.834,9.262,8.356,8.42,9.684,8.668,9.407,9.449,10.032,10.85,10.232,8.872,9.854,10.411,10.111,8.391,9.172,8.58
6.03,27,10.757,10.575,9.386,10.227,8.838,9.227,8.39,8.429,9.714,8.682,9.426,9.473,10.074,10.838,10.294,8.856,9.905,10.469,10.186,8.45,9.259,8.631
7.03,27,10.807,10.641,9.368,10.167,8.874,9.255,8.362,8.464,9.706,8.662,9.428,9.447,10.117,10.866,10.268,8.894,9.942,10.459,10.126,8.385,9.166,8.608
8.03,27,10.777,10.686,9.379,10.203,8.829,9.208,8.406,8.448,9.733,8.666,9.415,9.486,10.062,10.799,10.256,8.763,9.97,10.426,10.096,8.426,9.188,8.573
9.03,27,10.821,10.66,9.316,10.162,8.847,9.23,8.312,8.406,9.759,8.653,9.359,9.418,10.079,10.816,10.226,8.83,9.874,10.395,10.069,8.427,9.221,8.575
10.03,27,10.794,10.747,9.299,10.119,8.824,9.17,8.384,8.409,9.697,8.672,9.427,9.442,10.094,10.787,10.208,8.86,9.86,10.394,10.2,8.424,9.223,8.587
11.03,27,10.726,10.667,9.284,10.168,8.812,9.215,8.343,8.399,9.688,8.634,9.417,9.516,10.091,10.778,10.199,8.862,9.939,10.39,10.157,8.415,9.218,8.651
12.03,27,10.774,10.569,9.307,10.164,8.855,9.211,8.317,8.385,9.695,8.685,9.443,9.414,10.017,10.818,10.184,8.872,9.875,10.37,10.175,8.375,9.166,8.636
13.03,27,10.818,10.668,9.313,10.205,8.839,9.198,8.434,8.398,9.726,8.621,9.418,9.421,10.035,10.704,10.201,8.824,9.945,10.36,10.145,8.366,9.223,8.661
14.03,27,10.864,10.683,9.306,10.129,8.839,9.189,8.453,8.449,9.765,8.594,9.381,9.451,10.007,10.754,10.19,8.725,9.863,10.435,10.113,8.32,9.155,8.621
15.03,27,10.825,10.628,9.306,10.177,8.873,9.249,8.376,8.385,9.708,8.671,9.434,9.478,10.07,10.854,10.184,8.867,9.893,10.349,10.166,8.409,9.167,8.661
16.03,27,10.853,10.629,9.372,10.193,8.886,9.226,8.478,8.445,9.721,8.635,9.442,9.45,10.012,10.798,10.198,8.811,9.896,10.402,10.115,8.377,9.184,8.608
17.03,27,10.772,10.676,9.31,10.146,8.834,9.239,8.317,8.465,9.775,8.64,9.423,9.429,10.059,10.789,10.199,8.852,9.884,10.436,10.12,8.293,9.133,8.621
18.03,27,10.863,10.65,9.293,10.239,8.89,9.254,8.382,8.394,9.707,8.639,9.49,9.424,10.065,10.827,10.162,8.805,9.888,10.457,10.173,8.365,9.155,8.511
19.03,27,10.892,10.701,9.303,10.191,8.819,9.307,8.397,8.452,9.715,8.586,9.393,9.478,10.043,10.783,10.207,8.853,9.89,10.404,10.158,8.356,9.18,8.643
20.03,27,10.861,10.6,9.362,10.151,8.868,9.236,8.399,8.417,9.692,8.648,9.44,9.421,10.122,10.715,10.134,8.858,9.904,10.478,10.134,8.335,9.179,8.557
21.03,27,10.873,10.67,9.376,10.254,8.869,9.264,8.429,8.439,9.738,8.641,9.485,9.422,10.06,10.74,10.162,8.881,9.98,10.44,10.129,8.365,9.196,8.63
22.03,27,10.828,10.651,9.311,10.146,8.819,9.221,8.397,8.452,9.724,8.659,9.482,9.472,10.051,10.829,10.182,8.828,9.924,10.397,10.159,8.425,9.171,8.696
23.03,27,10.87,10.655,9.393,10.274,8.846,9.24,8.471,8.41,9.745,8.647,9.444,9.434,9.977,10.792,10.133,8.877,9.93,10.42,10.135,8.405,9.185,8.593
24.03,27,10.827,10.631,9.39,10.174,8.884,9.232,8.411,8.429,9.806,8.643,9.482,9.364,10.117,10.756,10.148,8.811,9.964,10.421,10.059,8.382,9.139,8.649
25.03,27,10.872,10.596,9.365,10.281,8.795,9.323,8.447,8.484,9.736,8.621,9.48,9.339,10.019,10.749,10.179,8.842,9.971,10.446,10.127,8.369,9.159,8.592
26.03,27,10.788,10.601,9.462,10.286,8.882,9.282,8.356,8.448,9.732,8.577,9.499,9.387,10.08,10.744,10.204,8.775,9.859,10.365,10.158,8.432,9.202,8.566
27.03,27,10.799,10.657,9.406,10.22,8.817,9.274,8.386,8.426,9.812,8.63,9.516,9.449,10.034,10.806,10.157,8.776,9.891,10.416,10.183,8.44,9.181,8.652
28.03,27,10.859,10.608,9.382,10.211,8.848,9.294,8.385,8.427,9.813,8.565,9.478,9.402,10.081,10.693,10.134,8.844,9.916,10.403,10.203,8.443,9.118,8.613
29.03,27,10.834,10.611,9.395,10.202,8.849,9.26,8.453,8.436,9.804,8.596,9.479,9.408,10.057,10.76,10.214,8.812,9.962,10.45,10.137,8.392,9.185,8.633
30.03,27,10.796,10.648,9.346,10.218,8.849,9.287,8.408,8.483,9.741,8.637,9.488,9.442,10.04,10.722,10.123,8.806,9.92,10.498,10.145,8.419,9.115,8.663
31.03,27,10.832,10.668,9.347,10.24,8.851,9.327,8.438,8.494,9.813,8.628,9.532,9.391,10.051,10.708,10.193,8.788,9.938,10.52,10.139,8.455,9.177,8.649
32.03,27,10.924,10.717,9.44,10.268,8.832,9.322,8.382,8.458,9.809,8.616,9.485,9.442,10.09,10.708,10.161,8.843,9.912,10.441,10.134,8.481,9.185,8.608
33.03,27,10.811,10.626,9.445,10.189,8.825,9.251,8.499,8.443,9.784,8.63,9.447,9.372,10.014,10.793,10.147,8.739,9.928,10.461,10.115,8.489,9.166,8.613
34.03,27,10.844,10.617,9.437,10.223,8.874,9.289,8.488,8.485,9.846,8.683,9.458,9.415,9.991,10.758,10.181,8.758,9.884,10.471,10.128,8.444,9.096,8.646
35.03,27,10.785,10.682,9.418,10.259,8.856,9.298,8.464,8.403,9.8,8.605,9.525,9.431,10.054,10.737,10.137,8.795,9.86,10.442,10.16,8.421,9.126,8.654
36.03,27,10.837,10.615,9.415,10.295,8.86,9.331,8.473,8.442,9.755,8.655,9.514,9.366,10.052,10.769,10.145,8.739,9.878,10.43,10.138,8.398,9.163,8.637
37.03,27,10.822,10.627,9.402,10.33,8.867,9.206,8.398,8.484,9.796,8.653,9.466,9.41,10.03,10.793,10.195,8.791,9.931,10.396,10.142,8.452,9.073,8.624
38.03,27,10.863,10.635,9.376,10.276,8.888,9.245,8.38,8.43,9.82,8.682,9.575,9.437,10.037,10.727,10.138,8.815,9.958,10.454,10.187,8.363,9.119,8.654
39.03,27,10.783,10.632,9.467,10.255,8.841,9.294,8.396,8.377,9.806,8.649,9.509,9.407,10.045,10.811,10.135,8.722,9.856,10.393,10.11,8.499,9.151,8.624
