sample,readable_label,size_factor
12129_15_0_R1_S9,15C_0ug_rep1,2.173738
12129_15_0_R2_S10,15C_0ug_rep2,1.516519
12129_15_0_R3_S11,15C_0ug_rep3,1.392509
12129_15_0_R4_S12,15C_0ug_rep4,1.457686
12129_15_0_R5_S13,15C_0ug_rep5,1.411608
12129_15_0_R6_S14,15C_0ug_rep6,1.694779
12129_15_0_R7_S15,15C_0ug_rep7,0.820141
12129_15_0_R8_S16,15C_0ug_rep8,2.048026
12129_15_2_R1_S17,15C_2ug_rep1,0.740111
12129_15_2_R2_S18,15C_2ug_rep2,0.586909
12129_15_2_R3_S19,15C_2ug_rep3,0.144867
12129_15_2_R4_S20,15C_2ug_rep4,1.011735
12129_15_2_R5_S21,15C_2ug_rep5,1.017166
12129_15_2_R6_S22,15C_2ug_rep6,0.463079
12129_15_2_R7_S23,15C_2ug_rep7,0.87306
12129_15_2_R8_S24,15C_2ug_rep8,1.031515
12129_21_0_R1_S25,21C_0ug_rep1,1.660459
12129_21_0_R2_S26,21C_0ug_rep2,0.408597
12129_21_0_R3_S27,21C_0ug_rep3,1.855092
12129_21_0_R4_S28,21C_0ug_rep4,1.303108
12129_21_0_R5_S29,21C_0ug_rep5,1.777858
12129_21_0_R6_S30,21C_0ug_rep6,1.87539
12129_21_0_R7_S31,21C_0ug_rep7,1.808344
12129_21_0_R8_S32,21C_0ug_rep8,2.650516
12129_21_2_R1_S33,21C_2ug_rep1,1.16132
12129_21_2_R3_S34,21C_2ug_rep3,1.306885
12129_21_2_R4_S35,21C_2ug_rep4,0.632189
12129_21_2_R5_S36,21C_2ug_rep5,0.479972
12129_21_2_R6_S37,21C_2ug_rep6,0.813508
12129_21_2_R7_S38,21C_2ug_rep7,0.803853
12129_21_2_R8_S39,21C_2ug_rep8,0.860744
12129_27_0_R1_S40,27C_0ug_rep1,1.558817
12129_27_0_R2_S41,27C_0ug_rep2,1.56812
12129_27_0_R4_S42,27C_0ug_rep4,0.714097
12129_27_0_R5_S43,27C_0ug_rep5,0.774599
12129_27_0_R6_S44,27C_0ug_rep6,1.356264
12129_27_0_R7_S45,27C_0ug_rep7,0.742309
12129_27_0_R8_S46,27C_0ug_rep8,1.005143
12129_27_2_R1_S47,27C_2ug_rep1,0.826433
12129_27_2_R2_S48,27C_2ug_rep2,0.860648
12129_27_2_R3_S49,27C_2ug_rep3,0.420954
12129_27_2_R4_S50,27C_2ug_rep4,1.48161
12129_27_2_R6_S51,27C_2ug_rep6,0.818436
12129_27_2_R7_S52,27C_2ug_rep7,1.053418
12129_27_2_R8_S53,27C_2ug_rep8,0.934112
