gene_id,15C_0ug_rep1 (12129_15_0_R1_S9),15C_0ug_rep2 (12129_15_0_R2_S10),15C_0ug_rep3 (12129_15_0_R3_S11),15C_0ug_rep4 (12129_15_0_R4_S12),15C_0ug_rep5 (12129_15_0_R5_S13),15C_0ug_rep6 (12129_15_0_R6_S14),15C_0ug_rep7 (12129_15_0_R7_S15),15C_0ug_rep8 (12129_15_0_R8_S16),15C_2ug_rep1 (12129_15_2_R1_S17),15C_2ug_rep2 (12129_15_2_R2_S18),15C_2ug_rep3 (12129_15_2_R3_S19),15C_2ug_rep4 (12129_15_2_R4_S20),15C_2ug_rep5 (12129_15_2_R5_S21),15C_2ug_rep6 (12129_15_2_R6_S22),15C_2ug_rep7 (12129_15_2_R7_S23),15C_2ug_rep8 (12129_15_2_R8_S24),21C_0ug_rep1 (12129_21_0_R1_S25),21C_0ug_rep2 (12129_21_0_R2_S26),21C_0ug_rep3 (12129_21_0_R3_S27),21C_0ug_rep4 (12129_21_0_R4_S28),21C_0ug_rep5 (12129_21_0_R5_S29),21C_0ug_rep6 (12129_21_0_R6_S30),21C_0ug_rep7 (12129_21_0_R7_S31),21C_0ug_rep8 (12129_21_0_R8_S32),21C_2ug_rep1 (12129_21_2_R1_S33),21C_2ug_rep3 (12129_21_2_R3_S34),21C_2ug_rep4 (12129_21_2_R4_S35),21C_2ug_rep5 (12129_21_2_R5_S36),21C_2ug_rep6 (12129_21_2_R6_S37),21C_2ug_rep7 (12129_21_2_R7_S38),21C_2ug_rep8 (12129_21_2_R8_S39),27C_0ug_rep1 (12129_27_0_R1_S40),27C_0ug_rep2 (12129_27_0_R2_S41),27C_0ug_rep4 (12129_27_0_R4_S42),27C_0ug_rep5 (12129_27_0_R5_S43),27C_0ug_rep6 (12129_27_0_R6_S44),27C_0ug_rep7 (12129_27_0_R7_S45),27C_0ug_rep8 (12129_27_0_R8_S46),27C_2ug_rep1 (12129_27_2_R1_S47),27C_2ug_rep2 (12129_27_2_R2_S48),27C_2ug_rep3 (12129_27_2_R3_S49),27C_2ug_rep4 (12129_27_2_R4_S50),27C_2ug_rep6 (12129_27_2_R6_S51),27C_2ug_rep7 (12129_27_2_R7_S52),27C_2ug_rep8 (12129_27_2_R8_S53)
EFMGRG00000000007,0.46,0.0,0.0,0.686,0.7084,0.0,2.4386,1.4648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6022,0.0,2.1562,0.0,0.0,0.0,0.0,0.3773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6377,0.0,0.0,0.0,0.0,0.9949,2.42,0.0,0.0,1.3499,0.0,0.0,8.5643
EFMGRG00000000011,6.9006,3.297,5.0269,4.8021,8.5009,3.5403,0.0,10.7421,8.1069,0.0,0.0,0.0,0.0,0.0,0.0,0.9694,3.6135,9.7896,4.8515,4.6044,10.1245,2.6661,3.318,3.7729,0.8611,0.0,0.0,0.0,0.0,3.732,0.0,1.283,5.1017,0.0,0.0,0.0,0.0,1.9898,7.2601,0.0,0.0,0.0,0.0,3.7972,6.4232
EFMGRG00000000015,4.6004,1.3188,2.1544,8.2322,5.6673,1.1801,6.0965,2.4414,5.4046,1.7038,0.0,4.942,0.0,15.1162,2.2908,2.9083,0.6022,0.0,2.1562,0.7674,2.8124,2.1329,1.659,2.2637,2.5833,2.2955,3.1636,0.0,4.917,2.488,0.0,1.283,0.6377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0248,3.6655,3.7972,4.2821
EFMGRG00000000058,0.9201,5.2752,0.0,0.686,1.4168,0.0,6.0965,1.9531,0.0,0.0,0.0,0.0,0.0,10.7973,0.0,15.5112,1.2045,0.0,1.6172,0.0,0.0,0.5332,0.553,0.0,3.4444,0.0,7.909,0.0,0.0,2.488,0.0,0.6415,3.8262,2.8007,0.0,4.4239,2.6943,2.9846,0.0,0.0,0.0,6.0745,0.0,6.645,0.0
EFMGRG00000000067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EFMGRG00000000095,2.3002,0.0,0.0,2.0581,0.0,0.0,0.0,0.4883,0.0,0.0,0.0,0.0,3.9325,0.0,0.0,0.9694,3.6135,0.0,1.6172,0.7674,0.0,0.0,1.659,0.7546,0.0,2.2955,0.0,0.0,3.6877,2.488,0.0,0.6415,4.4639,0.0,0.0,0.0,0.0,8.9539,0.0,0.0,21.38,0.0,1.2218,3.7972,0.0
EFMGRG00000000101,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EFMGRG00000000110,83.7267,77.1504,64.6315,114.5652,102.7197,41.3033,18.2895,141.5998,90.527,66.4498,89.7377,72.1532,50.1393,17.2757,76.7416,107.6087,73.4737,68.5272,65.7649,77.507,103.4953,86.382,72.995,77.3434,70.6093,21.425,37.9633,8.3338,116.7781,129.3768,20.9121,63.5097,44.6395,36.4096,23.2378,8.8478,33.6787,75.6111,91.9615,20.9145,23.7556,12.1489,29.3242,35.1238,110.2652
EFMGRG00000000116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1619,0.0,0.0,0.0,0.0,0.0
EFMGRG00000000133,8.2807,11.2099,7.8994,13.7204,13.4598,1.1801,0.0,10.7421,0.0,0.0,0.0,0.9884,0.0,0.0,3.4362,6.7861,0.0,26.9214,11.3202,3.0696,7.8746,9.598,4.4239,2.2637,5.1665,0.7652,1.5818,0.0,0.0,11.1961,2.3236,0.0,5.7394,0.0,0.0,0.0,0.0,10.9437,0.0,8.1334,42.7601,6.0745,8.5529,8.5436,3.2116
EFMGRG00000000140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mycgr3G100000,2.3002,4.6158,7.1813,0.0,2.1252,1.7701,12.193,2.4414,2.7023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6022,0.0,0.0,3.837,3.3748,1.0664,3.318,0.7546,0.0,0.0,0.0,0.0,9.8339,2.488,0.0,1.283,3.8262,0.0,0.0,4.4239,0.0,0.0,0.0,0.0,0.0,4.7246,0.0,4.7465,0.0
Mycgr3G100022,240.1394,257.8273,237.7004,222.2701,175.6862,306.8246,345.0625,256.8327,359.4056,386.7719,538.4259,326.1722,370.6377,488.0375,328.7289,260.7814,260.1691,225.1609,305.6453,345.3283,270.5503,304.47,317.9705,284.473,263.4933,274.6991,298.9614,402.1067,280.2675,363.2503,471.685,311.7749,327.7811,442.5171,345.9857,432.0693,537.5118,331.296,290.4046,419.4514,346.8316,397.5404,303.0169,240.1707,514.9278
Mycgr3G100024,727.7787,753.6997,380.6079,579.0,651.0307,418.3436,302.3869,642.57,222.9396,287.9492,331.339,199.6569,225.1354,250.4971,121.4121,232.6674,592.0051,611.8502,434.4799,447.392,383.0452,472.9683,445.1587,556.8728,213.5501,164.5134,96.4902,62.5036,243.3902,205.2613,189.3711,311.1334,234.0383,315.0833,294.346,213.8227,208.8079,223.8486,192.393,213.7924,121.1535,201.1325,85.529,133.85,143.4518
