sample,project,temperature,prothioconazole,replicate,sample_id,is_control,control_label,fastq_1,fastq_2,temp_label,proth_label,group,readable_label
12129_15_0_R1_S9,12129,15.0,0.0,1.0,S9,False,,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_15_0_R1_S9_R1_001.fastq.gz,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_15_0_R1_S9_R2_001.fastq.gz,15C,0ug/mL,15_0,15C_0ug_rep1
12129_15_0_R2_S10,12129,15.0,0.0,2.0,S10,False,,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_15_0_R2_S10_R1_001.fastq.gz,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_15_0_R2_S10_R2_001.fastq.gz,15C,0ug/mL,15_0,15C_0ug_rep2
12129_15_0_R3_S11,12129,15.0,0.0,3.0,S11,False,,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_15_0_R3_S11_R1_001.fastq.gz,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_15_0_R3_S11_R2_001.fastq.gz,15C,0ug/mL,15_0,15C_0ug_rep3
12129_15_0_R4_S12,12129,15.0,0.0,4.0,S12,False,,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_15_0_R4_S12_R1_001.fastq.gz,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_15_0_R4_S12_R2_001.fastq.gz,15C,0ug/mL,15_0,15C_0ug_rep4
12129_15_0_R5_S13,12129,15.0,0.0,5.0,S13,False,,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_15_0_R5_S13_R1_001.fastq.gz,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_15_0_R5_S13_R2_001.fastq.gz,15C,0ug/mL,15_0,15C_0ug_rep5
12129_15_0_R6_S14,12129,15.0,0.0,6.0,S14,False,,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_15_0_R6_S14_R1_001.fastq.gz,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_15_0_R6_S14_R2_001.fastq.gz,15C,0ug/mL,15_0,15C_0ug_rep6
12129_15_0_R7_S15,12129,15.0,0.0,7.0,S15,False,,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_15_0_R7_S15_R1_001.fastq.gz,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_15_0_R7_S15_R2_001.fastq.gz,15C,0ug/mL,15_0,15C_0ug_rep7
12129_15_0_R8_S16,12129,15.0,0.0,8.0,S16,False,,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_15_0_R8_S16_R1_001.fastq.gz,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_15_0_R8_S16_R2_001.fastq.gz,15C,0ug/mL,15_0,15C_0ug_rep8
12129_15_2_R1_S17,12129,15.0,2.0,1.0,S17,False,,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_15_2_R1_S17_R1_001.fastq.gz,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_15_2_R1_S17_R2_001.fastq.gz,15C,2ug/mL,15_2,15C_2ug_rep1
12129_15_2_R2_S18,12129,15.0,2.0,2.0,S18,False,,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_15_2_R2_S18_R1_001.fastq.gz,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_15_2_R2_S18_R2_001.fastq.gz,15C,2ug/mL,15_2,15C_2ug_rep2
12129_15_2_R3_S19,12129,15.0,2.0,3.0,S19,False,,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_15_2_R3_S19_R1_001.fastq.gz,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_15_2_R3_S19_R2_001.fastq.gz,15C,2ug/mL,15_2,15C_2ug_rep3
12129_15_2_R4_S20,12129,15.0,2.0,4.0,S20,False,,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_15_2_R4_S20_R1_001.fastq.gz,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_15_2_R4_S20_R2_001.fastq.gz,15C,2ug/mL,15_2,15C_2ug_rep4
12129_15_2_R5_S21,12129,15.0,2.0,5.0,S21,False,,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_15_2_R5_S21_R1_001.fastq.gz,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_15_2_R5_S21_R2_001.fastq.gz,15C,2ug/mL,15_2,15C_2ug_rep5
12129_15_2_R6_S22,12129,15.0,2.0,6.0,S22,False,,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_15_2_R6_S22_R1_001.fastq.gz,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_15_2_R6_S22_R2_001.fastq.gz,15C,2ug/mL,15_2,15C_2ug_rep6
12129_15_2_R7_S23,12129,15.0,2.0,7.0,S23,False,,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_15_2_R7_S23_R1_001.fastq.gz,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_15_2_R7_S23_R2_001.fastq.gz,15C,2ug/mL,15_2,15C_2ug_rep7
12129_15_2_R8_S24,12129,15.0,2.0,8.0,S24,False,,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_15_2_R8_S24_R1_001.fastq.gz,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_15_2_R8_S24_R2_001.fastq.gz,15C,2ug/mL,15_2,15C_2ug_rep8
12129_21_0_R1_S25,12129,21.0,0.0,1.0,S25,False,,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_21_0_R1_S25_R1_001.fastq.gz,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_21_0_R1_S25_R2_001.fastq.gz,21C,0ug/mL,21_0,21C_0ug_rep1
12129_21_0_R2_S26,12129,21.0,0.0,2.0,S26,False,,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_21_0_R2_S26_R1_001.fastq.gz,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_21_0_R2_S26_R2_001.fastq.gz,21C,0ug/mL,21_0,21C_0ug_rep2
12129_21_0_R3_S27,12129,21.0,0.0,3.0,S27,False,,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_21_0_R3_S27_R1_001.fastq.gz,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_21_0_R3_S27_R2_001.fastq.gz,21C,0ug/mL,21_0,21C_0ug_rep3
12129_21_0_R4_S28,12129,21.0,0.0,4.0,S28,False,,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_21_0_R4_S28_R1_001.fastq.gz,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_21_0_R4_S28_R2_001.fastq.gz,21C,0ug/mL,21_0,21C_0ug_rep4
12129_21_0_R5_S29,12129,21.0,0.0,5.0,S29,False,,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_21_0_R5_S29_R1_001.fastq.gz,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_21_0_R5_S29_R2_001.fastq.gz,21C,0ug/mL,21_0,21C_0ug_rep5
12129_21_0_R6_S30,12129,21.0,0.0,6.0,S30,False,,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_21_0_R6_S30_R1_001.fastq.gz,/Users/ilgazcakin/Desktop/X0123/01_reads/12129_21_0_R6_S30_R2_001.fastq.gz,21C,0ug/mL,21_0,21C_0ug_rep6
