rxn_id,enzyme_id,group,FCC_sub_28.75C,FCC_opt_38.75C,FCC_supra_46.75C
ENO,,grp3,2.080139010602833,0.778662845766287,0.5255317181354746
PGK,,grp2,-6.661338147750939e-14,0.0,0.5572729299647694
H2Ot,,grp1,1.5295997373568015,0.4508740252867738,0.7687294951235546
CO2t,,grp3,0.5905233173823632,0.2926996932299253,0.3536500136027909
CYTBD,,grp0,-6.661338147750939e-14,0.0,0.2821246964007429
GLCpts,,grp2,-8.881784197001252e-14,0.0,0.16804491527392384
FBA,,grp3,0.537255798666525,0.05640351603579674,0.017357206248191925
NADH16,,grp3,0.1600652383991097,0.09566501554354456,0.13694782870533606
PTAr,,grp2,-1.1102230246251565e-13,0.0,0.11672892313664418
GND,,grp1,0.08076608011713393,0.07633692300993422,0.1700054393075523
PGI,,grp0,1.3322676295501878e-13,0.0,0.035905957203741234
ATPS4r,,grp1,0.23565993923397865,0.048565625207375174,0.04865042364190497
NADTRHD,,grp2,-8.881784197001252e-14,0.0,0.06936334384969323
ACKr,,grp2,1.5543122344752192e-13,0.0,0.03912808573336424
GAPD,,grp0,0.0,0.0,0.020557171325474854
TKT2,,grp0,-8.881784197001252e-14,0.0,0.06677456330921316
PDH,,grp2,,,0.06562474142599584
RPE,,grp2,1.1102230246251565e-13,0.0,0.05396318119431642
TKT1,,grp2,-2.220446049250313e-14,0.0,0.05326312527219601
TPI,,grp2,0.0,0.0,0.024128673086143415
G6PDH2r,,grp3,0.06191431683422177,0.046272648702827546,0.03307560481209393
TALA,,grp0,1.3322676295501878e-13,0.0,0.026933487703717507
PFL,,grp0,-1.5543122344752192e-13,0.0,
O2t,,grp3,0.07781710474523695,0.03671999300127737,0.036344870350990544
PYK,,grp2,-1.1102230246251565e-13,0.0,0.03609499448483655
ACt2r,,grp2,-2.220446049250313e-14,0.0,0.016144938269468945
PFK,,grp2,4.440892098500626e-14,-1.1102230246251565e-14,0.008545565921735943
PPC,,grp2,-6.661338147750939e-14,0.0,
FUM,,grp2,,,0.020673854842223616
PIt2r,,grp3,0.019780878513930844,0.02118658587508815,0.009046845520033209
PGL,,grp1,0.019626040997189342,0.01004007887692726,0.012775040779722246
RPI,,grp2,6.661338147750939e-14,0.0,0.0107754685420125
NH4t,,grp3,0.02176706176069132,0.011915516432092765,0.002973563925301459
PGM,,grp2,-2.220446049250313e-14,0.0,0.005785725865181668
FORti,,grp1,0.024851480189891362,0.00792693032897196,
SUCDi,,grp3,,,0.007988882011000786
MDH,,grp3,,,0.0077698493206157515
GLUDy,,grp0,-4.440892098500626e-14,1.1102230246251565e-14,0.001432613277219108
ACONTa,,grp0,6.661338147750939e-14,0.0,0.006045091368001021
ICDHyr,,grp0,4.440892098500626e-14,0.0,0.000694916464194506
MALS,,grp3,,,0.002744444649005473
ACONTb,,grp0,1.7763568394002505e-13,0.0,0.001474819513125336
CS,,grp2,-4.440892098500626e-14,0.0,0.0010509651171108914
GLNS,,grp0,2.220446049250313e-14,0.0,0.0001541014126638096
ICL,,grp2,,,0.00017648570107553496
