rank,rxn_id,enzyme_id,group,thermal_screen,"CC[Topt_C,Topt_i]","CC[Topt_C,dCp_i]","CC[CT_max_C,Topt_i]","CC[CT_max_C,dCp_i]","CC[niche_width_C,Topt_i]","CC[niche_width_C,dCp_i]"
1,ENO,,grp3,0.009944424540443282,0.375,-0.0,0.06348719052977359,0.051125272824789694,-0.209261387999641,0.27535514845043046
2,H2Ot,,grp1,0.008230424893983748,0.25,-0.14543054756729593,0.14622405497622637,0.06412389570617416,-0.1835148555902144,0.3326243154430885
3,CO2t,,grp3,0.0070163894964123215,0.125,-0.0,0.05813534949002985,0.04750876807128692,-0.017678708437841806,0.10650440734416536
4,NADH16,,grp3,0.005440495042292478,0.125,-0.0,0.050183244535929816,0.04072907000176424,0.030135946810961656,0.046454137572016364
5,GND,,grp1,0.004878882706415552,0.125,0.16895020275648245,0.10563452832115416,0.14076161500975895,0.1010114349059652,0.13899919385488851
6,PGK,,grp2,0.036232526883475,0.0,-0.0,0.3011575334877925,0.31876243427433804,0.30115753348779073,0.3187624342743345
7,SUCDi,,grp3,5.667930313149958e-05,0.0,-0.0,8.86164178233173e-05,4.66326211014698e-05,8.861641782154095e-05,4.6632621107821326e-05
8,PIt2r,,grp3,0.00018629327597854693,0.0,-0.0,0.0003044009682149351,0.00015818551098229703,-0.0006664520536290297,0.0008965208947678283
9,MALS,,grp3,0.0001602389017405351,0.0,-0.0,0.00027771662028186483,0.00035925500254269544,0.00027771662027653576,0.00035925500254269544
10,PGM,,grp2,0.0001295501233672695,0.0,-0.0,0.0008916225341621953,0.0004885646548006546,0.0008916225341621953,0.0004885646548006546
11,PFK,,grp2,0.00012177622881543603,0.0,-0.0,0.0006061991929371402,0.00022899649531404277,0.0006061991929300348,0.00022899649531996395
12,PGI,,grp0,8.90674473638387e-05,0.0,-0.0,0.002254704517273609,0.000868566242420516,0.002254704517273609,0.000868566242420516
13,GAPD,,grp0,7.861865514899849e-05,0.0,-0.0,0.0007779362006630208,0.0002385348338742654,0.0007779362006683499,0.00023853483386873572
14,CS,,grp2,1.448836928040323e-05,0.0,-0.0,2.06272965108667e-05,1.2881291467312638e-05,2.06272965108667e-05,1.2881291467312638e-05
15,ACONTb,,grp0,2.4997024788864464e-05,0.0,-0.0,3.330808944923547e-05,3.6466264284387356e-05,3.330808944923547e-05,3.6466264284387356e-05
16,ACONTa,,grp0,0.0002120537671997089,0.0,-0.0,0.00031840037170027813,0.00025627940743147104,0.0003184003716842909,0.00025627940743147104
17,GLUDy,,grp0,1.1407283616811408e-05,0.0,-0.0,2.5212389790141287e-05,3.947869574958356e-06,2.5212389793694e-05,3.9478695721676686e-06
18,MDH,,grp3,7.975008275425464e-06,0.0,-0.0,4.6819971071698774e-05,8.298489369006582e-06,4.681997107347513e-05,8.29848936413791e-06
19,GLNS,,grp0,6.376519888580355e-06,0.0,-0.0,1.0089542982427702e-05,7.027457265667773e-06,1.0089542975322274e-05,7.027457265667773e-06
20,NH4t,,grp3,3.7469884757821334e-06,0.0,-0.0,0.0003270018744423453,-0.0001467951265206648,-0.0011330436946224154,0.0019214823033093897
21,ICL,,grp2,1.1356173759500474e-06,0.0,-0.0,1.8670187600378085e-06,8.570289612041681e-07,1.8670187635905222e-06,8.570289581760103e-07
22,PGL,,grp1,0.00019096455203528284,0.0,-0.0,0.0036949960054890596,0.0038274491649577616,0.0017304682479100109,0.005069247350991965
23,TALA,,grp0,0.0005500721944164685,0.0,-0.0,0.005518876563357367,0.004021871270079755,0.005518876563357367,0.004021871270079755
24,ACt2r,,grp2,0.0004240586408485469,0.0,-0.0,0.003890114374961229,0.002093710232416195,0.0038901143749541234,0.002093710232421812
25,PYK,,grp2,0.0017514939811023372,0.0,-0.0,0.011095815158373767,0.007934187847225752,0.01109581515838265,0.007934187847225752
26,CYTBD,,grp0,0.006795612668361677,0.0,-0.0,0.05505440694722452,0.10706292249182339,0.055054406947228074,0.10706292249182339
27,PTAr,,grp2,0.006574938479582639,0.0,-0.0,0.06962647404462174,0.06831147446457328,0.06962647404463063,0.06831147446456408
28,GLCpts,,grp2,0.005183114350432104,0.0,-0.0,0.039525826908999306,0.023915100674822373,0.039525826908999306,0.023915100674822373
29,TKT2,,grp0,0.002565594270343246,0.0,-0.0,0.027980022532020143,0.032431220587592714,0.027980022532018367,0.032431220587592714
30,NADTRHD,,grp2,0.0020890622479043555,0.0,-0.0,0.02492191443874958,0.02197329610159133,0.02492191443874958,0.02197329610159133
31,TKT1,,grp2,0.001859429432027517,0.0,-0.0,0.020356460378419428,0.012850022509676097,0.020356460378415875,0.012850022509667072
32,RPE,,grp2,0.0016940440943381627,0.0,-0.0,0.01799850311395801,0.013788211074887946,0.017998503113965114,0.013788211074887946
33,TPI,,grp2,0.0004456414855662252,0.0,-0.0,0.002116741350686624,0.0010067046879283464,0.002116741350686624,0.0010067046879283464
34,ACKr,,grp2,0.0014236196650627253,0.0,-0.0,0.01417980105698291,0.005877955688632991,0.014179801056979358,0.005877955688632991
35,O2t,,grp3,0.0008374970684687907,0.0,-0.0,0.006906973568565178,0.00615691482041854,-0.0025380550949325453,0.01240444878456174
36,G6PDH2r,,grp3,0.0007668561877895894,0.0,-0.0,0.0066768932236378475,0.01040988329968532,0.002769751657050179,0.011940736603855745
37,PDH,,grp2,0.0006174767536728677,0.0,-0.0,0.0036347241032252953,0.014473293393617576,0.0036347241032252953,0.014473293393617576
38,FUM,,grp2,0.0006154221789339118,0.0,-0.0,0.0008735615300317079,0.0009632206490998222,0.0008735615300317079,0.0009632206490998222
