rxn_id,enzyme_id,group,u_sub_28.75C,u_opt_38.75C,u_supra_46.75C
ACKr,,grp2,0.020577993671438734,0.01045206622410444,0.011270224826371002
ACONTa,,grp0,0.0001521653396854824,0.0006797152822519768,0.0017411899888789975
ACONTb,,grp0,6.17247714587633e-05,0.00024383739827582516,0.0004247969356630923
ACt2r,,grp2,0.008658392865081814,0.005087322415650786,0.004650282696131159
ATPS4r,,grp1,0.023320589450331438,0.01529960650721826,0.009099500040282524
CO2t,,grp3,0.05785200215482679,0.07595577907086998,0.1018487723960805
CS,,grp2,7.145463862930819e-05,0.00020032615127424188,0.00030271276019938376
CYTBD,,grp0,0.03408264765907553,0.06553507197025062,0.08125220270415145
ENO,,grp3,0.20376143992553247,0.202158081891665,0.15138307834652412
FBA,,grp3,0.05265118381503168,0.014640337026782729,0.0049995111542090334
FORti,,grp1,0.0024593305401130723,0.0024971194041700706,0.0
FUM,,grp2,0.0,0.0,0.005954801284935404
G6PDH2r,,grp3,0.006067418448142566,0.012009687170815816,0.009526602866032794
GAPD,,grp0,0.020419762295088937,0.012260004222480872,0.005921167120184692
GLCpts,,grp2,0.05005835734213043,0.05489629884327785,0.04840201563891562
GLNS,,grp0,1.253108473781266e-05,5.596330971845791e-05,4.4386294549174044e-05
GLUDy,,grp0,0.0018443628829967061,0.001495419629063929,0.00041264013289169855
GND,,grp1,0.007992837744401968,0.024049618690831737,0.03180364939360253
H2Ot,,grp1,0.15137409036383212,0.14207987805485905,0.14379649476958442
ICDHyr,,grp0,0.0008636484825087427,0.0008988092091739897,0.00020015892784026255
ICL,,grp2,1.1173787634648607e-19,0.0,5.0833709066813334e-05
MALS,,grp3,9.534832416137311e-20,0.0,0.0007904914858274887
MDH,,grp3,0.0,0.0,0.002237979927698185
NADH16,,grp3,0.015685398296932117,0.02482896882134961,0.03944339412805037
NADTRHD,,grp2,0.014676095555791007,0.021096539341113694,0.019977402961770124
NH4t,,grp3,0.0021331858672510523,0.003092664071126717,0.0008564855484705542
O2t,,grp3,0.007625838252908022,0.009530501919810324,0.010468382990628465
PDH,,grp2,0.0,0.0,0.018902300039208567
PFK,,grp2,0.007670754624379032,0.0039871923467748515,0.0024614203094713346
PFL,,grp0,0.011310750199044674,0.00958716955163184,0.0
PGI,,grp0,0.019488552682370538,0.025904195113776722,0.010341189882434078
PGK,,grp2,0.0197866428291144,0.0666520837068266,0.16052749297153096
PGL,,grp1,0.0019422437122334324,0.0031628691538329377,0.0023894476074425687
PGM,,grp2,0.002763067893730353,0.0021902123943084574,0.0016664817684424907
PIt2r,,grp3,0.0019385371297240385,0.005498983917928547,0.002605799434629607
PPC,,grp2,0.0028172226694268376,0.006777469870033009,0.0
PTAr,,grp2,0.008852882225365958,0.01572437182601704,0.03362216995927833
PYK,,grp2,0.0050158049010021995,0.003204995739621141,0.010396853120636054
RPE,,grp2,0.011398756433300695,0.017479402127440233,0.015542447246355074
RPI,,grp2,0.0008148226030309296,0.002150021497904471,0.0031036645604346743
SUCDi,,grp3,0.0,0.0,0.002301068966188042
TALA,,grp0,0.009024940102021007,0.011398618885741799,0.007757556895164999
TKT1,,grp2,0.011826285000206323,0.016547828914748184,0.015340838154012623
TKT2,,grp0,0.007178075253560203,0.016927384628067137,0.01923213467582501
TPI,,grp2,0.015565438284093779,0.009887363883734835,0.0069499753804061135
