rxn_id,enz,sub,bigg,mnx,Temp_C,Temp_K
CYTDK2No1,P0A8F4,Cytidine,cytd,MNXM338,5.0,278.15
CYTDK2No1,P0A8F4,Cytidine,cytd,MNXM338,10.0,283.15
CYTDK2No1,P0A8F4,Cytidine,cytd,MNXM338,15.0,288.15
CYTDK2No1,P0A8F4,Cytidine,cytd,MNXM338,20.0,293.15
CYTDK2No1,P0A8F4,Cytidine,cytd,MNXM338,25.0,298.15
CYTDK2No1,P0A8F4,Cytidine,cytd,MNXM338,30.0,303.15
CYTDK2No1,P0A8F4,Cytidine,cytd,MNXM338,35.0,308.15
CYTDK2No1,P0A8F4,Cytidine,cytd,MNXM338,40.0,313.15
CYTDK2No1,P0A8F4,Cytidine,cytd,MNXM338,45.0,318.15
CYTDK2No1,P0A8F4,Cytidine,cytd,MNXM338,50.0,323.15
CYTDK2No1,P0A8F4,Cytidine,cytd,MNXM338,55.0,328.15
XPPTNo1,P0A9M5,Xanthine,xan,MNXM174,5.0,278.15
XPPTNo1,P0A9M5,Xanthine,xan,MNXM174,10.0,283.15
XPPTNo1,P0A9M5,Xanthine,xan,MNXM174,15.0,288.15
XPPTNo1,P0A9M5,Xanthine,xan,MNXM174,20.0,293.15
XPPTNo1,P0A9M5,Xanthine,xan,MNXM174,25.0,298.15
XPPTNo1,P0A9M5,Xanthine,xan,MNXM174,30.0,303.15
XPPTNo1,P0A9M5,Xanthine,xan,MNXM174,35.0,308.15
XPPTNo1,P0A9M5,Xanthine,xan,MNXM174,40.0,313.15
XPPTNo1,P0A9M5,Xanthine,xan,MNXM174,45.0,318.15
XPPTNo1,P0A9M5,Xanthine,xan,MNXM174,50.0,323.15
XPPTNo1,P0A9M5,Xanthine,xan,MNXM174,55.0,328.15
HXPRTNo1,P0A9M5,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,5.0,278.15
HXPRTNo1,P0A9M5,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,10.0,283.15
HXPRTNo1,P0A9M5,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,15.0,288.15
HXPRTNo1,P0A9M5,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,20.0,293.15
HXPRTNo1,P0A9M5,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,25.0,298.15
HXPRTNo1,P0A9M5,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,30.0,303.15
HXPRTNo1,P0A9M5,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,35.0,308.15
HXPRTNo1,P0A9M5,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,40.0,313.15
HXPRTNo1,P0A9M5,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,45.0,318.15
HXPRTNo1,P0A9M5,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,50.0,323.15
HXPRTNo1,P0A9M5,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,55.0,328.15
HXPRTNo2,P0A9M2,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,5.0,278.15
HXPRTNo2,P0A9M2,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,10.0,283.15
HXPRTNo2,P0A9M2,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,15.0,288.15
HXPRTNo2,P0A9M2,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,20.0,293.15
HXPRTNo2,P0A9M2,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,25.0,298.15
HXPRTNo2,P0A9M2,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,30.0,303.15
HXPRTNo2,P0A9M2,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,35.0,308.15
HXPRTNo2,P0A9M2,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,40.0,313.15
HXPRTNo2,P0A9M2,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,MNXM91,45.0,318.15
