rank,rxn_id,enzyme_id,group,thermal_screen,"CC[Topt_C,Topt_i]","CC[Topt_C,dCp_i]","CC[CT_max_C,Topt_i]","CC[CT_max_C,dCp_i]","CC[niche_width_C,Topt_i]","CC[niche_width_C,dCp_i]"
1,GF6PTANo1,P17169,default,0.002100133350254153,0.0,-0.0,0.0018901225480298933,8.881784197001249e-15,0.0016623230763350705,8.881784197001249e-15
2,SUCOAS_REVNo1,P0A836,default,0.0014202216348253658,0.0,-0.0,8.11560929037114e-06,-8.881784197001249e-15,-0.015111571535655344,-1.7763568394002498e-14
3,FACOAE160No1,P0AGG2,default,4.266620199396925e-06,0.0,-0.0,-2.3432613716067863e-07,-8.881784197001249e-15,-1.8958899609344826e-05,-8.881784197001249e-15
4,DXPSNo1,P77488,default,4.2951471131512435e-06,0.0,-0.0,9.994888294784232e-07,-0.0,-5.883204609702375e-05,-0.0
5,TDSKNo1,P27300,default,4.740833343474774e-06,0.0,-0.0,4.862357240398296e-06,-0.0,-0.00046683839411088,-0.0
6,DPCOAKNo1,P0A6I9,default,4.9115038926305445e-06,0.0,-0.0,1.1979770746961549e-05,-8.881784197001249e-15,-0.0013254202994126274,-1.7763568394002498e-14
7,FACOAE161No1,P0AGG2,default,5.028827086179214e-06,0.0,-0.0,-2.761871265022364e-07,-0.0,-2.234579634219358e-05,-0.0
8,CDPMEKNo1,P62615,default,5.100409910037992e-06,0.0,-0.0,4.739202239534279e-07,-0.0,-7.126287923142627e-05,8.881784197001249e-15
9,DASYN160No1,P0ABG1,default,5.9116380819970084e-06,0.0,-0.0,2.7615696680527435e-06,-8.881784197001249e-15,-0.0002706531964307146,8.881784197001249e-15
10,UAGAATNo1,P0A6A8,default,6.799094357192992e-06,0.0,-0.0,2.3714600931867835e-05,8.881784197001249e-15,-0.05285005994112346,8.881784197001249e-15
11,DASYN161No1,P0ABG1,default,6.967717847170261e-06,0.0,-0.0,3.2549066943943217e-06,-2.6645352591003748e-14,-0.00031900385441829826,-3.5527136788004997e-14
12,ADPTNo1,P69503,default,7.186182527067463e-06,0.0,-0.0,2.86833088836147e-07,-0.0,-0.0007623200195254753,-0.0
13,RHCCENo1,P45578,default,8.371401429203262e-06,0.0,-0.0,5.893123066869066e-06,8.881784197001249e-15,-0.0007800317820532143,8.881784197001249e-15
14,G1PACTNo1,P0ACC7,default,9.957129169987616e-06,0.0,-0.0,5.267218320170741e-06,-1.405033248913679e-13,5.048436943155821e-06,-1.405033248913679e-13
15,UHGADANo1,P0A725,default,1.0597011956653316e-05,0.0,-0.0,5.380526111764539e-06,8.881784197001249e-15,-0.0005155509547769555,8.881784197001249e-15
16,CATNo1,P21179,default,1.0987889206386713e-05,0.0,-0.0,1.587036816630416e-06,8.881784197001249e-15,-0.0007953186287750214,8.881784197001249e-15
17,RBFSbNo1,P0AFU8,default,1.2001907887792718e-05,0.0,-0.0,8.35102152407785e-06,-8.881784197001249e-15,-0.000680241279564342,-8.881784197001249e-15
18,UAGCVTNo1,P0A749,default,1.2009830085284637e-05,0.0,-0.0,2.222465393941775e-06,-0.0,-0.00022085898531898351,-0.0
19,NNDPRNo1,P30011,default,1.3512600519665665e-05,0.0,-0.0,7.94939662540628e-07,-0.0,7.94939662540628e-07,-0.0
20,G1SATNo1,P23893,default,3.5577800114530856e-06,0.0,-0.0,2.9720290513068903e-06,-8.881784197001249e-15,-0.00027599386552523697,-1.7763568394002498e-14
21,DB4PSNo1,P0A7J0,default,3.5314483824329267e-06,0.0,-0.0,4.658595646134245e-06,8.881784197001249e-15,-0.00046306851145772043,-0.0
22,GLUR_REVNo1,P22634,default,3.4330779630108895e-06,0.0,-0.0,8.723591484738336e-07,-8.881784197001249e-15,-7.617572503804126e-05,-1.7763568394002498e-14
23,SCYSDSNo1,P77444,default,1.6678388375872171e-06,0.0,-0.0,5.630356589847452e-07,-0.0,-5.821334851319193e-05,-0.0
24,TMPKNo1,P0AGG0,default,1.3899034855550902e-06,0.0,-0.0,2.349869706819163e-06,-8.881784197001249e-15,-0.00022978089749869923,-1.7763568394002498e-14
25,MOAT2No1,P0AC75,default,1.4780722353987942e-06,0.0,-0.0,8.120249468390739e-07,2.6645352591003748e-14,-7.901612481830966e-05,2.6645352591003748e-14
26,MOATNo1,P0AC75,default,1.4780722353987942e-06,0.0,-0.0,8.120249468390739e-07,8.881784197001249e-15,-7.901612481830966e-05,1.7763568394002498e-14
27,ALAALArNo2,P07862,default,1.5214199700283612e-06,0.0,-0.0,6.891354580318421e-07,-0.0,7.487324456434408e-06,-0.0
28,UDCPDPNo1,P75806,default,1.5231553669180452e-06,0.0,-0.0,1.1354484961145772e-06,2.6645352591003748e-14,-7.215784776093415e-05,2.6645352591003748e-14
29,CYTK1No1,P0A6I0,default,1.5449295605458175e-06,0.0,-0.0,4.0028729841878885e-07,-1.7763568394002498e-14,-4.167690378409361e-05,-1.7763568394002498e-14
30,ACCOACNo1,P0A9Q5,default,1.57776032494372e-06,0.0,-0.0,1.3226600366067487e-06,8.881784197001249e-15,-0.0001269834001078607,1.7763568394002498e-14
31,GLUTRSNo1,P04805,default,1.7093084968662926e-06,0.0,-0.0,1.279786697949703e-06,-8.881784197001249e-15,-0.00012303362732524192,-1.7763568394002498e-14
32,G3PD2_REVNo1,P0A6S7,default,3.0139990617454273e-06,0.0,-0.0,-1.1067035430301075e-06,8.722056427675456e-14,-1.3070105406853827e-05,8.722056427675456e-14
33,DHPS2No1,P0AC13,default,2.07012923991043e-06,0.0,-0.0,3.874354110422473e-06,1.7763568394002498e-14,-0.00038083421446089005,1.7763568394002498e-14
34,APG3PAT160No1,P60782,default,2.416279529771394e-06,0.0,-0.0,2.7745730157846538e-06,-8.881784197001249e-15,-0.00026721494216630504,-1.7763568394002498e-14
35,FACOAE120No1,P0AGG2,default,2.6016661735502106e-06,0.0,-0.0,-1.4288555760799682e-07,-0.0,-1.1560609472383021e-05,-0.0
36,PPANo1,P0A840,default,2.7515984386127924e-06,0.0,-0.0,8.107949973634732e-07,-1.7763568394002498e-14,-8.70857246120238e-05,-2.6645352591003748e-14
37,GLUDyNo1,P00370,default,2.836235521882599e-06,0.0,-0.0,9.898645473072065e-06,-8.881784197001249e-15,-0.00407832360265914,-0.0
38,APG3PAT161No1,P60782,default,2.847933816282095e-06,0.0,-0.0,3.2702330194922524e-06,1.7763568394002498e-14,-0.00031495137405812557,8.881784197001249e-15
