curve_id,study,strain,medium_class,medium_detail,defined,temp_C,rate_per_h
39668,"Cooper, Bennett & Lenski 2001",E. coli B,glucose_minimal,"Davis minimal medium + 500 ug/ml glucose (DM500), thiamine-supplemented, glucose-replete",True,20.0,0.31
39668,"Cooper, Bennett & Lenski 2001",E. coli B,glucose_minimal,"Davis minimal medium + 500 ug/ml glucose (DM500), thiamine-supplemented, glucose-replete",True,27.0,0.55
39668,"Cooper, Bennett & Lenski 2001",E. coli B,glucose_minimal,"Davis minimal medium + 500 ug/ml glucose (DM500), thiamine-supplemented, glucose-replete",True,32.0,0.67
39668,"Cooper, Bennett & Lenski 2001",E. coli B,glucose_minimal,"Davis minimal medium + 500 ug/ml glucose (DM500), thiamine-supplemented, glucose-replete",True,34.5,0.78
39668,"Cooper, Bennett & Lenski 2001",E. coli B,glucose_minimal,"Davis minimal medium + 500 ug/ml glucose (DM500), thiamine-supplemented, glucose-replete",True,37.0,0.87
39668,"Cooper, Bennett & Lenski 2001",E. coli B,glucose_minimal,"Davis minimal medium + 500 ug/ml glucose (DM500), thiamine-supplemented, glucose-replete",True,39.0,0.85
39668,"Cooper, Bennett & Lenski 2001",E. coli B,glucose_minimal,"Davis minimal medium + 500 ug/ml glucose (DM500), thiamine-supplemented, glucose-replete",True,40.0,0.88
39668,"Cooper, Bennett & Lenski 2001",E. coli B,glucose_minimal,"Davis minimal medium + 500 ug/ml glucose (DM500), thiamine-supplemented, glucose-replete",True,41.0,0.68
39668,"Cooper, Bennett & Lenski 2001",E. coli B,glucose_minimal,"Davis minimal medium + 500 ug/ml glucose (DM500), thiamine-supplemented, glucose-replete",True,42.0,0.536
EC_Daughtry1997,Huang 2011,E. coli,rich_broth,,False,10.1126,0.05112
EC_Daughtry1997,Huang 2011,E. coli,rich_broth,,False,15.4419,0.1591199999999999
EC_Daughtry1997,Huang 2011,E. coli,rich_broth,,False,18.0832,0.2699999999999999
EC_Daughtry1997,Huang 2011,E. coli,rich_broth,,False,21.4448,0.4104
EC_Daughtry1997,Huang 2011,E. coli,rich_broth,,False,23.6059,0.5004
EC_Daughtry1997,Huang 2011,E. coli,rich_broth,,False,25.4795,0.6407999999999999
EC_Daughtry1997,Huang 2011,E. coli,rich_broth,,False,27.5443,0.7056
EC_Daughtry1997,Huang 2011,E. coli,rich_broth,,False,29.6587,0.9144
EC_Daughtry1997,Huang 2011,E. coli,rich_broth,,False,33.5964,1.0548000000000002
EC_Daughtry1997,Huang 2011,E. coli,rich_broth,,False,37.2484,1.4004
EC_Daughtry1997,Huang 2011,E. coli,rich_broth,,False,39.5539,1.5228
EC_Daughtry1997,Huang 2011,E. coli,rich_broth,,False,40.8017,1.5084
EC_Ingraham1958,Huang 2011,E. coli,rich_broth,,False,8.09633,0.028476
EC_Ingraham1958,Huang 2011,E. coli,rich_broth,,False,12.0808,0.07092
EC_Ingraham1958,Huang 2011,E. coli,rich_broth,,False,14.0973,0.1098
