curve_id,study,strain,medium_class,medium_detail,defined,temp_C,rate_per_h
Erdos2026_MG1655_wt_noKan,Erdos et al. 2026 (unpublished),E. coli K-12 MG1655 (wt),rich_broth,"LB (rich, undefined composition); no antibiotic (0 ug/ml kanamycin); values DIGITIZED by eye from the fitted TPC line in the 'wt' panel (approx +/- 0.1 h-1); no SD extracted",False,16,0.28
Erdos2026_MG1655_wt_noKan,Erdos et al. 2026 (unpublished),E. coli K-12 MG1655 (wt),rich_broth,"LB (rich, undefined composition); no antibiotic (0 ug/ml kanamycin); values DIGITIZED by eye from the fitted TPC line in the 'wt' panel (approx +/- 0.1 h-1); no SD extracted",False,19,0.45
Erdos2026_MG1655_wt_noKan,Erdos et al. 2026 (unpublished),E. coli K-12 MG1655 (wt),rich_broth,"LB (rich, undefined composition); no antibiotic (0 ug/ml kanamycin); values DIGITIZED by eye from the fitted TPC line in the 'wt' panel (approx +/- 0.1 h-1); no SD extracted",False,22,0.62
Erdos2026_MG1655_wt_noKan,Erdos et al. 2026 (unpublished),E. coli K-12 MG1655 (wt),rich_broth,"LB (rich, undefined composition); no antibiotic (0 ug/ml kanamycin); values DIGITIZED by eye from the fitted TPC line in the 'wt' panel (approx +/- 0.1 h-1); no SD extracted",False,25,0.9
Erdos2026_MG1655_wt_noKan,Erdos et al. 2026 (unpublished),E. coli K-12 MG1655 (wt),rich_broth,"LB (rich, undefined composition); no antibiotic (0 ug/ml kanamycin); values DIGITIZED by eye from the fitted TPC line in the 'wt' panel (approx +/- 0.1 h-1); no SD extracted",False,28,1.25
Erdos2026_MG1655_wt_noKan,Erdos et al. 2026 (unpublished),E. coli K-12 MG1655 (wt),rich_broth,"LB (rich, undefined composition); no antibiotic (0 ug/ml kanamycin); values DIGITIZED by eye from the fitted TPC line in the 'wt' panel (approx +/- 0.1 h-1); no SD extracted",False,31,1.62
Erdos2026_MG1655_wt_noKan,Erdos et al. 2026 (unpublished),E. coli K-12 MG1655 (wt),rich_broth,"LB (rich, undefined composition); no antibiotic (0 ug/ml kanamycin); values DIGITIZED by eye from the fitted TPC line in the 'wt' panel (approx +/- 0.1 h-1); no SD extracted",False,34,1.92
Erdos2026_MG1655_wt_noKan,Erdos et al. 2026 (unpublished),E. coli K-12 MG1655 (wt),rich_broth,"LB (rich, undefined composition); no antibiotic (0 ug/ml kanamycin); values DIGITIZED by eye from the fitted TPC line in the 'wt' panel (approx +/- 0.1 h-1); no SD extracted",False,37,2.15
Erdos2026_MG1655_wt_noKan,Erdos et al. 2026 (unpublished),E. coli K-12 MG1655 (wt),rich_broth,"LB (rich, undefined composition); no antibiotic (0 ug/ml kanamycin); values DIGITIZED by eye from the fitted TPC line in the 'wt' panel (approx +/- 0.1 h-1); no SD extracted",False,40,2.35
Erdos2026_MG1655_wt_noKan,Erdos et al. 2026 (unpublished),E. coli K-12 MG1655 (wt),rich_broth,"LB (rich, undefined composition); no antibiotic (0 ug/ml kanamycin); values DIGITIZED by eye from the fitted TPC line in the 'wt' panel (approx +/- 0.1 h-1); no SD extracted",False,43,2.25
Erdos2026_MG1655_wt_noKan,Erdos et al. 2026 (unpublished),E. coli K-12 MG1655 (wt),rich_broth,"LB (rich, undefined composition); no antibiotic (0 ug/ml kanamycin); values DIGITIZED by eye from the fitted TPC line in the 'wt' panel (approx +/- 0.1 h-1); no SD extracted",False,45,1.55
