sub,bigg,mnx,sm2
ferricytochrome c,ficytc,MNXM5749,*NC(=O)[C@H](CSC(C)C1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)[O-])c3n1[Fe+]n1/c(c(C)c(C(C)SC[C@H](NC(*)=O)C(=O)N*)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C)NC(*)=O
"(R,R)-2,3-butanediol",btd_RR,MNXM2757,C[C@@H](O)[C@@H](C)O
(R)-acetoin,actn__R,MNXM664,CC(C(=O)C)O
UDP-D-glucose,udpg,MNXM722710,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O
1-(5-phospho-D-ribosyl)-5-[(5-phospho-D-ribosylamino)methylideneamino]imidazole-4-carboxamide,prfp,MNXM1397,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1/N=C/N[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
1-pyrroline-5-carboxylate,1pyr5c,MNXM1617,C1CC(N=C1)C(=O)O
"5-(methylsulfanyl)-2,3-dioxopentyl phosphate",dkmpp,MNXM162358,CSCCC(=O)C(=O)COP(=O)([O-])[O-]
"2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone",25dthpp,MNXM1099,Nc1nc(NC[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c(N)c(=O)[nH]1
"2,5-diamino-4-hydroxy-6-(5-phosphoribosylamino)pyrimidine",25drapp,MNXM648,Nc1nc(N[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(N)c(=O)[nH]1
2-oxobutanoate,2obut,MNXM159,CCC(=O)C(=O)[O-]
"2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-ol",6hmhpt,MNXM937,Nc1nc(O)c2c(n1)NCC(CO)=N2
2-oxoadipic acid,2oxoadp,MNXM263,O=C([O-])CCCC(=O)C(=O)[O-]
L-2-aminoadipate,L2aadp,MNXM268,C(CC(C(=O)O)N)CC(=O)O
2-dehydropantoate,2dhp,MNXM959,CC(C)(CO)C(=O)C(=O)O
D-erythrose 4-phosphate,e4p,MNXM258,C(C(C(C=O)O)O)OP(=O)(O)O
"2-hexaprenyl-6-methoxy-1,4-benzoquinone",2hp6mbq,MNXM6707,COC1=CC(=O)C=C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)C1=O
2-hexaprenyl-6-methoxyphenol,2hp6mp,MNXM4291,COc1cccc(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O
2-isopropylmaleic acid,2ippm,MNXM1706,CC(C)/C(=C/C(=O)[O-])C(=O)[O-]
2-isopropylmalate,3c3hmp,MNXM164143,CC(C)[C@@](O)(CC(=O)[O-])C(=O)[O-]
acetyl-CoA,accoa,MNXM21,CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
4-methylthio-2-oxobutanoate,4met2obut,MNXM276,CSCCC(=O)C(=O)O
homocitrate,s,MNXM722779,O=C([O-])CC[C@@](O)(CC(=O)[O-])C(=O)[O-]
"but-1-ene-1,2,4-tricarboxylic acid",b124tc,MNXM920,O=C([O-])/C=C(/CCC(=O)[O-])C(=O)[O-]
propionyl-CoA,ppcoa,MNXM86,CCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
"adenosine 3',5'-bismonophosphate",pap,MNXM45,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@H]1O
"3',5'-cyclic AMP",camp,MNXM243,C1C2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O
D-ribulose 5-phosphate,ru5p__D,MNXM145,C(C(C(C(=O)CO)O)O)OP(=O)(O)O
3-dehydroquinate,3dhq,MNXM478,C1C(C(C(=O)CC1(C(=O)[O-])O)O)O
7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid,2dda7p,MNXM1219,O=C([O-])C(=O)C[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
3-ketosphinganine,3dsphgn,MNXM559,CCCCCCCCCCCCCCCC(=O)[C@@H]([NH3+])CO
