FileType	fastq	Read submission file type
sample	study	instrument_model	library_name	library_source	library_selection	library_strategy	library_layout	forward_file_name	forward_file_md5	reverse_file_name	reverse_file_md5
12129_15_0_R1_S9	PRJEB123587	Illumina NovaSeq X	12129_15_0_R1_S9	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_15_0_R1_S9_R1_001.fastq.gz	1cf164054eb6d519d95eceea52496eb5	12129_15_0_R1_S9_R2_001.fastq.gz	e0a0ab1fa9f4b59eef4aba8999609093
12129_15_0_R2_S10	PRJEB123587	Illumina NovaSeq X	12129_15_0_R2_S10	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_15_0_R2_S10_R1_001.fastq.gz	16888cf47b9b5fbfb81329bf2a529e9e	12129_15_0_R2_S10_R2_001.fastq.gz	06be8c42b4680a32de1f7038e8372608
12129_15_0_R3_S11	PRJEB123587	Illumina NovaSeq X	12129_15_0_R3_S11	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_15_0_R3_S11_R1_001.fastq.gz	4a89a7dc04f136fa1d55362ffc427616	12129_15_0_R3_S11_R2_001.fastq.gz	01519e3936956b7878a5685c8bcc94e6
12129_15_0_R4_S12	PRJEB123587	Illumina NovaSeq X	12129_15_0_R4_S12	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_15_0_R4_S12_R1_001.fastq.gz	30644a266ce296930ed257aae3b30711	12129_15_0_R4_S12_R2_001.fastq.gz	7f0a38332d00f2538a4faba4a90ee902
12129_15_0_R5_S13	PRJEB123587	Illumina NovaSeq X	12129_15_0_R5_S13	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_15_0_R5_S13_R1_001.fastq.gz	29c2249d0cdb7465b4007cf462d21204	12129_15_0_R5_S13_R2_001.fastq.gz	19fdbc618765e2ae640273cf69cf974b
12129_15_0_R6_S14	PRJEB123587	Illumina NovaSeq X	12129_15_0_R6_S14	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_15_0_R6_S14_R1_001.fastq.gz	0018126a91930b584d284d967a4c8afd	12129_15_0_R6_S14_R2_001.fastq.gz	02981e39cbf9667c372635260e3b1583
12129_15_0_R7_S15	PRJEB123587	Illumina NovaSeq X	12129_15_0_R7_S15	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_15_0_R7_S15_R1_001.fastq.gz	8c618d355721abb80ab8329ae65a7e14	12129_15_0_R7_S15_R2_001.fastq.gz	5940765c17e491e6eeb728306f5705f4
12129_15_0_R8_S16	PRJEB123587	Illumina NovaSeq X	12129_15_0_R8_S16	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_15_0_R8_S16_R1_001.fastq.gz	f1853693f800f3ad560a4498175021be	12129_15_0_R8_S16_R2_001.fastq.gz	618d40e1d586db6a4d56742797978e21
12129_15_2_R1_S17	PRJEB123587	Illumina NovaSeq X	12129_15_2_R1_S17	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_15_2_R1_S17_R1_001.fastq.gz	ef1b140b94f39f7dfef9cedce6dcb416	12129_15_2_R1_S17_R2_001.fastq.gz	1cb5f9746bcf62e722f3884a66174014
12129_15_2_R2_S18	PRJEB123587	Illumina NovaSeq X	12129_15_2_R2_S18	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_15_2_R2_S18_R1_001.fastq.gz	b15ac6bcb4d75c5504dcbbafe21bf381	12129_15_2_R2_S18_R2_001.fastq.gz	00b0cbf26522cf8456cfb1a7304a24bd
12129_15_2_R3_S19	PRJEB123587	Illumina NovaSeq X	12129_15_2_R3_S19	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_15_2_R3_S19_R1_001.fastq.gz	89b64731ce520bd8f2366fb9260d59c8	12129_15_2_R3_S19_R2_001.fastq.gz	a86a8a588151a001656db076071cf979
12129_15_2_R4_S20	PRJEB123587	Illumina NovaSeq X	12129_15_2_R4_S20	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_15_2_R4_S20_R1_001.fastq.gz	c35b6b87cde41b7d1b93e08a40f64eeb	12129_15_2_R4_S20_R2_001.fastq.gz	66f8f97ef12abea14377d2fcd5f6f916
12129_15_2_R5_S21	PRJEB123587	Illumina NovaSeq X	12129_15_2_R5_S21	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_15_2_R5_S21_R1_001.fastq.gz	6b4f99a251d8d2c2e523ffbd1281c957	12129_15_2_R5_S21_R2_001.fastq.gz	4f2a76dd2238dbb01259b93f37d3cc38
