sample_alias	sample_title	tax_id	scientific_name	isolate	growth_condition	treatment	fastq_R1	fastq_R2
12129_15_0_R1_S9	Zymoseptoria tritici IPO323, 15 C, prothioconazole 0 mg/L, replicate 1	1047171	Zymoseptoria tritici IPO323	IPO323	YMS medium, sealed PreSens vial, 15 C	prothioconazole 0 mg/L	12129_15_0_R1_S9_R1_001.fastq.gz	12129_15_0_R1_S9_R2_001.fastq.gz
12129_15_0_R2_S10	Zymoseptoria tritici IPO323, 15 C, prothioconazole 0 mg/L, replicate 2	1047171	Zymoseptoria tritici IPO323	IPO323	YMS medium, sealed PreSens vial, 15 C	prothioconazole 0 mg/L	12129_15_0_R2_S10_R1_001.fastq.gz	12129_15_0_R2_S10_R2_001.fastq.gz
12129_15_0_R3_S11	Zymoseptoria tritici IPO323, 15 C, prothioconazole 0 mg/L, replicate 3	1047171	Zymoseptoria tritici IPO323	IPO323	YMS medium, sealed PreSens vial, 15 C	prothioconazole 0 mg/L	12129_15_0_R3_S11_R1_001.fastq.gz	12129_15_0_R3_S11_R2_001.fastq.gz
12129_15_0_R4_S12	Zymoseptoria tritici IPO323, 15 C, prothioconazole 0 mg/L, replicate 4	1047171	Zymoseptoria tritici IPO323	IPO323	YMS medium, sealed PreSens vial, 15 C	prothioconazole 0 mg/L	12129_15_0_R4_S12_R1_001.fastq.gz	12129_15_0_R4_S12_R2_001.fastq.gz
12129_15_0_R5_S13	Zymoseptoria tritici IPO323, 15 C, prothioconazole 0 mg/L, replicate 5	1047171	Zymoseptoria tritici IPO323	IPO323	YMS medium, sealed PreSens vial, 15 C	prothioconazole 0 mg/L	12129_15_0_R5_S13_R1_001.fastq.gz	12129_15_0_R5_S13_R2_001.fastq.gz
12129_15_0_R6_S14	Zymoseptoria tritici IPO323, 15 C, prothioconazole 0 mg/L, replicate 6	1047171	Zymoseptoria tritici IPO323	IPO323	YMS medium, sealed PreSens vial, 15 C	prothioconazole 0 mg/L	12129_15_0_R6_S14_R1_001.fastq.gz	12129_15_0_R6_S14_R2_001.fastq.gz
12129_15_0_R7_S15	Zymoseptoria tritici IPO323, 15 C, prothioconazole 0 mg/L, replicate 7	1047171	Zymoseptoria tritici IPO323	IPO323	YMS medium, sealed PreSens vial, 15 C	prothioconazole 0 mg/L	12129_15_0_R7_S15_R1_001.fastq.gz	12129_15_0_R7_S15_R2_001.fastq.gz
12129_15_0_R8_S16	Zymoseptoria tritici IPO323, 15 C, prothioconazole 0 mg/L, replicate 8	1047171	Zymoseptoria tritici IPO323	IPO323	YMS medium, sealed PreSens vial, 15 C	prothioconazole 0 mg/L	12129_15_0_R8_S16_R1_001.fastq.gz	12129_15_0_R8_S16_R2_001.fastq.gz
12129_15_2_R1_S17	Zymoseptoria tritici IPO323, 15 C, prothioconazole 2 mg/L, replicate 1	1047171	Zymoseptoria tritici IPO323	IPO323	YMS medium, sealed PreSens vial, 15 C	prothioconazole 2 mg/L	12129_15_2_R1_S17_R1_001.fastq.gz	12129_15_2_R1_S17_R2_001.fastq.gz
12129_15_2_R2_S18	Zymoseptoria tritici IPO323, 15 C, prothioconazole 2 mg/L, replicate 2	1047171	Zymoseptoria tritici IPO323	IPO323	YMS medium, sealed PreSens vial, 15 C	prothioconazole 2 mg/L	12129_15_2_R2_S18_R1_001.fastq.gz	12129_15_2_R2_S18_R2_001.fastq.gz
12129_15_2_R3_S19	Zymoseptoria tritici IPO323, 15 C, prothioconazole 2 mg/L, replicate 3	1047171	Zymoseptoria tritici IPO323	IPO323	YMS medium, sealed PreSens vial, 15 C	prothioconazole 2 mg/L	12129_15_2_R3_S19_R1_001.fastq.gz	12129_15_2_R3_S19_R2_001.fastq.gz
12129_15_2_R4_S20	Zymoseptoria tritici IPO323, 15 C, prothioconazole 2 mg/L, replicate 4	1047171	Zymoseptoria tritici IPO323	IPO323	YMS medium, sealed PreSens vial, 15 C	prothioconazole 2 mg/L	12129_15_2_R4_S20_R1_001.fastq.gz	12129_15_2_R4_S20_R2_001.fastq.gz
12129_15_2_R5_S21	Zymoseptoria tritici IPO323, 15 C, prothioconazole 2 mg/L, replicate 5	1047171	Zymoseptoria tritici IPO323	IPO323	YMS medium, sealed PreSens vial, 15 C	prothioconazole 2 mg/L	12129_15_2_R5_S21_R1_001.fastq.gz	12129_15_2_R5_S21_R2_001.fastq.gz
12129_15_2_R6_S22	Zymoseptoria tritici IPO323, 15 C, prothioconazole 2 mg/L, replicate 6	1047171	Zymoseptoria tritici IPO323	IPO323	YMS medium, sealed PreSens vial, 15 C	prothioconazole 2 mg/L	12129_15_2_R6_S22_R1_001.fastq.gz	12129_15_2_R6_S22_R2_001.fastq.gz
