zt_gene,sc_gene
Mycgr3G98177,YHR165C
Mycgr3G70199,YNR016C
Mycgr3G110982,YDL171C
Mycgr3G101655,YLR342W
Mycgr3G110798,YJL130C
Mycgr3G61343,YHR099W
Mycgr3G108403,YPL231W
Mycgr3G69244,YKL182W
Mycgr3G67795,YKL203C
Mycgr3G91809,YLR106C
Mycgr3G76789,YNL262W
Mycgr3G87640,YKR054C
Mycgr3G68519,YGR271W
Mycgr3G108516,YLL040C
Mycgr3G110138,YGL206C
Mycgr3G73616,YBR218C
Mycgr3G99873,YDL140C
Mycgr3G71536,YER172C
Mycgr3G99853,YOR151C
Mycgr3G109611,YJR109C
Mycgr3G107186,YPL082C
Mycgr3G73209,YGL195W
Mycgr3G84794,YOR207C
Mycgr3G73114,YKL215C
Mycgr3G61816,YGR061C
Mycgr3G73125,YPR010C
Mycgr3G71826,YER166W
Mycgr3G99706,YAL026C
Mycgr3G74994,YDR135C
Mycgr3G74222,YPR184W
Mycgr3G65516,YDR127W
Mycgr3G55760,YDR385W
Mycgr3G83445,YOR116C
Mycgr3G99732,YIL125W
Mycgr3G50464,YOR153W
Mycgr3G101482,YEL031W
Mycgr3G108146,YNL014W
Mycgr3G40326,YMR109W
Mycgr3G19934,YOR326W
Mycgr3G94196,YOR341W
Mycgr3G110909,YJR137C
Mycgr3G32217,YBL076C
Mycgr3G95557,YKL210W
Mycgr3G72396,YNL132W
Mycgr3G101786,YER070W
Mycgr3G111559,YJL050W
Mycgr3G55128,YDL126C
Mycgr3G98287,YNL088W
Mycgr3G52059,YBR084W
Mycgr3G111551,YGR218W
Mycgr3G35747,YDL102W
Mycgr3G100210,YOR335C
Mycgr3G106055,YLR304C
Mycgr3G71789,YMR196W
Mycgr3G74996,YLL048C
Mycgr3G43883,YER171W
Mycgr3G98585,YPL160W
Mycgr3G100193,YGR094W
Mycgr3G76357,YDR170C
Mycgr3G101387,YPR160W
Mycgr3G100232,YBR023C
Mycgr3G46026,YOR291W
Mycgr3G86264,YBL022C
Mycgr3G99148,YBR115C
Mycgr3G69333,YMR189W
Mycgr3G76171,YIL048W
Mycgr3G77175,YER125W
Mycgr3G98268,YOR304W
Mycgr3G67423,YOL021C
Mycgr3G71784,YPL226W
Mycgr3G53658,YKL148C
Mycgr3G77946,YPL167C
Mycgr3G99415,YLR398C
Mycgr3G105895,YAL005C
Mycgr3G100176,YDR038C
Mycgr3G74992,YIL126W
Mycgr3G71756,YLR069C
Mycgr3G99959,YMR186W
Mycgr3G58445,YFR031C
Mycgr3G73926,YKL157W
Mycgr3G94100,YBL023C
Mycgr3G88201,YJL200C
Mycgr3G86708,YLR305C
Mycgr3G68179,YOR330C
Mycgr3G98525,YGL022W
Mycgr3G44078,YNL123W
Mycgr3G109538,YGL009C
Mycgr3G101428,YPL217C
Mycgr3G47107,YIL129C
Mycgr3G67576,YER164W
Mycgr3G99627,YNL102W
Mycgr3G83835,YJL034W
Mycgr3G104628,YJR045C
Mycgr3G72449,YNL209W
Mycgr3G43403,YPR019W
Mycgr3G106395,YER091C
Mycgr3G37885,YLR410W
Mycgr3G59890,YDL145C
Mycgr3G74660,YFR015C
Mycgr3G66729,YDR258C
Mycgr3G110076,YKL104C
Mycgr3G77882,YHR186C
Mycgr3G109520,YGL156W
Mycgr3G59333,YMR288W
Mycgr3G61567,YPL086C
Mycgr3G107618,YLR153C
Mycgr3G67108,YDR238C
Mycgr3G99211,YMR229C
Mycgr3G68779,YEL011W
Mycgr3G87035,YGL150C
Mycgr3G98500,YDR097C
Mycgr3G44387,YLR272C
Mycgr3G110466,YIL143C
Mycgr3G61825,YER036C
Mycgr3G47838,YGL201C
Mycgr3G102318,YPR074C
Mycgr3G40769,YDR291W
Mycgr3G107730,YLL001W
Mycgr3G74015,YBR202W
Mycgr3G75505,YGL120C
Mycgr3G86784,YMR120C
Mycgr3G94297,YGR281W
Mycgr3G104147,YER069W
Mycgr3G84945,YML059C
Mycgr3G68874,YNL163C
Mycgr3G109186,YPL006W
Mycgr3G100515,YGL167C
Mycgr3G71411,YBR127C
Mycgr3G61736,YKR001C
Mycgr3G92705,YBR118W
Mycgr3G53684,YML035C
Mycgr3G102837,YBL099W
Mycgr3G43561,YGL163C
Mycgr3G59052,YGL008C
Mycgr3G65376,YDR001C
Mycgr3G9953,YMR162C
Mycgr3G46995,YLR274W
Mycgr3G72868,YDR129C
Mycgr3G100894,YCR057C
Mycgr3G67008,YFR009W
Mycgr3G84968,YMR108W
Mycgr3G65859,YCR011C
Mycgr3G64280,YPR181C
Mycgr3G72798,YOL090W
Mycgr3G77121,YCR017C
Mycgr3G59551,YBR196C
Mycgr3G73150,YDL215C
Mycgr3G74170,YHR074W
Mycgr3G99393,YGR240C
Mycgr3G68535,YDR234W
Mycgr3G43197,YBL004W
Mycgr3G100284,YBR038W
Mycgr3G69748,YOR270C
Mycgr3G32076,YGR217W
Mycgr3G72489,YKR009C
Mycgr3G75170,YLR259C
Mycgr3G55505,YAL035W
Mycgr3G70620,YJL014W
Mycgr3G98572,YPL012W
Mycgr3G77269,YPR145W
Mycgr3G48745,YEL032W
Mycgr3G62652,YHR027C
Mycgr3G87605,YBL105C
Mycgr3G100129,YKR097W
Mycgr3G100344,YKL165C
Mycgr3G103505,YJR121W
Mycgr3G108223,YAL023C
Mycgr3G65342,YMR290C
Mycgr3G99408,YJR016C
Mycgr3G31987,YDR091C
Mycgr3G110785,YDR212W
Mycgr3G74120,YIL142W
Mycgr3G46697,YDL185W
Mycgr3G49054,YGL006W
Mycgr3G63851,YJL111W
Mycgr3G10100,YJR035W
Mycgr3G109986,YHR183W
Mycgr3G99834,YJR064W
Mycgr3G102950,YFL037W
Mycgr3G77226,YGR264C
Mycgr3G10766,YMR089C
Mycgr3G110080,YER025W
Mycgr3G86671,YBR080C
Mycgr3G105948,YFL039C
Mycgr3G98798,YJR143C
Mycgr3G75509,YMR217W
Mycgr3G72348,YPL093W
Mycgr3G76039,YML085C
Mycgr3G98370,YDR457W
Mycgr3G20064,YLR189C
Mycgr3G101405,YBL015W
Mycgr3G86672,YBR126C
Mycgr3G100306,YOL006C
Mycgr3G70608,YCL030C
Mycgr3G73357,YJL012C
Mycgr3G99481,YHR023W
Mycgr3G101791,YLR384C
Mycgr3G107551,YER043C
Mycgr3G43300,YMR301C
Mycgr3G95233,YBR121C
Mycgr3G53126,YKL145W
Mycgr3G64524,YGL207W
Mycgr3G69768,YBL039C
Mycgr3G54508,YMR049C
Mycgr3G98274,YNL192W
Mycgr3G70993,YHL016C
Mycgr3G86368,YIL109C
Mycgr3G65665,YKR031C
Mycgr3G64888,YML075C
Mycgr3G68390,YOR356W
Mycgr3G82700,YLR058C
Mycgr3G106783,YML056C
Mycgr3G35719,YGL238W
Mycgr3G87289,YBR114W
Mycgr3G74214,YOR109W
Mycgr3G66188,YDL143W
Mycgr3G77111,YDR188W
Mycgr3G109721,YDR074W
Mycgr3G110531,YLR389C
Mycgr3G43769,YBR248C
Mycgr3G54663,YMR105C
Mycgr3G47228,YNL325C
Mycgr3G49733,YLR086W
Mycgr3G103124,YNR001C
Mycgr3G102581,YGL026C
Mycgr3G51289,YNL287W
Mycgr3G64960,YKL035W
Mycgr3G109501,YGL137W
Mycgr3G57630,YAL038W
Mycgr3G107385,YDR293C
Mycgr3G76076,YLR419W
Mycgr3G70677,YNL117W
Mycgr3G101609,YDL160C
Mycgr3G73721,YDR430C
Mycgr3G99817,YGR270W
Mycgr3G69029,YMR128W
Mycgr3G68243,YNL104C
Mycgr3G74715,YLR175W
Mycgr3G110829,YPL110C
Mycgr3G102083,YER065C
Mycgr3G99865,YLR060W
Mycgr3G58493,YOL004W
Mycgr3G110230,YDL131W
Mycgr3G100165,YPL262W
Mycgr3G109091,YDR037W
Mycgr3G74623,YBR229C
Mycgr3G68553,YPL235W
Mycgr3G110450,YGL245W
Mycgr3G74131,YHL030W
Mycgr3G109648,YGL125W
Mycgr3G105188,YGR254W
Mycgr3G67552,YCL017C
Mycgr3G41426,YLR430W
Mycgr3G55400,YOR117W
Mycgr3G61250,YDL007W
Mycgr3G69561,YJL074C
Mycgr3G74444,YGL236C
Mycgr3G106070,YIL078W
Mycgr3G63336,YBR169C
Mycgr3G86257,YOR317W
Mycgr3G71923,YNR053C
Mycgr3G61664,YBR143C
Mycgr3G66199,YBL017C
Mycgr3G64379,YOR375C
Mycgr3G71423,YNR013C
Mycgr3G36977,YNL112W
Mycgr3G108367,YAR042W
Mycgr3G75563,YDL031W
Mycgr3G101180,YJL033W
Mycgr3G74344,YDL178W
Mycgr3G66981,YHR028C
Mycgr3G105795,YJR065C
Mycgr3G107178,YDL029W
Mycgr3G64615,YDL095W
Mycgr3G70171,YJL008C
Mycgr3G99279,YDR062W
