"inhibitor","temp","dose_mM","dose_label","culture","r_per_h","K","R2","RMSE","n_pts","fit_start","fit_end","used_in_slope"
"nPG",15,0,"solvent control",1,0.046193,0.00043,0.9994,0.0516,3501,514,4023.2,FALSE
"nPG",15,0,"solvent control",2,0.041731,0.00051,0.9991,0.0614,3470,554.1,4032.2,FALSE
"nPG",15,0,"solvent control",3,0.044176,0.00055,0.9994,0.0631,3537,569.2,4115.3,FALSE
"nPG",15,0.0125,"0.0125",1,0.044847,0.00046,0.9996,0.0462,3617,488.9,4115.3,TRUE
"nPG",15,0.0125,"0.0125",2,0.0385,0.00054,0.9996,0.0368,3460,538.3,4007.1,TRUE
"nPG",15,0.0125,"0.0125",3,0.048951,0.00053,0.9997,0.039,3149,665.2,3821.8,TRUE
"nPG",15,0.025,"0.0250",1,0.033492,0.00048,0.9996,0.0276,3432,472,3911.9,TRUE
"nPG",15,0.025,"0.0250",2,0.020235,0.00071,0.9998,0.0191,3308,610.3,3926.9,TRUE
"nPG",15,0.025,"0.0250",3,0.048075,0.00047,0.9997,0.0375,3366,484.2,3857.8,TRUE
"nPG",15,0.05,"0.0500",1,0.014381,0.00058,0.9996,0.0162,3302,368.7,3678.4,TRUE
"nPG",15,0.05,"0.0500",2,0.020755,0.00064,0.9997,0.0196,3452,502.6,3963,TRUE
"nPG",15,0.05,"0.0500",3,0.045257,0.00052,0.9997,0.0359,3320,649.1,3978,TRUE
"nPG",15,0.075,"0.0750",1,0.046713,0.00042,0.9996,0.0348,3342,674.6,4024.2,TRUE
"nPG",15,0.075,"0.0750",2,0.019404,0.00066,0.9998,0.0186,3423,535.7,3968,TRUE
"nPG",15,0.075,"0.0750",3,0.0431,0.00059,0.9994,0.0635,3482,624.4,4115.3,TRUE
"nPG",15,0.1,"0.1000",1,0.045254,4e-04,0.9995,0.037,3328,624.4,3960,TRUE
"nPG",15,0.1,"0.1000",2,0.043998,5e-04,0.9997,0.0377,3418,588.4,4015.1,TRUE
"nPG",15,0.1,"0.1000",3,0.014543,0.00068,0.9997,0.016,3227,527.4,3761.6,TRUE
"nPG",27,0,"solvent control",1,0.023452,0.00137,0.9931,0.1538,2658,584.7,3249.2,FALSE
"nPG",27,0,"solvent control",2,0.060244,0.00119,0.9889,0.1972,1873,536.5,2413.6,FALSE
"nPG",27,0,"solvent control",3,0.024273,0.00153,0.9737,0.4188,2987,249.7,3244.2,FALSE
"nPG",27,0.0125,"0.0125",1,0.037586,0.00111,0.9922,0.2086,2781,354,3142,TRUE
"nPG",27,0.0125,"0.0125",2,0.059588,0.00099,0.9866,0.2661,2239,338.9,2583.9,TRUE
