"temp","dose_mM","culture","r_per_h","K","R2","RMSE","n_pts","fit_start","fit_end"
15,0,1,0.0461928831295994,0.000433716687334218,0.999418507021078,0.0516339932143516,3501,514,4023.2
15,0,2,0.0417305875103,0.000508633343710993,0.999116380215748,0.0614409142182342,3470,554.1,4032.2
15,0,3,0.0441757247180103,0.000549770351757861,0.999402853500642,0.0630669466675573,3537,569.2,4115.3
15,0.0125,1,0.0448470526574812,0.000463512215442046,0.999622577437675,0.0461770844639743,3617,488.9,4115.3
15,0.0125,2,0.0385004150443643,0.000536659632217435,0.999632743141987,0.0367697929972185,3460,538.3,4007.1
15,0.0125,3,0.0489507107231334,0.000531851650097231,0.999676822505449,0.0390354078980539,3149,665.2,3821.8
15,0.025,1,0.0334915388765679,0.000483219105454223,0.999619348012235,0.0275787939355338,3432,472,3911.9
15,0.025,2,0.0202346071393996,0.000709201743025658,0.999761683327921,0.0191041730009023,3308,610.3,3926.9
15,0.025,3,0.0480754862303023,0.000474348050326376,0.999723699851028,0.0374629628794487,3366,484.2,3857.8
15,0.05,1,0.0143810015694761,0.000584451117848645,0.999636335468233,0.0161706318802619,3302,368.7,3678.4
15,0.05,2,0.0207552955456321,0.000641988322472729,0.999742555035871,0.0196274847490014,3452,502.6,3963
15,0.05,3,0.0452572846754763,0.000520414667617301,0.999719498808933,0.0359496805003136,3320,649.1,3978
15,0.075,1,0.0467130818189495,0.000415759256464814,0.999643040781125,0.0347830634929751,3342,674.6,4024.2
15,0.075,2,0.0194036436742398,0.000659288376951478,0.999753781362414,0.0185877021914676,3423,535.7,3968
15,0.075,3,0.0431002273685829,0.000591983539761751,0.999383250363749,0.0634830813782827,3482,624.4,4115.3
15,0.1,1,0.0452541303049428,0.000403261353089978,0.99951052979136,0.037033179449774,3328,624.4,3960
15,0.1,2,0.0439975452211966,0.000495541418450869,0.999680312944179,0.0376784863451231,3418,588.4,4015.1
15,0.1,3,0.014543258141709,0.000677116829838394,0.999719121958086,0.0160068146489041,3227,527.4,3761.6
27,0,1,0.0234515649520488,0.00137239166673115,0.993075604691726,0.153765469608521,2658,584.7,3249.2
27,0,2,0.0602440264767758,0.0011914074422422,0.988898186795095,0.197211138218003,1873,536.5,2413.6
27,0,3,0.0242728416562253,0.00153114618746582,0.973651014043571,0.418760559937537,2987,249.7,3244.2
27,0.0125,1,0.0375857701945431,0.00110552124095464,0.992208714435925,0.208556524301914,2781,354,3142
27,0.0125,2,0.0595876023609268,0.000985839677730329,0.986634049259632,0.26613545444297,2239,338.9,2583.9
27,0.0125,3,0.0570136785737351,0.00100889382210264,0.983928879062673,0.308359450844343,2327,255.7,2588.9
27,0.025,1,0.0341761493223275,0.000781451506819594,0.994882514940234,0.129157826846674,3035,195.5,3238.2
27,0.025,2,0.0675672575691578,0.000854939287231761,0.985826320117175,0.282044596816121,2220,405.1,2630
27,0.025,3,0.0562121430545263,0.0010514682628774,0.98254295744221,0.324541568179955,2315,262.7,2582.9
27,0.05,1,0.0341839242168284,0.00142327619662277,0.98698078749289,0.223342176206977,2308,1038.2,3351.5
27,0.05,2,0.0652550112178809,0.00117585354129928,0.983269011179183,0.273348288719331,1901,707.1,2612
27,0.05,3,0.0604285056159994,0.000995876102758546,0.98349911209958,0.218735313557966,1941,518.5,2464.7
27,0.075,1,0.0498158147035776,0.00117751553723416,0.997997380062904,0.0743847176896259,1968,694.1,2667.1
27,0.075,2,0.0617870269592465,0.000854415741386364,0.991700436077182,0.211576551128963,2331,333.9,2670.1
27,0.075,3,0.0577993885443594,0.000958764162533402,0.989557077391631,0.238922830501224,2322,322.9,2651.1
27,0.1,1,0.0471970772619556,0.00113768052276678,0.998848867680206,0.0787757378782619,2416,522.5,2945.6
27,0.1,2,0.0178895141345359,0.00128233374831802,0.999517421297542,0.0492394995071506,3470,322.9,3801.7
27,0.1,3,0.0449357564436485,0.0010391336897333,0.99838781513063,0.0827954109151735,2448,316.9,2772.3
