T,Dose,Replicate,fit_start,fit_end
15,Control,R1,514,4023.2
15,Control,R2,554.1,4032.2
15,Control,R3,569.2,4115.3
15,0.0125,R1,488.9,4115.3
15,0.0125,R2,538.3,4007.1
15,0.0125,R3,665.2,3821.8
15,0.025,R1,472,3911.9
15,0.025,R2,610.3,3926.9
15,0.025,R3,484.2,3857.8
15,0.05,R1,368.7,3678.4
15,0.05,R2,502.6,3963
15,0.05,R3,649.1,3978
15,0.075,R1,674.6,4024.2
15,0.075,R2,535.7,3968
15,0.075,R3,624.4,4115.3
15,0.1,R1,624.4,3960
15,0.1,R2,588.4,4015.1
15,0.1,R3,527.4,3761.6
27,Control,R1,584.7,3249.2
27,Control,R2,536.5,2413.6
27,Control,R3,249.7,3244.2
27,0.0125,R1,354,3142
27,0.0125,R2,338.9,2583.9
27,0.0125,R3,255.7,2588.9
27,0.025,R1,195.5,3238.2
27,0.025,R2,405.1,2630
27,0.025,R3,262.7,2582.9
27,0.05,R1,1038.2,3351.5
27,0.05,R2,707.1,2612
27,0.05,R3,518.5,2464.7
27,0.075,R1,694.1,2667.1
27,0.075,R2,333.9,2670.1
27,0.075,R3,322.9,2651.1
27,0.1,R1,522.5,2945.6
27,0.1,R2,322.9,3801.7
27,0.1,R3,316.9,2772.3
