"T","Dose","Replicate","main_run_start_time","steepest_drop_time"
15,"V","R1A1",654.3,3884.3
15,"P2","R1B1",443.6,3884.3
15,"S","R1C1",707.5,3884.3
15,"P2S","R1D1",483.7,3884.3
15,"V","R1A2",663.3,3884.3
15,"P2","R1B2",496.8,3884.3
15,"S","R1C2",742.5,3884.3
15,"P2S","R1D2",571,3884.3
15,"V","R1A3",622.2,3884.3
15,"P2","R1B3",517.8,3884.3
15,"S","R1C3",829.9,3884.3
15,"P2S","R1D3",610.1,3884.3
15,"V","R1A4",713.5,3884.3
15,"P4","R1B4",655.3,3884.3
15,"S","R1C4",821.8,3884.3
15,"P4S","R1D4",677.4,3884.3
15,"V","R1A5",779.7,3884.3
15,"P4","R1B5",608.1,3884.3
15,"S","R1C5",785.7,3884.3
15,"P4S","R1D5",613.1,3884.3
15,"P4","R1B6",528.9,3884.3
15,"P4S","R1D6",649.3,3884.3
15,"V","R2A1",150.5,3884.3
15,"P2","R2B1",150.5,3884.3
15,"S","R2C1",548.9,3884.3
15,"P2S","R2D1",416.5,3884.3
15,"V","R2A2",150.5,3595.5
15,"P2","R2B2",554.9,3884.3
15,"S","R2C2",691.4,3884.3
15,"P2S","R2D2",434.5,3884.3
15,"V","R2A3",150.5,3755.9
15,"P2","R2B3",150.5,3884.3
15,"S","R2C3",675.4,3884.3
15,"P2S","R2D3",150.5,3884.3
15,"V","R2A4",150.5,3681.7
15,"P4","R2B4",150.5,3884.3
15,"S","R2C4",771.6,3884.3
15,"P4S","R2D4",712.5,3884.3
15,"V","R2A5",150.5,3884.3
15,"P4","R2B5",150.5,3884.3
15,"S","R2C5",973.4,3884.3
15,"P4S","R2D5",683.4,3884.3
15,"P4","R2B6",150.5,3884.3
15,"P4S","R2D6",635.2,3884.3
15,"V","R3A1",150.5,3884.3
15,"P2","R3B1",441.6,3884.3
15,"S","R3C1",636.2,3884.3
15,"P2S","R3D1",435.5,3884.3
15,"V","R3A2",150.5,3884.3
15,"P2","R3B2",480.7,3884.3
15,"S","R3C2",711.5,3884.3
15,"P2S","R3D2",459.6,3884.3
15,"V","R3A3",150.5,3884.3
15,"P2","R3B3",150.5,3884.3
15,"S","R3C3",771.6,3884.3
15,"P2S","R3D3",150.5,3884.3
15,"V","R3A4",150.5,3884.3
15,"P4","R3B4",445.6,3884.3
15,"S","R3C4",709.5,3884.3
15,"P4S","R3D4",534.9,3884.3
15,"V","R3A5",150.5,3884.3
15,"P4","R3B5",558.9,3884.3
15,"S","R3C5",720.5,3884.3
15,"P4S","R3D5",557.9,3884.3
15,"P4","R3B6",616.1,3884.3
15,"P4S","R3D6",667.3,3884.3
27,"V","R1A1",227.8,2430
27,"P2","R1B1",251.9,2430
27,"S","R1C1",341.2,2430
27,"P2S","R1D1",249.9,2430
27,"V","R1A2",249.9,2430
27,"P2","R1B2",282,2430
27,"S","R1C2",350.3,2430
27,"P2S","R1D2",265.9,2430
27,"V","R1A3",236.8,2430
27,"P2","R1B3",298,2430
27,"S","R1C3",343.2,2430
27,"P2S","R1D3",255.9,2430
27,"V","R1A4",242.9,2430
27,"P4","R1B4",281,2430
27,"S","R1C4",339.2,2430
27,"P4S","R1D4",369.3,2430
27,"V","R1A5",224.8,2430
27,"P4","R1B5",277.9,2430
27,"S","R1C5",349.3,2430
27,"P4S","R1D5",298,2430
27,"P4","R1B6",413.5,2430
27,"P4S","R1D6",282,2430
27,"V","R2A1",408.5,2430
27,"P2","R2B1",184.6,2430
27,"S","R2C1",312.1,2430
27,"P2S","R2D1",268.9,2430
27,"V","R2A2",168.6,2430
27,"P2","R2B2",234.8,2430
27,"S","R2C2",324.1,2430
27,"P2S","R2D2",257.9,2430
27,"V","R2A3",280,2402.4
27,"P2","R2B3",245.9,2430
27,"S","R2C3",336.2,2430
27,"P2S","R2D3",260.9,2430
27,"V","R2A4",303,2430
27,"P4","R2B4",264.9,2430
27,"S","R2C4",337.2,2430
27,"P4S","R2D4",277.9,2430
27,"V","R2A5",292,2416.4
27,"P4","R2B5",237.8,2430
27,"S","R2C5",414.5,2430
27,"P4S","R2D5",289,2430
27,"P4","R2B6",268.9,2430
27,"P4S","R2D6",280,2430
27,"V","R3A1",234.8,2171.8
27,"P2","R3B1",243.9,2430
27,"S","R3C1",344.2,2430
27,"P2S","R3D1",241.8,2430
27,"V","R3A2",256.9,2278.1
27,"P2","R3B2",276.9,2430
27,"S","R3C2",467.6,2430
27,"P2S","R3D2",262.9,2430
27,"V","R3A3",221.8,2180.8
27,"P2","R3B3",206.7,2430
27,"S","R3C3",343.2,2430
27,"P2S","R3D3",288,2430
27,"V","R3A4",228.8,2406.4
27,"P4","R3B4",277.9,2430
27,"S","R3C4",305.1,2430
27,"P4S","R3D4",240.8,2430
27,"V","R3A5",210.7,2213.9
27,"P4","R3B5",179.6,2430
27,"S","R3C5",276.9,2430
27,"P4S","R3D5",267.9,2430
27,"P4","R3B6",241.8,2430
27,"P4S","R3D6",290,2430
