T,Dose,Replicate,fit_start,fit_end
15,V,R1A1,55.2,3807.1
15,V,R1A2,55.2,3867.2
15,V,R1A3,55.2,3807.1
15,V,R1A4,55.2,3837.1
15,V,R1A5,55.2,3837.1
15,P2,R1B1,25.1,3879.2
15,P2,R1B2,25.1,3879.2
15,P2,R1B3,55.2,3867.2
15,P4,R1B4,55.2,3879.2
15,P4,R1B5,55.2,3879.2
15,P4,R1B6,55.2,3879.2
15,S,R1C1,55.2,3879.2
15,S,R1C2,55.2,3879.2
15,S,R1C3,55.2,3879.2
15,S,R1C4,55.2,3879.2
15,S,R1C5,55.2,3879.2
15,P2S,R1D1,25.1,3879.2
15,P2S,R1D2,55.2,3879.2
15,P2S,R1D3,55.2,3879.2
15,P4S,R1D4,55.2,3879.2
15,P4S,R1D5,55.2,3879.2
15,P4S,R1D6,55.2,3879.2
15,V,R2A1,25.1,3849.2
15,V,R2A2,25.1,3686.8
15,V,R2A3,25.1,3777
15,V,R2A4,25.1,3734.9
15,V,R2A5,25.1,3686.8
15,P2,R2B1,10.1,3882.3
15,P2,R2B2,40.1,3743.9
15,P2,R2B3,25.1,3879.2
15,P4,R2B4,40.1,3575.4
15,P4,R2B5,40.1,3376.9
15,P4,R2B6,25.1,3879.2
15,S,R2C1,25.1,3873.2
15,S,R2C2,55.2,3879.2
15,S,R2C3,25.1,3879.2
15,S,R2C4,55.2,3879.2
15,S,R2C5,55.2,3879.2
15,P2S,R2D1,10.1,3882.3
15,P2S,R2D2,25.1,3879.2
15,P2S,R2D3,40.1,3701.8
15,P4S,R2D4,55.2,3879.2
15,P4S,R2D5,40.1,3882.3
15,P4S,R2D6,40.1,3882.3
15,V,R3A1,25.1,3879.2
15,V,R3A2,25.1,3831.1
15,V,R3A3,25.1,3879.2
15,V,R3A4,25.1,3825.1
15,V,R3A5,25.1,3879.2
15,P2,R3B1,25.1,3879.2
15,P2,R3B2,40.1,3882.3
15,P2,R3B3,25.1,3879.2
15,P4,R3B4,25.1,3879.2
15,P4,R3B5,40.1,3749.9
15,P4,R3B6,40.1,3882.3
15,S,R3C1,55.2,3367.8
15,S,R3C2,55.2,3879.2
15,S,R3C3,55.2,3879.2
15,S,R3C4,40.1,3882.3
15,S,R3C5,40.1,3882.3
15,P2S,R3D1,10.1,3882.3
15,P2S,R3D2,25.1,3879.2
15,P2S,R3D3,25.1,3879.2
15,P4S,R3D4,40.1,3882.3
15,P4S,R3D5,40.1,3882.3
15,P4S,R3D6,55.2,117.4
27,V,R1A1,159.5,2563.5
27,V,R1A2,191.7,2595.6
27,V,R1A3,175.6,2645.7
27,V,R1A4,173.6,2631.7
27,V,R1A5,162.6,2656.8
27,P2,R1B1,222.8,3165.2
27,P2,R1B2,186.6,2367.3
27,P2,R1B3,226.8,2052.4
27,P4,R1B4,194.7,2194.9
27,P4,R1B5,198.7,2233
27,P4,R1B6,243.8,2598
27,S,R1C1,228.8,2765
27,S,R1C2,196.7,1914.1
27,S,R1C3,241.8,1941.2
27,S,R1C4,211.7,2160
27,S,R1C5,198.7,2060.5
27,P2S,R1D1,225.8,3081.2
27,P2S,R1D2,198.7,1958.2
27,P2S,R1D3,192.7,2111.2
27,P4S,R1D4,227.8,1995.4
27,P4S,R1D5,187.6,1905.1
27,P4S,R1D6,228.8,2981.7
27,V,R2A1,239.8,2529.4
27,V,R2A2,76.3,2449.6
27,V,R2A3,194.7,1665.4
27,V,R2A4,239.8,2294.2
27,V,R2A5,209.7,2456.6
27,P2,R2B1,140.5,2180.3
27,P2,R2B2,209.7,1847.9
27,P2,R2B3,230.8,1964.5
27,P4,R2B4,194.7,1998.9
27,P4,R2B5,209.7,1967.6
27,P4,R2B6,194.7,2445.9
27,S,R2C1,239.8,2504.7
27,S,R2C2,209.7,3744.9
27,S,R2C3,239.8,2620.2
27,S,R2C4,192.7,2566
27,S,R2C5,239.8,1955.4
27,P2S,R2D1,239.8,3589.9
27,P2S,R2D2,194.7,3790
27,P2S,R2D3,172.6,3792
27,P4S,R2D4,194.7,3790
27,P4S,R2D5,194.7,3790
27,P4S,R2D6,209.7,3793
27,V,R3A1,180.6,1765.7
27,V,R3A2,195.7,733.5
27,V,R3A3,174.6,640.2
27,V,R3A4,210.7,730.5
27,V,R3A5,197.7,729.5
27,P2,R3B1,194.7,1581.2
27,P2,R3B2,198.7,730.5
27,P2,R3B3,134.4,1942.2
27,P4,R3B4,228.8,670.4
27,P4,R3B5,170.6,726.5
27,P4,R3B6,225.8,444.6
27,S,R3C1,194.7,1948.2
27,S,R3C2,240.8,2457.6
27,S,R3C3,195.7,1877
27,S,R3C4,198.7,2457.6
27,S,R3C5,210.7,2457.6
27,P2S,R3D1,180.6,3794
27,P2S,R3D2,227.8,2215.9
27,P2S,R3D3,238.8,2461.6
27,P4S,R3D4,185.6,2667.8
27,P4S,R3D5,209.7,2541.4
27,P4S,R3D6,239.8,2143.7
