"temp","replicate","well","condition","drug_mgL","sham_mM","r_per_h","K","R2","RMSE","n_pts","r_per_h_raw","smooth_h","fit_start","fit_end","o2_used","rule","rule_fallback","overridden","step_shift_mgL","excluded"
15,1,"A1","V",0,0,0.0636519641347084,0.000233572256645042,0.999396251325263,0.049781486755095,3364,0.0636519641347084,0,433,3807.1,7.39,"manual (03_trim_selector.R)",FALSE,FALSE,-0.12,FALSE
15,1,"A2","V",0,0,0.0637202812151444,0.000212659140930932,0.999208735796596,0.0557628340408436,3430,0.0637202812151444,0,426.3,3867.2,7.28,"manual (03_trim_selector.R)",FALSE,FALSE,-0.13,FALSE
15,1,"A3","V",0,0,0.0630163051428652,0.000252348740394151,0.999333804441168,0.0532294158219699,3331,0.0630163051428652,0,466.2,3807.1,7.55,"manual (03_trim_selector.R)",FALSE,FALSE,-0.15,FALSE
15,1,"A4","V",0,0,0.0601259174720647,0.000263650092856933,0.998706695220803,0.0709293352790066,3355,0.0601259174720647,0,470.9,3837.1,7.18,"manual (03_trim_selector.R)",FALSE,FALSE,-0.14,FALSE
15,1,"A5","V",0,0,0.0649567970052421,0.000251671295216739,0.998912908704413,0.0689416817508464,3275,0.0649567970052421,0,551.4,3837.1,7.53,"manual (03_trim_selector.R)",FALSE,FALSE,-0.13,FALSE
15,1,"C1","S",0,0.2,0.056322546726922,0.000214081463732245,0.999587268547157,0.0204157424355243,3022,0.056322546726922,0,632,3662.7,3.68,"manual (03_trim_selector.R)",FALSE,FALSE,-0.07,FALSE
15,1,"C2","S",0,0.2,0.0556971339180049,0.000194877357914292,0.999478150014697,0.0264485761188403,3293,0.0556971339180049,0,575.1,3879.2,4.23,"manual (03_trim_selector.R)",FALSE,FALSE,-0.08,FALSE
15,1,"C3","S",0,0.2,0.0577626761123478,0.000181716719506438,0.999300949140233,0.0304465268338831,3279,0.0577626761123478,0,589.3,3879.2,4.18,"manual (03_trim_selector.R)",FALSE,FALSE,-0.07,FALSE
15,1,"C4","S",0,0.2,0.0564567933229207,0.000206385190170729,0.999441962558668,0.0277502232320581,3218,0.0564567933229207,0,650.9,3879.2,4.26,"manual (03_trim_selector.R)",FALSE,FALSE,-0.08,FALSE
15,1,"C5","S",0,0.2,0.0563961380478133,0.00018992130168594,0.99934312674605,0.0290500118297593,3270,0.0563961380478133,0,598.8,3879.2,4.1,"manual (03_trim_selector.R)",FALSE,FALSE,-0.07,FALSE
15,1,"B1","P2",2,0,0.0262817452539455,0.000409293043075611,0.998367113504318,0.0394353574572068,3515,0.0262817452539455,0,352.5,3879.2,3.28,"manual (03_trim_selector.R)",FALSE,FALSE,-0.06,FALSE
15,1,"B2","P2",2,0,0.0264316504574771,0.000419710148678466,0.9987800216076,0.0320532811401843,3350,0.0264316504574771,0,518.3,3879.2,3.12,"manual (03_trim_selector.R)",FALSE,FALSE,-0.07,FALSE
15,1,"B3","P2",2,0,0.0277689723228478,0.000409191148855147,0.998793190654598,0.0325984346365375,3355,0.0277689723228478,0,513.6,3879.2,3.22,"manual (03_trim_selector.R)",FALSE,FALSE,-0.06,FALSE
15,1,"D1","P2S",2,0.2,0.0231451766109187,0.000362607471410395,0.99823312821206,0.0318626934133203,3472,0.0231451766109187,0,399.9,3882.3,2.53,"manual (03_trim_selector.R)",FALSE,FALSE,-0.06,FALSE
15,1,"D2","P2S",2,0.2,0.0229919540809292,0.000360999745040138,0.998027821284401,0.0316114571429152,3369,0.0229919540809292,0,499.3,3879.2,2.38,"manual (03_trim_selector.R)",FALSE,FALSE,-0.05,FALSE
15,1,"D3","P2S",2,0.2,0.0207432815334203,0.000344720087290801,0.997978844950519,0.0268291280191301,3256,0.0207432815334203,0,613,3879.2,1.97,"manual (03_trim_selector.R)",FALSE,FALSE,-0.03,FALSE
15,1,"B4","P4",4,0,0.0309329506966531,0.00029794504247977,0.998002532574147,0.0330474703109129,3308,0.0309329506966531,0,560.9,3879.2,2.53,"manual (03_trim_selector.R)",FALSE,FALSE,-0.05,FALSE
15,1,"B5","P4",4,0,0.0279420588344733,0.000394207486988717,0.998289523505134,0.0366895233999484,3312,0.0279420588344733,0,556.2,3879.2,3,"manual (03_trim_selector.R)",FALSE,FALSE,-0.07,FALSE
15,1,"B6","P4",4,0,0.025354202606891,0.000442439219709105,0.998904080095856,0.027901441021399,3167,0.025354202606891,0,636.7,3813.1,2.85,"manual (03_trim_selector.R)",FALSE,FALSE,-0.07,FALSE
15,1,"D4","P4S",4,0.2,0.0219848441830052,0.000341722318420334,0.997931595641499,0.0278285116041199,3246,0.0219848441830052,0,622.5,3879.2,2.05,"manual (03_trim_selector.R)",FALSE,FALSE,-0.05,FALSE
15,1,"D5","P4S",4,0.2,0.0218300663226248,0.000359921169526722,0.997891719846496,0.0298793964176523,3274,0.0218300663226248,0,594.1,3879.2,2.16,"manual (03_trim_selector.R)",FALSE,FALSE,-0.05,FALSE
15,1,"D6","P4S",4,0.2,0.0214397397142811,0.000376650295422738,0.997827087089017,0.0307646084895372,3237,0.0214397397142811,0,632,3879.2,2.18,"manual (03_trim_selector.R)",FALSE,FALSE,-0.04,FALSE
