"rule","len_ratio_PS_over_V","R2_min","fallback","I27_I15_2","P_2","n_neg_2","I27_I15_4","P_4","n_neg_4","d2_1","d2_2","d2_3"
"stable r (5%)",1.63365786463076,0.95418683832788,0,0.282030036251712,0.439546824079415,1,-0.323621286119999,0.375685060828239,2,0.783032535065607,-0.237317360415019,0.300374934104546
"peak + 24 h",1,0.951443717878026,0,0.0153037449192606,0.879626129031477,2,0.379160220878567,0.0232672569718042,0,-0.0689658899944838,0.193701791318731,-0.0788246665664656
"peak + 30 h",1,0.979137416589238,0,-0.625143938448938,0.00838938174933063,3,-0.324317452177515,0.0353485905442975,3,-0.723201100407713,-0.523678687167011,-0.628552027772091
"peak + 36 h",1.00861525530574,0.977385858299377,0,-1.08232928585815,0.00516174124683812,3,-0.733785521748767,0.0120539529886973,3,-0.969884903692763,-1.04475073926058,-1.23235221462111
"fixed 3-36 h",1,0.742968598221048,0,-0.203139339466354,0.339135200447376,2,-0.219760907866637,0.255519487015156,2,-0.523117184974142,-0.0982842108929005,0.0119833774679807
"fixed 3-40 h",1,0.869396529103927,0,-0.619649679275293,0.0553887572020791,3,-0.584905697664895,0.0236724561143872,3,-0.922589459899241,-0.494526747115929,-0.441832830810709
"fixed 3-48 h",1.21324867553686,0.951867931214961,0,-0.0447269618460218,0.86935418254856,1,-0.218684568817532,0.0530111768413338,3,0.0808355249653379,-0.508735020984297,0.293718610480894
"fixed 5-40 h",1,0.934664312482244,0,-0.852399438148157,0.0235216401850454,3,-0.774307228681318,0.0127215490771961,3,-1.11737421007096,-0.741823412605687,-0.698000691767824
"drawdown 5-60%",1.41558237734016,0.966769066685645,0,-1.49357789809985,0.0184607766977465,3,-1.4469446982484,0.0145084313376332,3,-1.49602283558107,-1.13591701143272,-1.84879384728578
"drawdown 5-80%",1.62070349201378,0.979697068073837,0,-1.19071649167043,0.00587163696218313,3,-1.34445626691603,0.0338936043204747,3,-1.01363523955489,-1.23829504306963,-1.32021919238676
"drawdown 10-90%",1.83560505561468,0.940011331804247,0,0.00463470456259237,0.991805732008195,2,-1.03712226872186,0.114090642745849,3,0.765165073765344,-0.590161346628835,-0.161099613448732
