"temp","replicate","condition","well","drug_mgL","sham_mM","rule","smooth_h","step_time_h","step_mgL","fit_start_min","fit_end_min","window_h","rule_start_min","rule_end_min","overridden","override_reason","rule_fallback","n_points","o2_at_start","o2_consumed"
15,1,"V","A1",0,0,"manual (03_trim_selector.R)",0,40.81,-0.12,433,3807.1,56.235,557.93,2717.93,FALSE,"",FALSE,3364,11.24,7.39
15,1,"V","A2",0,0,"manual (03_trim_selector.R)",0,41.21,-0.13,426.3,3867.2,57.3483333333333,623.17,2783.17,FALSE,"",FALSE,3430,11.5,7.28
15,1,"V","A3",0,0,"manual (03_trim_selector.R)",0,41.59,-0.15,466.2,3807.1,55.6816666666667,506.8,2666.8,FALSE,"",FALSE,3331,12.32,7.55
15,1,"V","A4",0,0,"manual (03_trim_selector.R)",0,41.31,-0.14,470.9,3837.1,56.1033333333333,683.38,2843.38,FALSE,"",FALSE,3355,10.52,7.18
15,1,"V","A5",0,0,"manual (03_trim_selector.R)",0,41.31,-0.13,551.4,3837.1,54.7616666666667,733.52,2893.52,FALSE,"",FALSE,3275,11.22,7.53
15,1,"S","C1",0,0.2,"manual (03_trim_selector.R)",0,40.27,-0.07,632,3662.7,50.5116666666667,630.2,2790.2,FALSE,"",FALSE,3022,11.93,3.68
15,1,"S","C2",0,0.2,"manual (03_trim_selector.R)",0,41.96,-0.08,575.1,3879.2,55.0683333333333,769.63,2929.63,FALSE,"",FALSE,3293,9.96,4.23
15,1,"S","C3",0,0.2,"manual (03_trim_selector.R)",0,41.48,-0.07,589.3,3879.2,54.8316666666667,749.58,2909.58,FALSE,"",FALSE,3279,12.9,4.18
15,1,"S","C4",0,0.2,"manual (03_trim_selector.R)",0,40.83,-0.08,650.9,3879.2,53.805,724.52,2884.52,FALSE,"",FALSE,3218,10.99,4.26
15,1,"S","C5",0,0.2,"manual (03_trim_selector.R)",0,41.18,-0.07,598.8,3879.2,54.6733333333333,719.48,2879.48,FALSE,"",FALSE,3270,11.7,4.1
15,1,"P2","B1",2,0,"manual (03_trim_selector.R)",0,40.58,-0.06,352.5,3879.2,58.7783333333333,329.18,2489.18,FALSE,"",FALSE,3515,10.45,3.28
15,1,"P2","B2",2,0,"manual (03_trim_selector.R)",0,42.31,-0.07,518.3,3879.2,56.015,442.55,2602.55,FALSE,"",FALSE,3350,11.52,3.12
15,1,"P2","B3",2,0,"manual (03_trim_selector.R)",0,42.84,-0.06,513.6,3879.2,56.0933333333333,520.85,2680.85,FALSE,"",FALSE,3355,10.33,3.22
15,1,"P2S","D1",2,0.2,"manual (03_trim_selector.R)",0,41.14,-0.06,399.9,3882.3,58.04,340.22,2500.22,FALSE,"",FALSE,3472,12.54,2.53
15,1,"P2S","D2",2,0.2,"manual (03_trim_selector.R)",0,40.68,-0.05,499.3,3879.2,56.3316666666667,455.6,2615.6,FALSE,"",FALSE,3369,9.97,2.38
15,1,"P2S","D3",2,0.2,"manual (03_trim_selector.R)",0,40.56,-0.03,613,3879.2,54.4366666666667,442.55,2602.55,FALSE,"",FALSE,3256,10.71,1.97
15,1,"P4","B4",4,0,"manual (03_trim_selector.R)",0,40.06,-0.05,560.9,3879.2,55.305,520.85,2680.85,FALSE,"",FALSE,3308,10.65,2.53
15,1,"P4","B5",4,0,"manual (03_trim_selector.R)",0,42.46,-0.07,556.2,3879.2,55.3833333333333,506.8,2666.8,FALSE,"",FALSE,3312,12.75,3
15,1,"P4","B6",4,0,"manual (03_trim_selector.R)",0,41.58,-0.07,636.7,3813.1,52.94,602.08,2762.08,FALSE,"",FALSE,3167,10.91,2.85
15,1,"P4S","D4",4,0.2,"manual (03_trim_selector.R)",0,42.71,-0.05,622.5,3879.2,54.2783333333333,623.17,2783.17,FALSE,"",FALSE,3246,11.27,2.05
15,1,"P4S","D5",4,0.2,"manual (03_trim_selector.R)",0,41.06,-0.05,594.1,3879.2,54.7516666666667,631.22,2791.22,FALSE,"",FALSE,3274,11.05,2.16
15,1,"P4S","D6",4,0.2,"manual (03_trim_selector.R)",0,40.11,-0.04,632,3879.2,54.12,557.93,2717.93,FALSE,"",FALSE,3237,9.77,2.18
15,2,"V","A1",0,0,"manual (03_trim_selector.R)",0,42.96,-0.17,25.1,3879.2,64.235,181.62,2341.62,FALSE,"",FALSE,3841,11.05,8.83
15,2,"V","A2",0,0,"manual (03_trim_selector.R)",0,41.21,-0.16,25.1,3710.8,61.4283333333333,232.82,2392.82,FALSE,"",FALSE,3674,11.05,9.17
15,2,"V","A3",0,0,"manual (03_trim_selector.R)",0,40.24,-0.16,25.1,3783,62.6316666666667,217.75,2377.75,FALSE,"",FALSE,3745,11.62,9.35
15,2,"V","A4",0,0,"manual (03_trim_selector.R)",0,40.96,-0.11,25.1,3734.9,61.83,277.93,2437.93,FALSE,"",FALSE,3698,10.66,8.48
15,2,"V","A5",0,0,"manual (03_trim_selector.R)",0,42.89,-0.18,40.1,3683.8,60.7283333333333,181.62,2341.62,FALSE,"",FALSE,3633,11.92,9.09
15,2,"S","C1",0,0.2,"manual (03_trim_selector.R)",0,42.47,-0.11,338.3,3882.3,59.0666666666667,442.55,2602.55,FALSE,"",FALSE,3533,10.99,5.61
15,2,"S","C2",0,0.2,"manual (03_trim_selector.R)",0,41.86,-0.1,494.6,3584.4,51.4966666666667,594.05,2754.05,FALSE,"",FALSE,3080,12.68,4.19
15,2,"S","C3",0,0.2,"manual (03_trim_selector.R)",0,41.93,-0.1,450.2,3879.2,57.15,692.4,2852.4,FALSE,"",FALSE,3418,11.92,6.04
15,2,"S","C4",0,0.2,"manual (03_trim_selector.R)",0,41.93,-0.16,347.7,3879.2,58.8583333333333,754.6,2914.6,FALSE,"",FALSE,3520,11.09,7.8
15,2,"S","C5",0,0.2,"manual (03_trim_selector.R)",0,42.17,-0.11,589,3879.2,54.8366666666667,881.05,3041.05,FALSE,"",FALSE,3280,12.46,6.47
15,2,"P2","B1",2,0,"manual (03_trim_selector.R)",0,40.81,-0.06,205.6,3882.3,61.2783333333333,194.67,2354.67,FALSE,"",FALSE,3666,10.7,3.52
15,2,"P2","B2",2,0,"manual (03_trim_selector.R)",0,42.29,-0.05,527.8,3876.2,55.8066666666667,454.6,2614.6,FALSE,"",FALSE,3338,12.61,2.95
15,2,"P2","B3",2,0,"manual (03_trim_selector.R)",0,41.21,-0.05,244.6,3879.2,60.5766666666667,367.32,2527.32,FALSE,"",FALSE,3623,12.85,4.43
15,2,"P2S","D1",2,0.2,"manual (03_trim_selector.R)",0,42.37,-0.05,428.3,3882.3,57.5666666666667,342.23,2502.23,FALSE,"",FALSE,3444,12.37,2.32
15,2,"P2S","D2",2,0.2,"manual (03_trim_selector.R)",0,40.21,-0.045,409.3,3879.2,57.8316666666667,385.38,2545.38,FALSE,"",FALSE,3459,11.93,2.345
15,2,"P2S","D3",2,0.2,"manual (03_trim_selector.R)",0,40.58,-0.1,428.3,3828.1,56.6633333333333,425.52,2585.52,FALSE,"",FALSE,3390,10.62,3.22
15,2,"P4","B4",4,0,"manual (03_trim_selector.R)",0,41.61,-0.09,287.6,3656.7,56.1516666666667,335.2,2495.2,FALSE,"",FALSE,3359,11.43,3.94
15,2,"P4","B5",4,0,"manual (03_trim_selector.R)",0,40.58,-0.16,257.7,3515.2,54.2916666666667,335.2,2495.2,FALSE,"",FALSE,3247,10.44,4.11
15,2,"P4","B6",4,0,"manual (03_trim_selector.R)",0,42.37,-0.07,385.6,3879.2,58.2266666666667,349.27,2509.27,FALSE,"",FALSE,3482,10.7,3.17
15,2,"P4S","D4",4,0.2,"manual (03_trim_selector.R)",0,40.98,-0.06,594.1,3879.2,54.7516666666667,661.3,2821.3,FALSE,"",FALSE,3274,11.77,2.66
15,2,"P4S","D5",4,0.2,"manual (03_trim_selector.R)",0,42.14,-0.07,613,3882.3,54.4883333333333,594.05,2754.05,FALSE,"",FALSE,3260,11.1,2.34
15,2,"P4S","D6",4,0.2,"manual (03_trim_selector.R)",0,40.12,-0.05,632,3882.3,54.1716666666667,506.8,2666.8,FALSE,"",FALSE,3241,11.35,2
15,3,"V","A1",0,0,"manual (03_trim_selector.R)",0,40.74,-0.16,25.1,3879.2,64.235,189.65,2349.65,FALSE,"",FALSE,3841,12.94,9.44
15,3,"V","A2",0,0,"manual (03_trim_selector.R)",0,42.47,-0.165,25.1,3843.1,63.6333333333333,194.67,2354.67,FALSE,"",FALSE,3805,13.21,9.315
15,3,"V","A3",0,0,"manual (03_trim_selector.R)",0,40.04,-0.15,25.1,3879.2,64.235,272.93,2432.93,FALSE,"",FALSE,3841,11.92,8.92
15,3,"V","A4",0,0,"manual (03_trim_selector.R)",0,41.46,-0.15,40.1,3858.2,63.635,231.82,2391.82,FALSE,"",FALSE,3807,13.56,8.64
15,3,"V","A5",0,0,"manual (03_trim_selector.R)",0,41.11,-0.13,25.1,3879.2,64.235,398.43,2558.43,FALSE,"",FALSE,3841,12.56,8.46
15,3,"S","C1",0,0.2,"manual (03_trim_selector.R)",0,40.96,-0.06,456.7,3879.2,57.0416666666667,512.82,2672.82,FALSE,"",FALSE,3411,10.65,5.23
15,3,"S","C2",0,0.2,"manual (03_trim_selector.R)",0,40.71,-0.1,560.9,3879.2,55.305,647.25,2807.25,FALSE,"",FALSE,3308,12.78,5.59
15,3,"S","C3",0,0.2,"manual (03_trim_selector.R)",0,41.85,-0.1,736.2,3882.3,52.435,625.18,2785.18,FALSE,"",FALSE,3137,12.49,4.97
15,3,"S","C4",0,0.2,"manual (03_trim_selector.R)",0,40.52,-0.09,569.8,3882.3,55.2083333333333,755.6,2915.6,FALSE,"",FALSE,3303,11.2,5.24
15,3,"S","C5",0,0.2,"manual (03_trim_selector.R)",0,40.71,-0.08,536.3,3882.3,55.7666666666667,677.37,2837.37,FALSE,"",FALSE,3336,11.85,4.9
15,3,"P2","B1",2,0,"manual (03_trim_selector.R)",0,41.85,-0.08,418.8,3882.3,57.725,483.7,2643.7,FALSE,"",FALSE,3453,10.79,3.41
15,3,"P2","B2",2,0,"manual (03_trim_selector.R)",0,42.62,-0.08,414.1,3882.3,57.8033333333333,366.3,2526.3,FALSE,"",FALSE,3458,13.75,3.95
15,3,"P2","B3",2,0,"manual (03_trim_selector.R)",0,41.43,-0.08,466.2,3879.2,56.8833333333333,398.43,2558.43,FALSE,"",FALSE,3402,11.9,3.22
15,3,"P2S","D1",2,0.2,"manual (03_trim_selector.R)",0,42.47,-0.06,452,3882.3,57.1716666666667,364.3,2524.3,FALSE,"",FALSE,3420,11.28,2.29
15,3,"P2S","D2",2,0.2,"manual (03_trim_selector.R)",0,42.24,-0.06,523,3882.3,55.9883333333333,350.27,2510.27,FALSE,"",FALSE,3349,11.35,2.9
15,3,"P2S","D3",2,0.2,"manual (03_trim_selector.R)",0,42.76,-0.08,421.5,3879.2,57.6283333333333,286.98,2446.98,FALSE,"",FALSE,3447,12.03,3.81
15,3,"P4","B4",4,0,"manual (03_trim_selector.R)",0,40.44,-0.07,470.9,3879.2,56.805,398.43,2558.43,FALSE,"",FALSE,3397,11.75,2.97
15,3,"P4","B5",4,0,"manual (03_trim_selector.R)",0,41.34,-0.06,636.7,3882.3,54.0933333333333,398.43,2558.43,FALSE,"",FALSE,3236,11.37,2.9
15,3,"P4","B6",4,0,"manual (03_trim_selector.R)",0,41.11,-0.05,613,3882.3,54.4883333333333,557.93,2717.93,FALSE,"",FALSE,3260,11.19,2.32
15,3,"P4S","D4",4,0.2,"manual (03_trim_selector.R)",0,40.16,-0.04,466.2,3879.2,56.8833333333333,555.93,2715.93,FALSE,"",FALSE,3402,11.87,2.66
15,3,"P4S","D5",4,0.2,"manual (03_trim_selector.R)",0,41.11,-0.06,452,3879.2,57.12,548.92,2708.92,FALSE,"",FALSE,3416,10.97,3.22
15,3,"P4S","D6",4,0.2,"manual (03_trim_selector.R)",0,42.62,-0.06,584.6,3810.7,53.7683333333333,578.98,2738.98,FALSE,"",FALSE,3216,11.63,2.42
27,1,"V","A1",0,0,"manual (03_trim_selector.R)",12,40.94,1.39,398.4,2392.4,33.2333333333333,398.43,2405.43,FALSE,"",FALSE,1989,10.4300138696256,7.84815533980586
27,1,"V","A2",0,0,"manual (03_trim_selector.R)",12,41.24,-0.03,399.4,2381.4,33.0333333333333,402.45,2562.45,FALSE,"",FALSE,1977,9.83839112343968,6.16751733703191
27,1,"V","A3",0,0,"manual (03_trim_selector.R)",12,40.42,0.56,399.4,2357.3,32.6316666666667,424.52,2584.52,FALSE,"",FALSE,1952,11.5412205270458,7.62740638002779
27,1,"V","A4",0,0,"manual (03_trim_selector.R)",12,40.69,1.24,399.4,2369.3,32.8316666666667,406.45,2413.45,FALSE,"",FALSE,1964,10.6759500693482,7.88169209431348
27,1,"V","A5",0,0,"manual (03_trim_selector.R)",12,41.28,0.54,399.4,2369.3,32.8316666666667,403.45,2563.45,FALSE,"",FALSE,1964,10.5923855755895,6.89825242718448
27,1,"S","C1",0,0.2,"manual (03_trim_selector.R)",12,40.89,-0.14,399.4,3465.1,51.095,430.53,2590.53,FALSE,"",FALSE,3057,10.7325104022191,8.05926490984742
27,1,"S","C2",0,0.2,"manual (03_trim_selector.R)",12,40.56,0.57,399.4,2471.6,34.5366666666667,464.63,2624.63,FALSE,"",FALSE,2066,10.2709708737864,5.03464632454922
27,1,"S","C3",0,0.2,"manual (03_trim_selector.R)",12,40.37,0.095,399.4,2423.5,33.735,460.62,2620.62,FALSE,"",FALSE,2019,11.3503328710125,4.36540915395285
27,1,"S","C4",0,0.2,"manual (03_trim_selector.R)",12,41.23,1.325,399.4,2465.6,34.4366666666667,472.67,2632.67,FALSE,"",FALSE,2061,9.84822468793342,5.53088765603329
27,1,"S","C5",0,0.2,"manual (03_trim_selector.R)",12,40.76,0.43,399.4,2995.8,43.2733333333333,431.53,2591.53,FALSE,"",FALSE,2589,10.1836893203883,6.94346740638002
27,1,"P2","B1",2,0,"manual (03_trim_selector.R)",12,41.9,0,399.4,2291.1,31.5283333333333,407.45,2567.45,FALSE,"",FALSE,1886,11.1987517337032,6.47776699029127
27,1,"P2","B2",2,0,"manual (03_trim_selector.R)",12,41.21,0.4,394.4,2731.9,38.9583333333333,394.42,2554.42,FALSE,"",FALSE,2330,11.0105825242719,7.17865464632457
27,1,"P2","B3",2,0,"manual (03_trim_selector.R)",12,41.14,0.895,396.4,2432.5,33.935,396.42,2556.42,FALSE,"",FALSE,2031,9.41687933425798,5.90559639389736
27,1,"P2S","D1",2,0.2,"manual (03_trim_selector.R)",12,42.81,-0.015,399.4,3519.2,51.9966666666667,399.43,2559.43,FALSE,"",FALSE,3110,10.7773092926491,6.31488904299582
27,1,"P2S","D2",2,0.2,"manual (03_trim_selector.R)",12,40.21,-0.14,399.4,3519.2,51.9966666666667,399.43,2559.43,FALSE,"",FALSE,3110,10.5955339805825,6.95202496532594
27,1,"P2S","D3",2,0.2,"manual (03_trim_selector.R)",12,42.72,-0.11,399.4,3519.2,51.9966666666667,408.47,2568.47,FALSE,"",FALSE,3110,11.3966158113731,6.31259361997227
27,1,"P4","B4",4,0,"manual (03_trim_selector.R)",12,41.21,1.035,399.4,2447.6,34.1366666666667,414.48,2574.48,FALSE,"",FALSE,2043,10.7362690707351,6.08923717059639
27,1,"P4","B5",4,0,"manual (03_trim_selector.R)",12,41.04,1.845,399.4,2333.2,32.23,405.45,2521.35,FALSE,"",FALSE,1928,10.032773925104,6.61088072122053
27,1,"P4","B6",4,0,"manual (03_trim_selector.R)",12,40.83,0.97,399.4,2489.7,34.8383333333333,399.43,2559.43,FALSE,"",FALSE,2085,10.6019833564494,6.05288488210819
27,1,"P4S","D4",4,0.2,"manual (03_trim_selector.R)",12,40.24,-0.12,399.4,3519.2,51.9966666666667,414.48,2574.48,FALSE,"",FALSE,3110,10.7007628294036,5.8916504854369
27,1,"P4S","D5",4,0.2,"manual (03_trim_selector.R)",12,42.24,-0.045,399.4,3519.2,51.9966666666667,408.47,2568.47,FALSE,"",FALSE,3110,10.0207073509015,5.97459778085992
27,1,"P4S","D6",4,0.2,"manual (03_trim_selector.R)",12,42.69,0.13,399.4,3519.2,51.9966666666667,429.52,2589.52,FALSE,"",FALSE,3110,10.5322884882108,6.1384327323162
27,2,"V","A1",0,0,"manual (03_trim_selector.R)",12,40.98,-0.33,444.6,2294.2,30.8266666666667,514.83,2674.83,FALSE,"",FALSE,1844,11.3689736477115,5.71185852981968
27,2,"V","A2",0,0,"manual (03_trim_selector.R)",12,40.98,-0.09,382.4,2605.6,37.0533333333333,382.37,2542.37,FALSE,"",FALSE,2216,9.69568654646321,6.22324549237167
27,2,"V","A3",0,0,"manual (03_trim_selector.R)",12,40.98,1.86,399.4,2556.4,35.95,415.48,2450.57,FALSE,"",FALSE,2150,10.4312482662968,8.71851595006935
27,2,"V","A4",0,0,"manual (03_trim_selector.R)",12,40.98,1.81,399.4,2501.7,35.0383333333333,418.5,2547.42,FALSE,"",FALSE,2097,11.6390984743411,8.84882108183075
27,2,"V","A5",0,0,"manual (03_trim_selector.R)",12,40.96,1.945,399.4,2489.7,34.8383333333333,418.5,2455.58,FALSE,"",FALSE,2085,10.7825104022191,8.55429958391122
27,2,"S","C1",0,0.2,"manual (03_trim_selector.R)",12,40.98,-0.265,399.4,3435,50.5933333333333,433.53,2593.53,FALSE,"",FALSE,3026,10.003522884882,7.79412621359217
27,2,"S","C2",0,0.2,"manual (03_trim_selector.R)",12,40.96,0.59,444.6,3125.2,44.6766666666667,432.53,2592.53,FALSE,"",FALSE,2672,10.8258807212205,7.22484049930651
27,2,"S","C3",0,0.2,"manual (03_trim_selector.R)",12,40.96,0.895,399.4,2700.9,38.3583333333333,432.53,2592.53,FALSE,"",FALSE,2295,10.3442441054092,5.90679611650492
27,2,"S","C4",0,0.2,"manual (03_trim_selector.R)",12,40.96,1,399.4,2730.9,38.8583333333333,428.52,2588.52,FALSE,"",FALSE,2324,11.5495561719833,6.31151178918168
27,2,"S","C5",0,0.2,"manual (03_trim_selector.R)",12,40.96,1.985,399.4,2544.4,35.75,495.75,2655.75,FALSE,"",FALSE,2138,9.73515950069347,6.3990776699029
27,2,"P2","B1",2,0,"manual (03_trim_selector.R)",12,40.98,1.065,381.4,2941.6,42.67,381.37,2541.37,FALSE,"",FALSE,2552,11.3214979195561,7.97663661581133
27,2,"P2","B2",2,0,"manual (03_trim_selector.R)",12,40.98,2.455,399.4,2375.3,32.9316666666667,402.45,2562.45,FALSE,"",FALSE,1970,11.6663800277392,7.80765603328707
27,2,"P2","B3",2,0,"manual (03_trim_selector.R)",12,40.98,2.56,399.4,2453.6,34.2366666666667,404.45,2564.45,FALSE,"",FALSE,2049,10.7006796116505,7.51900138696256
27,2,"P2S","D1",2,0.2,"manual (03_trim_selector.R)",12,40.98,-0.065,399.4,3519.2,51.9966666666667,405.45,2565.45,FALSE,"",FALSE,3110,10.7479611650486,5.97174063800281
27,2,"P2S","D2",2,0.2,"manual (03_trim_selector.R)",12,40.98,-0.1,399.4,3519.2,51.9966666666667,403.45,2563.45,FALSE,"",FALSE,3110,10.7191539528433,7.13635228848822
27,2,"P2S","D3",2,0.2,"manual (03_trim_selector.R)",12,40.96,-0.1,399.4,3519.2,51.9966666666667,403.45,2563.45,FALSE,"",FALSE,3110,11.5419972260749,6.97973647711509
27,2,"P4","B4",4,0,"manual (03_trim_selector.R)",12,40.98,2.415,399.4,2471.6,34.5366666666667,407.45,2567.45,FALSE,"",FALSE,2066,10.6180166435506,7.40314840499306
27,2,"P4","B5",4,0,"manual (03_trim_selector.R)",12,40.96,2.56,399.4,2471.6,34.5366666666667,415.48,2575.48,FALSE,"",FALSE,2066,11.1500970873786,7.13986130374479
27,2,"P4","B6",4,0,"manual (03_trim_selector.R)",12,40.98,0.145,429.5,2989.8,42.6716666666667,411.47,2571.47,FALSE,"",FALSE,2553,10.1846324549237,7.35895284327323
27,2,"P4S","D4",4,0.2,"manual (03_trim_selector.R)",12,40.98,-0.08,399.4,3519.2,51.9966666666667,418.5,2578.5,FALSE,"",FALSE,3110,10.2967961165049,6.53865464632456
27,2,"P4S","D5",4,0.2,"manual (03_trim_selector.R)",12,40.96,-0.01,399.4,3519.2,51.9966666666667,419.5,2579.5,FALSE,"",FALSE,3110,10.0568932038835,6.55908460471569
27,2,"P4S","D6",4,0.2,"manual (03_trim_selector.R)",12,40.98,-0.09,399.4,3519.2,51.9966666666667,419.5,2579.5,FALSE,"",FALSE,3110,10.4490984743412,6.07823855755894
27,3,"V","A1",0,0,"manual (03_trim_selector.R)",12,41.01,1.47,399.4,2267.1,31.1283333333333,400.43,2238.97,FALSE,"",FALSE,1863,9.84975034674065,7.5203328710125
27,3,"V","A2",0,0,"manual (03_trim_selector.R)",12,41.04,0.97,399.4,2273.1,31.2283333333333,404.45,2371.33,FALSE,"",FALSE,1869,10.4169902912621,7.35488210818308
27,3,"V","A3",0,0,"manual (03_trim_selector.R)",12,41.04,1.01,394.4,2280.1,31.4283333333333,394.42,2238.97,FALSE,"",FALSE,1881,10.0930513176144,7.81725381414699
