"File","Time","T","Dose","Replicate","Oxygen"
"sham_15_Oxygen.csv",0.03,15,"Control","R1",14.06
"sham_15_Oxygen.csv",1.05,15,"Control","R1",13.95
"sham_15_Oxygen.csv",2.05,15,"Control","R1",13.81
"sham_15_Oxygen.csv",3.05,15,"Control","R1",13.7
"sham_15_Oxygen.csv",4.05,15,"Control","R1",13.61
"sham_15_Oxygen.csv",5.05,15,"Control","R1",13.54
"sham_15_Oxygen.csv",6.05,15,"Control","R1",13.42
"sham_15_Oxygen.csv",7.05,15,"Control","R1",13.37
"sham_15_Oxygen.csv",8.05,15,"Control","R1",13.3
"sham_15_Oxygen.csv",9.05,15,"Control","R1",13.23
"sham_15_Oxygen.csv",10.05,15,"Control","R1",13.18
"sham_15_Oxygen.csv",11.05,15,"Control","R1",13.14
"sham_15_Oxygen.csv",12.05,15,"Control","R1",13.09
"sham_15_Oxygen.csv",13.05,15,"Control","R1",13.04
"sham_15_Oxygen.csv",14.05,15,"Control","R1",12.97
"sham_15_Oxygen.csv",15.05,15,"Control","R1",12.94
"sham_15_Oxygen.csv",16.05,15,"Control","R1",12.9
"sham_15_Oxygen.csv",17.05,15,"Control","R1",12.87
"sham_15_Oxygen.csv",18.05,15,"Control","R1",12.83
"sham_15_Oxygen.csv",19.05,15,"Control","R1",12.8
"sham_15_Oxygen.csv",20.05,15,"Control","R1",12.73
"sham_15_Oxygen.csv",21.05,15,"Control","R1",12.71
"sham_15_Oxygen.csv",22.05,15,"Control","R1",12.68
"sham_15_Oxygen.csv",23.07,15,"Control","R1",12.64
"sham_15_Oxygen.csv",24.07,15,"Control","R1",12.61
"sham_15_Oxygen.csv",25.07,15,"Control","R1",12.61
"sham_15_Oxygen.csv",26.07,15,"Control","R1",12.61
"sham_15_Oxygen.csv",27.07,15,"Control","R1",12.52
"sham_15_Oxygen.csv",28.07,15,"Control","R1",12.52
"sham_15_Oxygen.csv",29.08,15,"Control","R1",12.51
"sham_15_Oxygen.csv",30.08,15,"Control","R1",12.49
"sham_15_Oxygen.csv",31.08,15,"Control","R1",12.47
"sham_15_Oxygen.csv",32.08,15,"Control","R1",12.47
"sham_15_Oxygen.csv",33.08,15,"Control","R1",12.47
"sham_15_Oxygen.csv",34.08,15,"Control","R1",12.42
"sham_15_Oxygen.csv",35.1,15,"Control","R1",12.4
"sham_15_Oxygen.csv",36.1,15,"Control","R1",12.39
"sham_15_Oxygen.csv",37.1,15,"Control","R1",12.39
"sham_15_Oxygen.csv",38.1,15,"Control","R1",12.37
"sham_15_Oxygen.csv",39.1,15,"Control","R1",12.39
"sham_15_Oxygen.csv",40.1,15,"Control","R1",12.39
"sham_15_Oxygen.csv",41.12,15,"Control","R1",12.34
"sham_15_Oxygen.csv",42.12,15,"Control","R1",12.32
"sham_15_Oxygen.csv",43.13,15,"Control","R1",12.32
"sham_15_Oxygen.csv",44.13,15,"Control","R1",12.3
"sham_15_Oxygen.csv",45.13,15,"Control","R1",12.32
"sham_15_Oxygen.csv",46.13,15,"Control","R1",12.34
"sham_15_Oxygen.csv",47.13,15,"Control","R1",12.32
"sham_15_Oxygen.csv",48.13,15,"Control","R1",12.29
"sham_15_Oxygen.csv",49.13,15,"Control","R1",12.29
"sham_15_Oxygen.csv",50.13,15,"Control","R1",12.25
"sham_15_Oxygen.csv",51.13,15,"Control","R1",12.27
"sham_15_Oxygen.csv",52.13,15,"Control","R1",12.25
"sham_15_Oxygen.csv",53.13,15,"Control","R1",12.25
"sham_15_Oxygen.csv",54.13,15,"Control","R1",12.25
"sham_15_Oxygen.csv",55.13,15,"Control","R1",12.25
"sham_15_Oxygen.csv",56.13,15,"Control","R1",12.22
"sham_15_Oxygen.csv",57.13,15,"Control","R1",12.2
"sham_15_Oxygen.csv",58.13,15,"Control","R1",12.24
"sham_15_Oxygen.csv",59.13,15,"Control","R1",12.2
"sham_15_Oxygen.csv",60.13,15,"Control","R1",12.22
"sham_15_Oxygen.csv",61.13,15,"Control","R1",12.2
"sham_15_Oxygen.csv",62.13,15,"Control","R1",12.2
"sham_15_Oxygen.csv",63.13,15,"Control","R1",12.18
"sham_15_Oxygen.csv",64.13,15,"Control","R1",12.18
"sham_15_Oxygen.csv",65.15,15,"Control","R1",12.18
"sham_15_Oxygen.csv",66.15,15,"Control","R1",12.18
"sham_15_Oxygen.csv",67.15,15,"Control","R1",12.18
"sham_15_Oxygen.csv",68.15,15,"Control","R1",12.17
"sham_15_Oxygen.csv",69.15,15,"Control","R1",12.2
"sham_15_Oxygen.csv",70.15,15,"Control","R1",12.17
"sham_15_Oxygen.csv",71.15,15,"Control","R1",12.15
"sham_15_Oxygen.csv",72.17,15,"Control","R1",12.13
"sham_15_Oxygen.csv",73.17,15,"Control","R1",12.15
"sham_15_Oxygen.csv",74.17,15,"Control","R1",12.17
"sham_15_Oxygen.csv",75.17,15,"Control","R1",12.17
"sham_15_Oxygen.csv",76.17,15,"Control","R1",12.15
"sham_15_Oxygen.csv",77.18,15,"Control","R1",12.13
"sham_15_Oxygen.csv",78.18,15,"Control","R1",12.13
