"T","Dose","Replicate","main_run_start_time","steepest_drop_time"
15,"Control","R1",488.3,4009.1
15,"Control","R2",426.1,3912.9
15,"Control","R3",458.8,4023.2
15,"0.0125","R1",423.6,3927.9
15,"0.0125","R2",497.3,3919.9
15,"0.0125","R3",514,4037.4
15,"0.025","R1",553,4034.6
15,"0.025","R2",649.5,4047.4
15,"0.025","R3",638.7,4022.2
15,"0.05","R1",629.4,4057.5
15,"0.05","R2",795.1,4052.5
15,"0.05","R3",689.7,4012.3
15,"0.1","R1",509,4047.4
15,"0.1","R2",485,3955.6
15,"0.1","R3",599.3,4032.4
15,"0.2","R1",514,4047.4
15,"0.2","R2",500.4,3919.9
15,"0.2","R3",626.4,3905.5
15,"0.35","R1",524,3992.1
15,"0.35","R2",689.7,4009.1
15,"0.35","R3",519.8,3886.8
27,"Control","R1",729.2,2861.5
27,"Control","R2",955.9,3243.2
27,"Control","R3",650.9,2807.4
27,"0.0125","R1",375,3027.8
27,"0.0125","R2",908.7,3153
27,"0.0125","R3",1247.9,3447.4
27,"0.025","R1",391.1,2625
27,"0.025","R2",443.2,3497.8
27,"0.025","R3",648.9,3061.8
27,"0.05","R1",384.1,3241.2
27,"0.05","R2",971,3703.4
27,"0.05","R3",382.1,3368.5
27,"0.1","R1",583.7,3802.7
27,"0.1","R2",590.7,3962
27,"0.1","R3",310.9,4074.2
27,"0.2","R1",706.1,3551
27,"0.2","R2",938.8,3718.5
27,"0.2","R3",579.7,3533
27,"0.35","R1",316.9,3737.5
27,"0.35","R2",217.6,2458.7
27,"0.35","R3",113.3,3155
