rule,drop035,s15,s27,diff,p
fixed 400-3200,False,0.00047386441158346745,-0.018972734074222192,-0.01944659848580566,0.0023898709687334247
fixed 400-3200,True,0.005490121813978628,-0.017016133445151505,-0.022506255259130133,0.0012129117637731447
fixed 600-3200,False,0.00018985308712538037,-0.019982324490908976,-0.020172177578034356,0.0018889358494231423
fixed 600-3200,True,0.004803598628886832,-0.018406008602422533,-0.023209607231309364,0.001415015870057543
fixed 300-2500,False,0.0022735386504213785,-0.015699594742670752,-0.01797313339309213,0.01604681251602418
fixed 300-2500,True,0.00953994990465878,-0.01177794470937705,-0.02131789461403583,0.014736745804499414
fixed 800-3600,False,-0.0006653321787506807,-0.010691093580801564,-0.010025761402050883,0.04889780866501429
fixed 800-3600,True,0.003303673773178908,-0.0077267333520524865,-0.011030407125231394,0.054086063157461034
drawdown 5-85%,False,-0.0009056476788308418,-0.01896166287906929,-0.01805601520023845,3.516269826925898e-05
drawdown 5-85%,True,0.005067043162694566,-0.01711959563104388,-0.022186638793738448,4.86614503526285e-05
drawdown 10-90%,False,-0.0009966850784403076,-0.015319806888669884,-0.014323121810229577,0.003498837014133854
drawdown 10-90%,True,0.005282990946638128,-0.012652996187534377,-0.017935987134172503,0.002363553468794634
drawdown 5-95%,False,-0.0012936339396031626,-0.012039281384954992,-0.010745647445351829,0.012008806014944706
drawdown 5-95%,True,0.0048311504456257405,-0.0073655742782911295,-0.01219672472391687,0.0109032890554003
