T,Dose,Replicate,fit_start_used,fit_end_used,window_len_min,n_points_fit,delta_Ninoc_to_N0_min
15,0.06,R1,420.03,3793.03,3373,3374,419.5
15,0.06,R2,428.03,3848.03,3420,3421,427.2
15,0.06,R3,235.03,3498.03,3263,3264,234.4
15,0.12,R1,424.03,3690.03,3266,3267,423.3
15,0.12,R2,361.03,3625.03,3264,3265,360.5
15,0.12,R3,262.03,3282.03,3020,3021,261.5
15,0.25,R1,358.03,3622.03,3264,3265,357.8
15,0.25,R2,284.03,3185.03,2901,2902,284
15,0.25,R3,441.03,3355.03,2914,2915,440.2
15,0.5,R1,427.03,3535.03,3108,3109,426.1
15,0.5,R2,322.03,3100.03,2778,2779,321.4
15,0.5,R3,342.03,3567.03,3225,3226,341.7
15,1,R1,433.03,3703.03,3270,3271,432.5
15,1,R3,311.03,3257.03,2946,2947,310.4
15,2,R1,370.03,3474.03,3104,3105,369.3
15,2,R2,242.03,3253.03,3011,3012,241.1
15,2,R3,255.03,3257.03,3002,3003,254.8
15,4,R1,480.03,3204.03,2724,2725,479.6
15,4,R2,240.03,2465.03,2225,2226,239.8
15,4,R3,243.03,3341.03,3098,3099,242.6
15,Control,R1,426.03,3487.03,3061,3062,425.5
15,Control,R2,328.03,3791.03,3463,3464,327.7
15,Control,R3,329.03,3788.03,3459,3460,328.4
18,0.06,R1,472.03,3296.03,2824,2825,471.8
18,0.06,R2,271.03,3118.03,2847,2848,270.2
18,0.06,R3,491.03,3788.03,3297,3298,490.6
18,0.12,R1,290.03,3785.03,3495,3496,290
18,0.12,R2,256.03,3405.03,3149,3150,255.9
18,0.12,R3,233.03,3217.03,2984,2985,232.3
18,0.25,R1,324.03,3524.03,3200,3201,323.9
18,0.25,R2,425.03,3521.03,3096,3097,424.5
18,0.25,R3,492.03,3704.03,3212,3213,491.1
18,0.5,R1,293.03,3726.03,3433,3434,292.2
18,0.5,R2,260.03,3558.03,3298,3299,259.1
18,0.5,R3,441.03,3798.03,3357,3358,440.3
18,1,R1,244.03,3504.03,3260,3261,243.1
18,1,R2,237.03,3490.03,3253,3254,236.9
18,1,R3,389.03,3767.03,3378,3379,388.6
18,2,R1,478.03,3895.03,3417,3418,477.3
18,2,R2,322.03,3275.03,2953,2954,321.1
18,2,R3,282.03,3688.03,3406,3407,281.4
18,4,R1,350.03,3747.03,3397,3398,349.3
18,4,R2,351.03,3773.03,3422,3423,350.2
18,4,R3,236.03,3624.03,3388,3389,235.5
18,Control,R1,411.03,3746.03,3335,3336,410.2
18,Control,R2,413.03,3512.03,3099,3100,413
18,Control,R3,327.03,3392.03,3065,3066,326.3
21,0.06,R1,319.03,2904.03,2585,2586,318.2
21,0.06,R2,457.03,2929.03,2472,2473,456.1
21,0.06,R3,369.03,3190.03,2821,2822,368.8
21,0.12,R1,457.03,2983.03,2526,2527,456.1
21,0.12,R2,475.03,3228.03,2753,2754,474.7
21,0.12,R3,391.03,2994.03,2603,2604,390.5
21,0.25,R1,468.03,3108.03,2640,2641,467.4
21,0.25,R2,305.03,2405.03,2100,2101,304.1
21,0.25,R3,325.03,3216.03,2891,2892,324.9
21,0.5,R1,295.03,3238.03,2943,2944,294.1
21,0.5,R2,263.03,3149.03,2886,2887,263
21,0.5,R3,325.03,3390.03,3065,3066,324.3
21,1,R1,489.03,3514.03,3025,3026,488.1
21,1,R2,249.03,3736.03,3487,3488,248.6
21,1,R3,396.03,3277.03,2881,2882,395.6
21,2,R1,385.03,3589.03,3204,3205,384.8
21,2,R2,316.03,3388.03,3072,3073,315.6
21,2,R3,301.03,3501.03,3200,3201,300.4
21,4,R1,309.03,3519.03,3210,3211,308.8
21,4,R2,395.03,3488.03,3093,3094,394.3
21,4,R3,292.03,3444.03,3152,3153,291.7
21,Control,R1,296.03,2783.03,2487,2488,295.7
21,Control,R2,471.03,3033.03,2562,2563,470.4
21,Control,R3,247.03,2948.03,2701,2702,246.2
24,0.06,R1,293.03,2358.03,2065,2066,292.1
24,0.06,R2,279.03,3036.03,2757,2758,278.9
24,0.06,R3,376.03,2457.03,2081,2082,375.4
24,0.12,R1,256.03,2665.03,2409,2410,255.7
24,0.12,R2,365.03,2480.03,2115,2116,364.6
24,0.12,R3,316.03,2184.03,1868.0000000000002,1869,315.1
