"Trait","Temperature_C","Replicate","Prothioconazole_mg_L","log10_Prothioconazole_mg_L","Rate_raw","log10_Rate"
"Growth rate (C C⁻¹ h⁻¹)",15,"R1",0.06,-1.22184874961636,0.0359535773618061,-1.44425789106143
"Growth rate (C C⁻¹ h⁻¹)",15,"R2",0.06,-1.22184874961636,0.0290762121808841,-1.53646217058076
"Growth rate (C C⁻¹ h⁻¹)",15,"R3",0.06,-1.22184874961636,0.0345069803971716,-1.46209304285927
"Growth rate (C C⁻¹ h⁻¹)",15,"R1",0.12,-0.920818753952375,0.0407632916942839,-1.3897307533471
"Growth rate (C C⁻¹ h⁻¹)",15,"R2",0.12,-0.920818753952375,0.0355461938799757,-1.44920689466466
"Growth rate (C C⁻¹ h⁻¹)",15,"R3",0.12,-0.920818753952375,0.0298434841570482,-1.52515047537335
"Growth rate (C C⁻¹ h⁻¹)",15,"R1",0.25,-0.602059991327962,0.0323785013261402,-1.489743256906
"Growth rate (C C⁻¹ h⁻¹)",15,"R2",0.25,-0.602059991327962,0.0426436467072152,-1.37014566333652
"Growth rate (C C⁻¹ h⁻¹)",15,"R3",0.25,-0.602059991327962,0.0342688943964394,-1.46509990681236
"Growth rate (C C⁻¹ h⁻¹)",15,"R1",0.5,-0.301029995663981,0.0275395612548839,-1.56004298296438
"Growth rate (C C⁻¹ h⁻¹)",15,"R2",0.5,-0.301029995663981,0.0310822917962998,-1.50748696677615
"Growth rate (C C⁻¹ h⁻¹)",15,"R3",0.5,-0.301029995663981,0.011377640828706,-1.94394778023366
"Growth rate (C C⁻¹ h⁻¹)",15,"R1",1,0,0.00986811477347156,-2.00576580798697
"Growth rate (C C⁻¹ h⁻¹)",15,"R3",1,0,0.0208519552494261,-1.68085321578742
"Growth rate (C C⁻¹ h⁻¹)",15,"R1",2,0.301029995663981,0.0195280915296185,-1.70934019801554
"Growth rate (C C⁻¹ h⁻¹)",15,"R2",2,0.301029995663981,0.00936102607206924,-2.0286765451706
"Growth rate (C C⁻¹ h⁻¹)",15,"R3",2,0.301029995663981,0.0169127479764765,-1.7717858226766
"Growth rate (C C⁻¹ h⁻¹)",15,"R1",4,0.602059991327962,0.0165970550932599,-1.77996896438202
