"Trait","Temperature_C","Replicate","Prothioconazole_mg_L","Rate_raw"
"Growth rate (C C⁻¹ h⁻¹)",15,"R1",0.06,0.0359535773618061
"Growth rate (C C⁻¹ h⁻¹)",15,"R2",0.06,0.0290762121808841
"Growth rate (C C⁻¹ h⁻¹)",15,"R3",0.06,0.0345069803971716
"Growth rate (C C⁻¹ h⁻¹)",15,"R1",0.12,0.0407632916942839
"Growth rate (C C⁻¹ h⁻¹)",15,"R2",0.12,0.0355461938799757
"Growth rate (C C⁻¹ h⁻¹)",15,"R3",0.12,0.0298434841570482
"Growth rate (C C⁻¹ h⁻¹)",15,"R1",0.25,0.0323785013261402
"Growth rate (C C⁻¹ h⁻¹)",15,"R2",0.25,0.0426436467072152
"Growth rate (C C⁻¹ h⁻¹)",15,"R3",0.25,0.0342688943964394
"Growth rate (C C⁻¹ h⁻¹)",15,"R1",0.5,0.0275395612548839
"Growth rate (C C⁻¹ h⁻¹)",15,"R2",0.5,0.0310822917962998
"Growth rate (C C⁻¹ h⁻¹)",15,"R3",0.5,0.011377640828706
"Growth rate (C C⁻¹ h⁻¹)",15,"R1",1,0.00986811477347156
"Growth rate (C C⁻¹ h⁻¹)",15,"R3",1,0.0208519552494261
"Growth rate (C C⁻¹ h⁻¹)",15,"R1",2,0.0195280915296185
"Growth rate (C C⁻¹ h⁻¹)",15,"R2",2,0.00936102607206924
"Growth rate (C C⁻¹ h⁻¹)",15,"R3",2,0.0169127479764765
"Growth rate (C C⁻¹ h⁻¹)",15,"R1",4,0.0165970550932599
"Growth rate (C C⁻¹ h⁻¹)",15,"R3",4,0.0103700702503511
"Growth rate (C C⁻¹ h⁻¹)",15,"R1",0,0.0512837128404491
"Growth rate (C C⁻¹ h⁻¹)",15,"R2",0,0.0365114659178242
"Growth rate (C C⁻¹ h⁻¹)",15,"R3",0,0.0382769565572158
"Growth rate (C C⁻¹ h⁻¹)",18,"R1",0.06,0.0434787810394461
"Growth rate (C C⁻¹ h⁻¹)",18,"R2",0.06,0.0408701758000171
"Growth rate (C C⁻¹ h⁻¹)",18,"R3",0.06,0.0438330855307813
"Growth rate (C C⁻¹ h⁻¹)",18,"R1",0.12,0.0406428181189353
"Growth rate (C C⁻¹ h⁻¹)",18,"R2",0.12,0.0418928534129786
"Growth rate (C C⁻¹ h⁻¹)",18,"R3",0.12,0.0467818606271068
"Growth rate (C C⁻¹ h⁻¹)",18,"R1",0.25,0.0364225452405079
"Growth rate (C C⁻¹ h⁻¹)",18,"R2",0.25,0.0385252957400342
"Growth rate (C C⁻¹ h⁻¹)",18,"R3",0.25,0.0414940444676649
"Growth rate (C C⁻¹ h⁻¹)",18,"R1",0.5,0.0371550008057161
"Growth rate (C C⁻¹ h⁻¹)",18,"R2",0.5,0.0340957752851885
"Growth rate (C C⁻¹ h⁻¹)",18,"R3",0.5,0.0358792548013018
"Growth rate (C C⁻¹ h⁻¹)",18,"R1",1,0.0301037993267291
"Growth rate (C C⁻¹ h⁻¹)",18,"R2",1,0.0269348562300985
"Growth rate (C C⁻¹ h⁻¹)",18,"R3",1,0.0355982125630528
"Growth rate (C C⁻¹ h⁻¹)",18,"R1",2,0.0277283920237299
"Growth rate (C C⁻¹ h⁻¹)",18,"R2",2,0.0371397522109329
"Growth rate (C C⁻¹ h⁻¹)",18,"R3",2,0.0282683575206706
"Growth rate (C C⁻¹ h⁻¹)",18,"R1",4,0.0216158746737364
"Growth rate (C C⁻¹ h⁻¹)",18,"R2",4,0.0263550735246285
"Growth rate (C C⁻¹ h⁻¹)",18,"R3",4,0.0269751148698377
"Growth rate (C C⁻¹ h⁻¹)",18,"R1",0,0.0513667476829652
"Growth rate (C C⁻¹ h⁻¹)",18,"R2",0,0.0462963842683228
"Growth rate (C C⁻¹ h⁻¹)",18,"R3",0,0.0441259460016085
"Growth rate (C C⁻¹ h⁻¹)",21,"R1",0.06,0.0491958148851062
"Growth rate (C C⁻¹ h⁻¹)",21,"R2",0.06,0.0577592152387967
"Growth rate (C C⁻¹ h⁻¹)",21,"R3",0.06,0.0489576836332108
"Growth rate (C C⁻¹ h⁻¹)",21,"R1",0.12,0.0454839851799772
"Growth rate (C C⁻¹ h⁻¹)",21,"R2",0.12,0.0437872490412077
"Growth rate (C C⁻¹ h⁻¹)",21,"R3",0.12,0.0421667526962874
"Growth rate (C C⁻¹ h⁻¹)",21,"R1",0.25,0.0426389042909931
"Growth rate (C C⁻¹ h⁻¹)",21,"R2",0.25,0.0386100403862494
"Growth rate (C C⁻¹ h⁻¹)",21,"R3",0.25,0.0443187755323027
"Growth rate (C C⁻¹ h⁻¹)",21,"R1",0.5,0.039627975738438
"Growth rate (C C⁻¹ h⁻¹)",21,"R2",0.5,0.0311739285206044
"Growth rate (C C⁻¹ h⁻¹)",21,"R3",0.5,0.0395460642312201
"Growth rate (C C⁻¹ h⁻¹)",21,"R1",1,0.0357747666470976
"Growth rate (C C⁻¹ h⁻¹)",21,"R2",1,0.0359350842210787
"Growth rate (C C⁻¹ h⁻¹)",21,"R3",1,0.0263703105570075
"Growth rate (C C⁻¹ h⁻¹)",21,"R1",2,0.0251633865677298
"Growth rate (C C⁻¹ h⁻¹)",21,"R2",2,0.0268967185208014
"Growth rate (C C⁻¹ h⁻¹)",21,"R3",2,0.0273966363779597
"Growth rate (C C⁻¹ h⁻¹)",21,"R1",4,0.0235070804903686
"Growth rate (C C⁻¹ h⁻¹)",21,"R2",4,0.0189236711826316
"Growth rate (C C⁻¹ h⁻¹)",21,"R3",4,0.0258411199459403
"Growth rate (C C⁻¹ h⁻¹)",21,"R1",0,0.0449595455578428
"Growth rate (C C⁻¹ h⁻¹)",21,"R2",0,0.0549761702472446
"Growth rate (C C⁻¹ h⁻¹)",21,"R3",0,0.0573885978736971
"Growth rate (C C⁻¹ h⁻¹)",24,"R1",0.06,0.0593755315405165
"Growth rate (C C⁻¹ h⁻¹)",24,"R2",0.06,0.0621548972835414
"Growth rate (C C⁻¹ h⁻¹)",24,"R3",0.06,0.0578054303965538
"Growth rate (C C⁻¹ h⁻¹)",24,"R1",0.12,0.0505572885195017
"Growth rate (C C⁻¹ h⁻¹)",24,"R2",0.12,0.0520455752249494
"Growth rate (C C⁻¹ h⁻¹)",24,"R3",0.12,0.0920309854432559
"Growth rate (C C⁻¹ h⁻¹)",24,"R1",0.25,0.0527072808181744
"Growth rate (C C⁻¹ h⁻¹)",24,"R2",0.25,0.046668383063502
"Growth rate (C C⁻¹ h⁻¹)",24,"R3",0.25,0.0460942522421282
"Growth rate (C C⁻¹ h⁻¹)",24,"R1",0.5,0.0407492976275193
"Growth rate (C C⁻¹ h⁻¹)",24,"R2",0.5,0.0361005503473155
"Growth rate (C C⁻¹ h⁻¹)",24,"R3",0.5,0.0377760011624989
"Growth rate (C C⁻¹ h⁻¹)",24,"R1",1,0.0424888672487823
"Growth rate (C C⁻¹ h⁻¹)",24,"R2",1,0.0399312612626697
"Growth rate (C C⁻¹ h⁻¹)",24,"R3",1,0.0327611270414601
"Growth rate (C C⁻¹ h⁻¹)",24,"R1",2,0.0181321377116211
"Growth rate (C C⁻¹ h⁻¹)",24,"R2",2,0.0248803514159861
"Growth rate (C C⁻¹ h⁻¹)",24,"R3",2,0.0198359888924187
"Growth rate (C C⁻¹ h⁻¹)",24,"R1",4,0.0193198959994516
"Growth rate (C C⁻¹ h⁻¹)",24,"R2",4,0.0184514678574354
"Growth rate (C C⁻¹ h⁻¹)",24,"R3",4,0.01681063337542
"Growth rate (C C⁻¹ h⁻¹)",24,"R1",0,0.0605187722117755
"Growth rate (C C⁻¹ h⁻¹)",24,"R2",0,0.0700260139947444
"Growth rate (C C⁻¹ h⁻¹)",24,"R3",0,0.0634625241339272
"Growth rate (C C⁻¹ h⁻¹)",26,"R1",0.06,0.0518494392889179
"Growth rate (C C⁻¹ h⁻¹)",26,"R2",0.06,0.0382557906472337
"Growth rate (C C⁻¹ h⁻¹)",26,"R1",0.12,0.0415157038660136
"Growth rate (C C⁻¹ h⁻¹)",26,"R2",0.12,0.0385458344323208
"Growth rate (C C⁻¹ h⁻¹)",26,"R3",0.12,0.0256123488572483
"Growth rate (C C⁻¹ h⁻¹)",26,"R1",0.25,0.0480683653032452
"Growth rate (C C⁻¹ h⁻¹)",26,"R2",0.25,0.0286922467897099
"Growth rate (C C⁻¹ h⁻¹)",26,"R3",0.25,0.0561162316004592
"Growth rate (C C⁻¹ h⁻¹)",26,"R1",0.5,0.037081465117482
"Growth rate (C C⁻¹ h⁻¹)",26,"R2",0.5,0.0224509512056191
"Growth rate (C C⁻¹ h⁻¹)",26,"R3",0.5,0.0582326920099339
"Growth rate (C C⁻¹ h⁻¹)",26,"R1",1,0.029383147067769
"Growth rate (C C⁻¹ h⁻¹)",26,"R2",1,0.0324769698493367
"Growth rate (C C⁻¹ h⁻¹)",26,"R3",1,0.0294812749016519
"Growth rate (C C⁻¹ h⁻¹)",26,"R1",2,0.0197704081447541
"Growth rate (C C⁻¹ h⁻¹)",26,"R2",2,0.0223728162244659
"Growth rate (C C⁻¹ h⁻¹)",26,"R3",2,0.0217589596555376
"Growth rate (C C⁻¹ h⁻¹)",26,"R1",4,0.0211272310984916
"Growth rate (C C⁻¹ h⁻¹)",26,"R2",4,0.0229778051437962
"Growth rate (C C⁻¹ h⁻¹)",26,"R3",4,0.0289654910728231
"Growth rate (C C⁻¹ h⁻¹)",26,"R1",0,0.0614086584440698
"Growth rate (C C⁻¹ h⁻¹)",26,"R2",0,0.0570848711820664
"Growth rate (C C⁻¹ h⁻¹)",26,"R3",0,0.0430787941583324
"Growth rate (C C⁻¹ h⁻¹)",27,"R1",0.06,0.0201258961232248
"Growth rate (C C⁻¹ h⁻¹)",27,"R3",0.06,0.0481072024656951
"Growth rate (C C⁻¹ h⁻¹)",27,"R1",0.12,0.0361225283145612
"Growth rate (C C⁻¹ h⁻¹)",27,"R2",0.12,0.041593219002031
"Growth rate (C C⁻¹ h⁻¹)",27,"R3",0.12,0.0385861653762055
"Growth rate (C C⁻¹ h⁻¹)",27,"R1",0.25,0.0373037024917286
"Growth rate (C C⁻¹ h⁻¹)",27,"R2",0.25,0.0397859453487728
"Growth rate (C C⁻¹ h⁻¹)",27,"R1",0.5,0.0311644138009365
"Growth rate (C C⁻¹ h⁻¹)",27,"R2",0.5,0.0381720109407179
"Growth rate (C C⁻¹ h⁻¹)",27,"R3",0.5,0.0315245393429751
"Growth rate (C C⁻¹ h⁻¹)",27,"R1",1,0.047764372733282
"Growth rate (C C⁻¹ h⁻¹)",27,"R3",1,0.0317562280776504
"Growth rate (C C⁻¹ h⁻¹)",27,"R1",2,0.0209842470796143
"Growth rate (C C⁻¹ h⁻¹)",27,"R2",2,0.0325965842286363
"Growth rate (C C⁻¹ h⁻¹)",27,"R3",2,0.0455922582520217
"Growth rate (C C⁻¹ h⁻¹)",27,"R2",4,0.015858747328049
"Growth rate (C C⁻¹ h⁻¹)",27,"R3",4,0.0277674891108573
"Growth rate (C C⁻¹ h⁻¹)",27,"R1",0,0.0383613334890222
"Growth rate (C C⁻¹ h⁻¹)",27,"R2",0,0.0447532415736676
"Growth rate (C C⁻¹ h⁻¹)",27,"R3",0,0.0409374012919594
"Growth rate (C C⁻¹ h⁻¹)",28,"R3",0.06,0.0383345609514697
"Growth rate (C C⁻¹ h⁻¹)",28,"R1",0.12,0.0318518153197871
"Growth rate (C C⁻¹ h⁻¹)",28,"R2",0.12,0.0413063156161928
"Growth rate (C C⁻¹ h⁻¹)",28,"R2",0.25,0.0319965207567005
"Growth rate (C C⁻¹ h⁻¹)",28,"R3",0.25,0.0414684503120573
"Growth rate (C C⁻¹ h⁻¹)",28,"R1",0.5,0.0311911561169268
"Growth rate (C C⁻¹ h⁻¹)",28,"R2",0.5,0.0397551038825907
"Growth rate (C C⁻¹ h⁻¹)",28,"R3",0.5,0.029477958573919
"Growth rate (C C⁻¹ h⁻¹)",28,"R2",1,0.0307998394053045
"Growth rate (C C⁻¹ h⁻¹)",28,"R3",1,0.0286666065039109
"Growth rate (C C⁻¹ h⁻¹)",28,"R1",2,0.0273452314868608
"Growth rate (C C⁻¹ h⁻¹)",28,"R2",2,0.017687557174156
"Growth rate (C C⁻¹ h⁻¹)",28,"R3",2,0.0229641748873811
"Growth rate (C C⁻¹ h⁻¹)",28,"R1",4,0.0182089443475353
"Growth rate (C C⁻¹ h⁻¹)",28,"R2",4,0.0139417955737372
"Growth rate (C C⁻¹ h⁻¹)",28,"R3",4,0.0184458128221386
"Growth rate (C C⁻¹ h⁻¹)",28,"R1",0,0.0335288335152292
"Growth rate (C C⁻¹ h⁻¹)",28,"R2",0,0.0372127906645328
"Growth rate (C C⁻¹ h⁻¹)",28,"R3",0,0.0357614607881547
"Respiration rate (C C⁻¹ h⁻¹)",15,"R1",0.06,0.0377020478412876
"Respiration rate (C C⁻¹ h⁻¹)",15,"R2",0.06,0.0477822992731427
"Respiration rate (C C⁻¹ h⁻¹)",15,"R3",0.06,0.046858595046398
"Respiration rate (C C⁻¹ h⁻¹)",15,"R1",0.12,0.0285004998649726
"Respiration rate (C C⁻¹ h⁻¹)",15,"R2",0.12,0.040599424601477
"Respiration rate (C C⁻¹ h⁻¹)",15,"R3",0.12,0.0671605473876386
"Respiration rate (C C⁻¹ h⁻¹)",15,"R1",0.25,0.039289129880931
"Respiration rate (C C⁻¹ h⁻¹)",15,"R2",0.25,0.0438399297848612
"Respiration rate (C C⁻¹ h⁻¹)",15,"R3",0.25,0.050830910176887
"Respiration rate (C C⁻¹ h⁻¹)",15,"R1",0.5,0.0365819946760447
"Respiration rate (C C⁻¹ h⁻¹)",15,"R2",0.5,0.0689828328378275
"Respiration rate (C C⁻¹ h⁻¹)",15,"R3",0.5,0.1467317404481
"Respiration rate (C C⁻¹ h⁻¹)",15,"R1",1,0.132693081832004
"Respiration rate (C C⁻¹ h⁻¹)",15,"R3",1,0.0505796947856559
"Respiration rate (C C⁻¹ h⁻¹)",15,"R1",2,0.0444676645419738
"Respiration rate (C C⁻¹ h⁻¹)",15,"R2",2,0.0731902086294544
"Respiration rate (C C⁻¹ h⁻¹)",15,"R3",2,0.0579999968222807
"Respiration rate (C C⁻¹ h⁻¹)",15,"R1",4,0.0437334853147665
"Respiration rate (C C⁻¹ h⁻¹)",15,"R3",4,0.0660592356674198
"Respiration rate (C C⁻¹ h⁻¹)",15,"R1",0,0.0293570460943123
"Respiration rate (C C⁻¹ h⁻¹)",15,"R2",0,0.0507167906537192
"Respiration rate (C C⁻¹ h⁻¹)",15,"R3",0,0.0484736450452262
"Respiration rate (C C⁻¹ h⁻¹)",18,"R1",0.06,0.0601917119855745
"Respiration rate (C C⁻¹ h⁻¹)",18,"R2",0.06,0.0727497375586304
"Respiration rate (C C⁻¹ h⁻¹)",18,"R3",0.06,0.0405280907318002
"Respiration rate (C C⁻¹ h⁻¹)",18,"R1",0.12,0.0407692492164542
"Respiration rate (C C⁻¹ h⁻¹)",18,"R2",0.12,0.0591370411806638
"Respiration rate (C C⁻¹ h⁻¹)",18,"R3",0.12,0.0575483384734942
"Respiration rate (C C⁻¹ h⁻¹)",18,"R1",0.25,0.0623490653993129
"Respiration rate (C C⁻¹ h⁻¹)",18,"R2",0.25,0.0654980938813951
"Respiration rate (C C⁻¹ h⁻¹)",18,"R3",0.25,0.0505041727446769
"Respiration rate (C C⁻¹ h⁻¹)",18,"R1",0.5,0.0498976115906395
"Respiration rate (C C⁻¹ h⁻¹)",18,"R2",0.5,0.0725459560381723
"Respiration rate (C C⁻¹ h⁻¹)",18,"R3",0.5,0.0533632492255113
"Respiration rate (C C⁻¹ h⁻¹)",18,"R1",1,0.075398513101464
"Respiration rate (C C⁻¹ h⁻¹)",18,"R2",1,0.0863436165773997
"Respiration rate (C C⁻¹ h⁻¹)",18,"R3",1,0.0558718055856019
"Respiration rate (C C⁻¹ h⁻¹)",18,"R1",2,0.0589822523288015
"Respiration rate (C C⁻¹ h⁻¹)",18,"R2",2,0.0469427928679075
"Respiration rate (C C⁻¹ h⁻¹)",18,"R3",2,0.0547801532674335
"Respiration rate (C C⁻¹ h⁻¹)",18,"R1",4,0.0796740393727795
