T,Dose,Replicate,parameter,Estimate,SE,t value,p_value,T_end_min
15,0.06,R1,r,5.992262893634349e-4,1.8405130373782277e-6,325.57568308074593,0,3373
15,0.06,R1,K,2.743161622538152e-4,1.0884387293794822e-6,252.0271971672696,0,3373
15,0.06,R1,O2_0,8.40729262655555,0.0014575043293058045,5768.27969393399,0,3373
15,0.06,R2,r,4.8460353634806786e-4,1.7917431836499434e-6,270.4648415968222,0,3420
15,0.06,R2,K,3.325763210701672e-4,1.2610768633646182e-6,263.7240684781389,0,3420
15,0.06,R2,O2_0,9.403438298764007,0.0015168564125422632,6199.293631889502,0,3420
15,0.06,R3,r,5.751163399528598e-4,1.8883097133746505e-6,304.56674341046175,0,3263
15,0.06,R3,K,3.0342461618076814e-4,1.1800324271800971e-6,257.1324390685234,0,3263
15,0.06,R3,O2_0,9.263360050286607,0.0014557525662852407,6363.279217102572,0,3263
15,0.12,R1,r,6.793881949047309e-4,2.233145197918965e-6,304.2292975565775,0,3266
15,0.12,R1,K,2.1501292151772722e-4,1.0189610040730156e-6,211.01192357535996,0,3266
15,0.12,R1,O2_0,9.146406933017474,0.001414651983586999,6465.481997788457,0,3266
15,0.12,R2,r,5.924365646662624e-4,1.957681039994374e-6,302.62159798409493,0,3264
15,0.12,R2,K,2.8443898111927803e-4,1.1529394130140296e-6,246.70765688865978,0,3264
15,0.12,R2,O2_0,10.419540120970693,0.0014503182362167826,7184.312974061824,0,3264
15,0.12,R3,r,4.973914026174694e-4,2.0020911565802578e-6,248.4359420812069,0,3020
15,0.12,R3,K,4.328301170841986e-4,1.5959505712141697e-6,271.2052145543013,0,3020
15,0.12,R3,O2_0,9.584742643946885,0.0016126008082819646,5943.654867789813,0,3020
15,0.25,R1,r,5.396416887690034e-4,2.3175148897717537e-6,232.85360156721643,0,3264
15,0.25,R1,K,2.6967651840777146e-4,1.2743841176339115e-6,211.6132135328766,0,3264
15,0.25,R1,O2_0,8.779608342816204,0.0015136101102221856,5800.442454449138,0,3264
15,0.25,R2,r,7.107274451202535e-4,2.3324523234017664e-6,304.7125285217803,0,2901
15,0.25,R2,K,3.03561162076224e-4,1.3173799951424136e-6,230.42794273144244,0,2901
15,0.25,R2,O2_0,8.748608821527094,0.0015384847641714179,5686.50988639386,0,2901
15,0.25,R3,r,5.711482399406563e-4,2.331063372614706e-6,245.0161787322028,0,2914
15,0.25,R3,K,3.698566766065653e-4,1.55565672426712e-6,237.7495438659883,0,2914
15,0.25,R3,O2_0,8.882088341069236,0.001597985093716613,5558.30487780782,0,2914
15,0.5,R1,r,4.589926875813983e-4,3.3297681030416896e-6,137.8452412833542,0,3108
15,0.5,R1,K,2.517217805217777e-4,1.5771053333888826e-6,159.60999889644538,0,3108
15,0.5,R1,O2_0,8.20736373438608,0.0016011962917337145,5125.769886401285,0,3108
