T,Dose,Replicate,r,K,O2_0,T_end_min
15,0.06,R1,5.992262893634349e-4,2.743161622538152e-4,8.40729262655555,3373
15,0.06,R2,4.8460353634806786e-4,3.325763210701672e-4,9.403438298764007,3420
15,0.06,R3,5.751163399528598e-4,3.0342461618076814e-4,9.263360050286607,3263
15,0.12,R1,6.793881949047309e-4,2.1501292151772722e-4,9.146406933017474,3266
15,0.12,R2,5.924365646662624e-4,2.8443898111927803e-4,10.419540120970693,3264
15,0.12,R3,4.973914026174694e-4,4.328301170841986e-4,9.584742643946885,3020
15,0.25,R1,5.396416887690034e-4,2.6967651840777146e-4,8.779608342816204,3264
15,0.25,R2,7.107274451202535e-4,3.03561162076224e-4,8.748608821527094,2901
15,0.25,R3,5.711482399406563e-4,3.698566766065653e-4,8.882088341069236,2914
15,0.5,R1,4.589926875813983e-4,2.517217805217777e-4,8.20736373438608,3108
15,0.5,R2,5.180381966049959e-4,4.61068502700495e-4,8.554513069021725,2778
15,0.5,R3,1.8962734714510034e-4,8.858903340673166e-4,8.591055254293888,3225
15,1,R1,1.6446857955785933e-4,8.062250678220745e-4,7.779864962220083,3270
15,1,R3,3.475325874904354e-4,3.188165309844835e-4,7.82336845872018,2946
15,2,R1,3.2546819216030783e-4,2.837657761903313e-4,8.906425689499136,3104
15,2,R2,1.5601710120115398e-4,4.300359674773109e-4,8.600862912780824,3011
15,2,R3,2.818791329412753e-4,3.5264336052197564e-4,9.001203888883028,3002
15,4,R1,2.7661758488766575e-4,2.8258272342135605e-4,9.364123135193394,2724
15,4,R2,8.314429665468632e-5,5.432242398465834e-4,8.547070162988634,2225
15,4,R3,1.7283450417251913e-4,3.8981527676195207e-4,8.39949091720709,3098
15,Control,R1,8.547285473408178e-4,2.3898745546741112e-4,9.460933749896725,3061
15,Control,R2,6.08524431963736e-4,3.5032523504321933e-4,8.795529525110961,3463
15,Control,R3,6.379492759535965e-4,3.382259856263849e-4,9.946467082600835,3459
18,0.06,R1,7.246463506574355e-4,4.7943786051678097e-4,8.77171816577818,2824
