T,Dose,Replicate,n,r2,rmse,rss,aic,aicc,T_end_min,on_boundary,quality_ok,keep
15,0.06,R1,3374,0.998198341531897,0.03561276689950002,4.279140166887431,-22498.924719155708,-22498.917597493986,3373,FALSE,TRUE,TRUE
15,0.06,R2,3421,0.9981153460497764,0.035765520639023565,4.376049008171618,-22783.134910415978,-22783.127886710972,3420,FALSE,TRUE,TRUE
15,0.06,R3,3264,0.9982415926805951,0.034398718216144174,3.8621992038782804,-21991.636454302145,-21991.629092338953,3263,FALSE,TRUE,TRUE
15,0.12,R1,3267,0.9976756068259082,0.03480743111903051,3.9581575720334765,-21934.677879935498,-21934.67052474089,3266,FALSE,TRUE,TRUE
15,0.12,R2,3265,0.9981259319570682,0.03450526211038158,3.88735181494453,-21978.181673889427,-21978.174314183816,3264,FALSE,TRUE,TRUE
15,0.12,R3,3021,0.9983439862623277,0.0350888090064716,3.7195292673452736,-20233.93285373952,-20233.92489881741,3020,FALSE,TRUE,TRUE
15,0.25,R1,3265,0.9973033281344265,0.035292503178407236,4.0667559486520934,-21830.873170319413,-21830.865810613803,3264,FALSE,TRUE,TRUE
15,0.25,R2,2902,0.9981719871044887,0.03502858664212232,3.5607594619838334,-19446.632943170105,-19446.624661596605,2901,FALSE,TRUE,TRUE
15,0.25,R3,2915,0.9980289594191414,0.03480866878936193,3.5319405777170605,-19570.491821067335,-19570.483576477847,2914,FALSE,TRUE,TRUE
15,0.5,R1,3109,0.9949747438873723,0.035034205161225795,3.8159727067459768,-20833.194254616803,-20833.186525148205,3108,FALSE,TRUE,TRUE
15,0.5,R2,2779,0.9981163889739326,0.035324372016676354,3.46766748701731,-18575.406266730683,-18575.397618082035,2778,FALSE,TRUE,TRUE
15,0.5,R3,3226,0.9990165019393705,0.035583964941399863,4.084821077627199,-21516.969788383107,-21516.962339593534,3225,FALSE,TRUE,TRUE
15,1,R1,3271,0.9988275994748945,0.03445920397372358,3.8841055716422894,-22027.3195872443,-22027.312241055133,3270,FALSE,TRUE,TRUE
15,1,R3,2947,0.9946072419433297,0.034499616330638846,3.5075887339548992,-19837.960905105334,-19837.9527501614,2946,FALSE,TRUE,TRUE
15,2,R1,3105,0.993535698612385,0.03516905267700166,3.8404573365439134,-20782.52625176786,-20782.51851232897,3104,FALSE,TRUE,TRUE
15,2,R2,3012,0.9946881971021976,0.03481348614944392,3.650480199447101,-20221.088615881283,-20221.08063715788,3011,FALSE,TRUE,TRUE
15,2,R3,3003,0.9946804970499692,0.03495176185276595,3.668541846807233,-20136.841123848644,-20136.833121181087,3002,FALSE,TRUE,TRUE
15,4,R1,2725,0.9884082374906981,0.035755664002586035,3.483823960024378,-18148.203908701853,-18148.195088415192,2724,FALSE,TRUE,TRUE
15,4,R2,2226,0.9919168898182757,0.03460448540737228,2.6655691333479252,-14969.51280718676,-14969.502006106652,2225,FALSE,TRUE,TRUE
15,4,R3,3099,0.9945579048993399,0.034038678468709095,3.5905994272462,-20944.83783773082,-20944.830083288172,3098,FALSE,TRUE,TRUE
15,Control,R1,3062,0.9987178546466164,0.03485462512824491,3.7198550618469337,-20549.6312216569,-20549.62337339006,3061,FALSE,TRUE,TRUE
15,Control,R2,3464,0.9990955152634388,0.034915353752254144,4.222899797362445,-23236.252616470192,-23236.245680054006,3463,FALSE,TRUE,TRUE
15,Control,R3,3460,0.9990434864041347,0.036884365047389116,4.707179091923748,-22829.775301922746,-22829.7683574783,3459,FALSE,TRUE,TRUE
18,0.06,R1,2825,0.999217495844181,0.03487690963024145,3.4363266816307805,-18955.006104131004,-18954.997596509595,2824,FALSE,TRUE,TRUE
18,0.06,R2,2848,0.9991699994060929,0.034951555333229835,3.479148755163284,-19097.20099563196,-19097.192556813396,2847,FALSE,TRUE,TRUE
18,0.06,R3,3298,0.9992593160817218,0.034187767888578455,3.854713854624537,-22261.353046132193,-22261.345760157696,3297,FALSE,TRUE,TRUE
18,0.12,R1,3496,0.9990482195262268,0.03422310417891581,4.094588125304674,-23590.981281087523,-23590.974408235288,3495,FALSE,TRUE,TRUE
18,0.12,R2,3150,0.9992655182200209,0.034627935216659626,3.7771457767129046,-21181.495642743772,-21181.48801400887,3149,FALSE,TRUE,TRUE
18,0.12,R3,2985,0.9992857586510342,0.03426798718910611,3.5052704137883306,-20134.055761986066,-20134.047710996467,2984,FALSE,TRUE,TRUE
18,0.25,R1,3201,0.9991280566075239,0.03501534559365761,3.924664240965532,-21453.304693248458,-21453.29718621061,3200,FALSE,TRUE,TRUE
18,0.25,R2,3097,0.9993355185029489,0.03447964163892048,3.6818550943373287,-20851.59028720998,-20851.58252775314,3096,FALSE,TRUE,TRUE
18,0.25,R3,3213,0.9992866411778162,0.035427112534959344,4.032573012140296,-21458.62553587233,-21458.61805690692,3212,FALSE,TRUE,TRUE
18,0.5,R1,3434,0.9990288383001464,0.035052150154720546,4.2191951934308065,-23008.107035683457,-23008.10003859891,3433,FALSE,TRUE,TRUE
18,0.5,R2,3299,0.9992686497838861,0.03507600345313107,4.058845534187163,-22098.87061838901,-22098.863334625734,3298,FALSE,TRUE,TRUE
18,0.5,R3,3358,0.9991112693244835,0.035334385761528385,4.1925261879712306,-22444.90759047593,-22444.900434840867,3357,FALSE,TRUE,TRUE
18,1,R1,3261,0.9990345850080332,0.03488584429603905,3.968709173259033,-21879.706738589277,-21879.699369845035,3260,FALSE,TRUE,TRUE
18,1,R2,3254,0.9990472085789279,0.035094601519581936,4.007727455632562,-21793.89942450627,-21793.892039890885,3253,FALSE,TRUE,TRUE
18,1,R3,3379,0.9991834171246582,0.034462599938877354,4.013139614774683,-22754.13711308224,-22754.13000197113,3378,FALSE,TRUE,TRUE
