temperature,conc,f_T_mean,f_F_mean,f_obs_mean,f_expected_mean,delta_mean,delta_median,delta_lower,delta_upper,prob_synergy,prob_antagonism
15,0.06,0.5857484657248782,0.9465498214905324,0.4680199395161999,0.5548116098199241,-0.08679167030372417,-0.0849181066748915,-0.15362582254738053,-0.032192200003147035,1,0
15,0.12,0.5857484657248782,0.9058699470899207,0.43508013951559704,0.5311497393158731,-0.09606959980027607,-0.09426960080056207,-0.16444486938848474,-0.03810573628724515,1,0
15,0.25,0.5857484657248782,0.8328649248232141,0.39351638751783247,0.4885663707809845,-0.09504998326315206,-0.0929226746878146,-0.16454047850927844,-0.03906688793761945,1,0
15,0.5,0.5857484657248782,0.7253619137832703,0.3488718634961435,0.4256723050955777,-0.07680044159943418,-0.07355403136950783,-0.1405816704857142,-0.03153140091898286,1,0
15,1,0.5857484657248782,0.5803067458010145,0.3009556698849039,0.34057133253616156,-0.039615662651257676,-0.03629210593699045,-0.08783467996608901,-0.009320756217979754,0.997,0.003
15,2,0.5857484657248782,0.41840563975967576,0.2525098381900449,0.24540385122158587,0.007105986968459059,0.006917860423710079,-0.03321739480771223,0.045847452205724136,0.343875,0.656125
15,4,0.5857484657248782,0.27324306162472356,0.2064260973515545,0.16004393098665598,0.04638216636489853,0.044965500069441416,-0.004234277561345461,0.10402630234525508,0.036625,0.963375
18,0.06,0.7354132647103929,0.9465498214905324,0.6992344240848336,0.6966233366458683,0.0026110874389653417,0.007027806526915981,-0.07048433843018749,0.05468316234985803,0.41,0.59
18,0.12,0.7354132647103929,0.9058699470899207,0.6795030678141042,0.6669471735685041,0.012555894245600078,0.017406618153957942,-0.08228458830682404,0.08273648810099786,0.34425,0.65575
18,0.25,0.7354132647103929,0.8328649248232141,0.6472207361314961,0.6135276620695727,0.03369307406192343,0.03814398965659044,-0.08178253335312129,0.12447326865126276,0.250375,0.749625
18,0.5,0.7354132647103929,0.7253619137832703,0.60132804779224025,0.5346046924265276,0.06672335536571256,0.06913389530360592,-0.05942438031655677,0.1761285138186622,0.138125,0.861875
18,1,0.7354132647103929,0.5803067458010145,0.5357954212000255,0.42777631446267605,0.10801910673734948,0.10731006582795577,-0.011899641136689986,0.2311724055049306,0.04,0.96
18,2,0.7354132647103929,0.41840563975967576,0.4486107512863521,0.30826843037378404,0.140342320912568,0.13713046356172862,0.03104184346801242,0.2619401720725371,0.004125,0.995875
18,4,0.7354132647103929,0.27324306162472356,0.34598758332728496,0.20105015532138187,0.1449374280059031,0.14425245035768292,0.03785298492212109,0.2607505935033014,0.004125,0.995875
