T,Dose,Replicate,fit_start,fit_end
15,Control,R1,425.5,3488
15,Control,R2,327.7,3791.8
15,Control,R3,328.4,3788.4
15,0.06,R1,419.5,3793.6
15,0.06,R2,427.2,3848.3
15,0.06,R3,234.4,3498.6
15,0.12,R1,423.3,3690.1
15,0.12,R2,360.5,3625.9
15,0.12,R3,261.5,3282.7
15,0.25,R1,357.8,3622.1
15,0.25,R2,284,3186
15,0.25,R3,440.2,3356
15,0.5,R1,426.1,3535.2
15,0.5,R2,321.4,3100.6
15,0.5,R3,341.7,3567.2
15,1,R1,432.5,3703.3
15,1,R3,310.4,3257.8
15,2,R1,369.3,3474.2
15,2,R2,241.1,3253.1
15,2,R3,254.8,3257.4
15,4,R1,479.6,3204.3
15,4,R2,239.8,2465.9
15,4,R3,242.6,3342
18,Control,R1,410.2,3746.8
18,Control,R2,413,3512.7
18,Control,R3,326.3,3392.5
18,0.06,R1,471.8,3296.6
18,0.06,R2,270.2,3118.2
18,0.06,R3,490.6,3788.3
18,0.12,R1,290,3785.6
18,0.12,R2,255.9,3405.4
18,0.12,R3,232.3,3217.8
18,0.25,R1,323.9,3524.1
18,0.25,R2,424.5,3521.2
18,0.25,R3,491.1,3704.1
18,0.5,R1,292.2,3726.5
18,0.5,R2,259.1,3558.9
18,0.5,R3,440.3,3799
18,1,R1,243.1,3504.1
18,1,R2,236.9,3490.8
18,1,R3,388.6,3767.4
18,2,R1,477.3,3895.9
18,2,R2,321.1,3275.9
18,2,R3,281.4,3688.3
18,4,R1,349.3,3747.9
18,4,R2,350.2,3773.2
18,4,R3,235.5,3624.3
21,Control,R1,295.7,2783.6
21,Control,R2,470.4,3033.9
21,Control,R3,246.2,2948.4
21,0.06,R1,318.2,2904.3
21,0.06,R2,456.1,2929.8
21,0.06,R3,368.8,3190.1
21,0.12,R1,456.1,2983.7
21,0.12,R2,474.7,3228.6
21,0.12,R3,390.5,2994.5
21,0.25,R1,467.4,3108.3
21,0.25,R2,304.1,2406
21,0.25,R3,324.9,3216.4
21,0.5,R1,294.1,3238.4
21,0.5,R2,263,3150
21,0.5,R3,324.3,3390.7
21,1,R1,488.1,3514.6
21,1,R2,248.6,3736.1
21,1,R3,395.6,3277.9
21,2,R1,384.8,3589.9
21,2,R2,315.6,3388.9
21,2,R3,300.4,3501.2
21,4,R1,308.8,3519.8
21,4,R2,394.3,3488.4
21,4,R3,291.7,3444.4
24,Control,R1,358.5,2437.9
24,Control,R2,364.1,2550.6
24,Control,R3,352.5,2459.9
24,0.06,R1,292.1,2359
24,0.06,R2,278.9,3036.9
24,0.06,R3,375.4,2457.2
24,0.12,R1,255.7,2665.6
24,0.12,R2,364.6,2480.6
24,0.12,R3,315.1,2184.6
24,0.25,R1,347.2,2124.7
24,0.25,R2,475.2,3018.5
24,0.25,R3,384.2,2966
24,0.5,R1,257,2953
24,0.5,R2,447.2,3074
24,0.5,R3,475.9,2804.6
24,1,R1,468.2,2700.3
24,1,R2,454.1,3179.8
24,1,R3,385.1,3095.3
24,2,R1,234.3,2884.5
24,2,R2,305.4,3353.5
24,2,R3,445.5,3298.6
24,4,R1,314.2,2956.7
24,4,R2,287.1,3131.6
24,4,R3,372,3441
26,Control,R1,247.9,2405
26,Control,R2,291.1,2400.7
26,Control,R3,464.9,1953.1
26,0.06,R1,328.5,2663.3
26,0.06,R2,485.2,2545.8
26,0.06,R3,428.5,1062.4
26,0.12,R1,377.7,2566.6
26,0.12,R2,347.3,901.9
26,0.12,R3,401.5,1860.5
26,0.25,R1,359.6,1362.8
26,0.25,R2,437.8,1965.8
26,0.25,R3,269.6,1168.6
26,0.5,R1,429,2920.5
26,0.5,R2,331.1,1862.1
26,0.5,R3,263.4,988.4
26,1,R1,345.4,1925.8
26,1,R2,239.2,1668.7
26,1,R3,259.9,1775.3
26,2,R1,389.7,2819.3
26,2,R2,308.8,3038.8
26,2,R3,235.6,1612.6
26,4,R1,338.2,3359.2
26,4,R2,316.7,3335.8
26,4,R3,290.1,2806.4
27,Control,R1,384.8,2745
27,Control,R2,387.3,2630.3
27,Control,R3,455.8,2532.5
27,0.06,R1,354.6,1996.9
27,0.06,R2,434.6,1179.8
27,0.06,R3,464.6,1827.5
27,0.12,R1,269.2,2575.7
27,0.12,R2,401.5,2659.7
27,0.12,R3,461.9,3376
27,0.25,R1,481.7,1631.3
27,0.25,R2,314.3,1546.4
27,0.25,R3,324.2,1543.1
27,0.5,R1,414.3,2983.6
27,0.5,R2,391.3,3128.1
27,0.5,R3,376.6,3067.4
27,1,R1,268.2,1503
27,1,R3,454.5,1358.2
27,2,R1,433.8,2715.5
27,2,R2,378,2880.3
27,2,R3,422.6,1611.2
27,4,R2,408.2,1277.3
27,4,R3,360.3,1064
28,Control,R1,354.7,2707.6
28,Control,R2,427.7,2826
28,Control,R3,259.2,2794.4
28,0.06,R1,438.8,1552.2
28,0.06,R2,298.7,1655.5
28,0.06,R3,354.3,2984
28,0.12,R1,434.4,2939.8
28,0.12,R2,481.1,2918.6
28,0.12,R3,430.2,1145.4
28,0.25,R1,486.3,1153.8
28,0.25,R2,269.2,1848.1
28,0.25,R3,390.3,2877.4
28,0.5,R1,231.9,2897.1
28,0.5,R2,365.7,1259.6
28,0.5,R3,285.8,952.7
28,1,R1,452.8,1125.8
28,1,R2,360.9,1481.8
28,1,R3,232.5,3107.5
28,2,R1,453.6,3254.3
28,2,R2,287.3,2977.7
28,2,R3,370.3,3211.9
28,4,R1,264.2,3359.2
28,4,R2,365.4,3567.2
28,4,R3,463.3,3374.7
