temp_region,median_deviation,q2.5,q97.5,Trait,p_synergy,p_antagonism,direction_label,point_fill
Cool (15–19°C),-0.09557754041744437,-0.27453381914806196,0.08598409414276117,Growth,0.84875,0.15125,Uncertain,grey70
Mid (20–24°C),-0.024107374905087686,-0.1215839712024031,0.07131845727487532,Growth,0.675,0.325,Uncertain,grey70
Hot (25–28°C),0.08117094323119822,-0.05227168076841238,0.2113143882758337,Growth,0.112,0.888,Uncertain,grey70
Cool (15–19°C),0.03468591082657925,-0.18295248652215196,0.24504770370837417,Respiration,0.6205,0.3795,Uncertain,grey70
Mid (20–24°C),0.023988768113902187,-0.05137512350938383,0.07992492751525396,Respiration,0.75225,0.24775,Uncertain,grey70
Hot (25–28°C),-0.03648711028150009,-0.18393963004474048,0.1199790376546368,Respiration,0.32275,0.67725,Uncertain,grey70
Cool (15–19°C),0.0968845622871507,-0.25521141768309447,0.4427291024564027,Respiration / Growth,0.706,0.294,Uncertain,grey70
Mid (20–24°C),0.0023471001709912676,-0.00618268533130758,0.010725439920948661,Respiration / Growth,0.706,0.294,Uncertain,grey70
Hot (25–28°C),-0.06615444163876144,-0.30230302825156763,0.17426273534293477,Respiration / Growth,0.294,0.706,Uncertain,grey70
Cool (15–19°C),-0.13191762100004722,-0.42185690849549534,0.15881618382867357,CUE,0.8095,0.1905,Uncertain,grey70
Mid (20–24°C),-0.04717173964280835,-0.1622770367390855,0.07215276946973767,CUE,0.7695,0.2305,Uncertain,grey70
Hot (25–28°C),0.11822894221108615,-0.08575689871484943,0.3183042814062163,CUE,0.128,0.872,Uncertain,grey70
