T,Dose,n_replicates
15,Control,3
18,Control,3
21,Control,3
24,Control,3
26,Control,3
27,Control,3
28,Control,3
15,0.06,3
18,0.06,3
21,0.06,3
24,0.06,3
26,0.06,2
27,0.06,2
28,0.06,1
15,0.12,3
18,0.12,3
21,0.12,3
24,0.12,3
26,0.12,3
27,0.12,3
28,0.12,2
15,0.25,3
18,0.25,3
21,0.25,3
24,0.25,3
26,0.25,3
27,0.25,2
28,0.25,2
15,0.5,3
18,0.5,3
21,0.5,3
24,0.5,3
26,0.5,3
27,0.5,3
28,0.5,3
15,1,2
18,1,3
21,1,3
24,1,3
26,1,3
27,1,2
28,1,2
15,2,3
18,2,3
21,2,3
24,2,3
26,2,3
27,2,3
28,2,3
15,4,2
18,4,3
21,4,3
24,4,3
26,4,3
27,4,2
28,4,3
