Trait,Dose,comparison,parameter,median,q2.5,q17,q83,q97.5,p_gt0,p_lt0
Growth,0.06,0.06 - Control,lnB0,-0.11327617732543627,-0.3071254373040329,-0.2090771272560909,-0.020409241163749994,0.08319555224449304,0.121625,0.878375
Growth,0.06,0.06 - Control,E,0.05099258997357724,-0.2586130153454399,-0.10504029928144663,0.20843856871038483,0.3656234218815637,0.623,0.377
Growth,0.06,0.06 - Control,Eh,-0.2969877111469359,-3.428645407355998,-1.7978381149573939,1.2429906170286018,2.834303732073108,0.426375,0.573625
Growth,0.06,0.06 - Control,Th_C,-0.03512854263169629,-2.1011359880766634,-0.906635977597824,0.9316603482180228,2.31269087424239,0.485,0.515
Growth,0.12,0.12 - Control,lnB0,-0.14111787684011157,-0.33644028845996543,-0.23643561542608207,-0.03899962370373738,0.07100928286232706,0.09825,0.90175
Growth,0.12,0.12 - Control,E,-0.014574903512430237,-0.34496374881843683,-0.17997154436715518,0.14732497168219436,0.3173549891358905,0.46675,0.53325
Growth,0.12,0.12 - Control,Eh,-0.7211416490913409,-3.8155167075478564,-2.2182572173317623,0.7860746973217883,2.51126658258656,0.320625,0.679375
Growth,0.12,0.12 - Control,Th_C,0.32790968321273795,-1.8547796432790988,-0.6458459704266141,1.485785747568966,2.9954140674387584,0.62575,0.37425
Growth,0.25,0.25 - Control,lnB0,-0.1913679571467477,-0.398661874066299,-0.2954318302619647,-0.08177210946264511,0.052456921329657895,0.053375,0.946625
Growth,0.25,0.25 - Control,E,-0.032457830055108244,-0.3526903997479913,-0.19736628395284853,0.13011423539711445,0.30359418857673887,0.423375,0.576625
Growth,0.25,0.25 - Control,Eh,-0.7106934171733736,-4.034965662305692,-2.3617458028567655,0.9517452808512812,2.7739348443457903,0.33875,0.66125
Growth,0.25,0.25 - Control,Th_C,0.9357135762918194,-1.471197078008924,-0.20641447048700218,2.1611481403130792,3.6905185191835512,0.779,0.221
