variable,mean,sd,q2.5,q50,q97.5
b_alpha_Dose_keyD1,-3.0968964185337584,0.08127045619446577,-3.259468812280776,-3.0957435364191648,-2.943209469195015
b_alpha_Dose_keyD2,-3.222836403540363,0.08261472993303642,-3.3862175023677414,-3.2223552539022378,-3.063895285746085
b_alpha_Dose_keyD3,-3.227396929081411,0.08268765823764898,-3.3935229540370053,-3.2274795706726254,-3.0666105469875578
b_alpha_Dose_keyD4,-3.284744327220749,0.08127910982679025,-3.4465258403243215,-3.2834406148359028,-3.1265863439188935
b_alpha_Dose_keyD5,-3.49413393596029,0.08559136468846265,-3.6648060411358605,-3.4924170306354307,-3.3263346700688854
b_alpha_Dose_keyD6,-3.6278892752746263,0.09309376367523797,-3.8079548205216542,-3.6277941571013064,-3.4439336172728847
b_alpha_Dose_keyD7,-3.8360486296881864,0.08415194384719035,-3.9985728016320374,-3.8365311003260394,-3.6737645577792346
b_alpha_Dose_keyD8,-4.071979389743975,0.0867335885730898,-4.2402580244758905,-4.0718189759857815,-3.903923469458786
b_E_Dose_keyD1,0.11706061938631583,0.07993804810877407,0.0066479510390621355,0.1049028697087741,0.30369412524707606
b_E_Dose_keyD2,0.11454781110396396,0.07931925574513005,0.004932108618720642,0.1018330479914625,0.29578622274667843
b_E_Dose_keyD3,0.13744440922695567,0.08967567892734489,0.007159225518725235,0.12494302468350058,0.3389400324362374
b_E_Dose_keyD4,0.12342379878120321,0.0854832258251317,0.006307900892190711,0.10909662800454069,0.31831443298702233
b_E_Dose_keyD5,0.2418341065828548,0.11045855753140468,0.043401323552572695,0.23656579337393827,0.46736167811761603
b_E_Dose_keyD6,0.368997660252596,0.13580539094894334,0.10270366585307467,0.3681930633823302,0.6362504680568062
b_E_Dose_keyD7,0.2131695895128835,0.10561695999046672,0.029440650087486864,0.20729717563829786,0.42943444455043334
b_E_Dose_keyD8,0.2801222229525537,0.11678328390836526,0.059570806244122455,0.27857908057509173,0.5174439337392129
sigma,0.34544545261138226,0.02095353559433911,0.3082880642292621,0.3444060709272242,0.3898867288269537
