variable,mean,sd,q2.5,q50,q97.5
b_alpha_Dose_keyD1,-3.1111697176692337,0.10823603123690051,-3.3263817857615465,-3.1093689818044528,-2.8979824519060258
b_alpha_Dose_keyD2,-3.2365332021155786,0.10839955899849825,-3.4545726166815185,-3.234825159173428,-3.028663461515023
b_alpha_Dose_keyD3,-3.2448466889592193,0.1091161007748035,-3.465606886450687,-3.243755171153306,-3.0313981093533293
b_alpha_Dose_keyD4,-3.3029964267463496,0.10904970318194575,-3.523001780874073,-3.300928747586687,-3.091569522766228
b_alpha_Dose_keyD5,-3.507595837344829,0.1105025899374671,-3.72959384327093,-3.5065076138483544,-3.294634958070082
b_alpha_Dose_keyD6,-3.6532182775874236,0.11802645466581652,-3.889837900567063,-3.6529156544858647,-3.4255727108146874
b_alpha_Dose_keyD7,-3.848412407497164,0.1100951229675103,-4.067180893473495,-3.84865767708751,-3.6332733602482596
b_alpha_Dose_keyD8,-4.083682260227561,0.1126925683941283,-4.304474524382593,-4.084126778726452,-3.8616100365910655
b_E_Dose_keyD1,0.16247076710714636,0.11081714577991944,0.007126297519617269,0.14444890049235262,0.41843207465890164
b_E_Dose_keyD2,0.1614113702943517,0.11263504341292584,0.007219317398931679,0.1422610479348887,0.42856789670148077
b_E_Dose_keyD3,0.17758425043409456,0.11950744349962766,0.009371258654211513,0.15986329012836603,0.44723860399030785
b_E_Dose_keyD4,0.16889987735323575,0.11593958449017361,0.008276743780634222,0.1501953677506957,0.43817639608551995
b_E_Dose_keyD5,0.2813327515243767,0.137074255298835,0.0393635674087775,0.27479163115587785,0.5755641837283179
b_E_Dose_keyD6,0.40593835572733417,0.15458674511021267,0.10790669703446734,0.4031734838450653,0.7200654005867662
b_E_Dose_keyD7,0.24914794215553077,0.13775410217462783,0.0202169447648208,0.2375526099949351,0.5446763273915959
b_E_Dose_keyD8,0.31188209132889316,0.14117635215382532,0.0558716897625007,0.3044229346923474,0.6060108988439477
sigma,0.3038286747022525,0.02194371668664443,0.2647967128419136,0.3024229107851707,0.351621026645937
