variable,mean,sd,q2.5,q50,q97.5
b_alpha_Dose_keyD1,7.3330426259959145,0.08065023535182742,7.172442495971139,7.334005155624599,7.488731697818363
b_alpha_Dose_keyD2,7.206983857724384,0.08286062537265243,7.043249155756631,7.207744138392048,7.367692269233818
b_alpha_Dose_keyD3,7.202112500069171,0.08326736904652508,7.037881643950383,7.203419356762631,7.36086220779068
b_alpha_Dose_keyD4,7.143526411356327,0.081505523961546,6.985272755481761,7.144678773600265,7.303489725642926
b_alpha_Dose_keyD5,6.936060428983037,0.08315229751519496,6.7710216281151014,6.9365657404048555,7.097280848778687
b_alpha_Dose_keyD6,6.801823779127775,0.09209725363679448,6.6219081338978425,6.8013498836896105,6.980836517472079
b_alpha_Dose_keyD7,6.59598656359729,0.08466801931927158,6.424035521419851,6.596933583364698,6.759594755734552
b_alpha_Dose_keyD8,6.3583254579635105,0.08685285481560336,6.188397501576902,6.3586988547494805,6.529226974774391
b_E_Dose_keyD1,0.11657121841845572,0.08026163434373346,0.006224695238392705,0.10348621975200911,0.3024586763855585
b_E_Dose_keyD2,0.11722752191924146,0.08279907664560522,0.005020051694394,0.10454859174932161,0.3098933366675533
b_E_Dose_keyD3,0.13761482023641594,0.090403034725132,0.007927317340083949,0.12388100728031139,0.3448016264991809
b_E_Dose_keyD4,0.12552566177612173,0.08445806631032192,0.0058698410710091575,0.11308284852327584,0.31729831774857437
b_E_Dose_keyD5,0.24287793936817714,0.10978802776708207,0.04312949013751344,0.23838556264712285,0.4662213857308808
b_E_Dose_keyD6,0.3706337112490868,0.132813862950301,0.1059254918375956,0.3691281622184245,0.6288767435715489
b_E_Dose_keyD7,0.21150739258125603,0.10680156563749132,0.024516929439320295,0.20728111416507844,0.4351261280176237
b_E_Dose_keyD8,0.2811883659864685,0.11537300551730419,0.06234947381969524,0.2795401246210084,0.5096882541423947
sigma,0.3450994643573146,0.020628183765815555,0.3071372253311562,0.34421882109396224,0.3886035433870797
