variable,mean,sd,q2.5,q50,q97.5
b_alpha_Dose_keyD1,-0.8283881758098072,0.09592303587308383,-1.0162847549346108,-0.8285406875805541,-0.6375379843868446
b_alpha_Dose_keyD2,-0.9184969092938396,0.10598975020562437,-1.1255168535380955,-0.9188162228018371,-0.7099453307526069
b_alpha_Dose_keyD3,-0.9927972104270841,0.1004305142491046,-1.1898828350049302,-0.9928217401486769,-0.7958190298461002
b_alpha_Dose_keyD4,-1.0835908114484583,0.10130175874690726,-1.2818931253124317,-1.0844063418449108,-0.8791941658833192
b_alpha_Dose_keyD5,-1.29564005352612,0.09702540150598733,-1.4878188610443932,-1.2962198528189082,-1.1037228898233082
b_alpha_Dose_keyD6,-1.4128538171044722,0.10448487727077693,-1.6192039405071064,-1.414316031430475,-1.2105541917498237
b_alpha_Dose_keyD7,-1.629993927072109,0.0988197446190987,-1.8256211831302689,-1.6309258693492819,-1.4337575811879095
b_alpha_Dose_keyD8,-1.8238040488665312,0.10223740766139493,-2.024755206728057,-1.8231907182075644,-1.6209954490524874
b_E_Intercept,-0.37086097190566947,0.059201177292093225,-0.487965385302626,-0.37070715847271773,-0.25478920097544117
sigma,0.4352070177471618,0.025093887131115516,0.38958129709054456,0.43396366906221373,0.4866097728973479
