variable,mean,sd,q2.5,q50,q97.5
b_alpha_Dose_keyD1,0.17359120893004518,0.15783141817070323,-0.13650761340949275,0.17289735174803827,0.47779461662398254
b_alpha_Dose_keyD2,0.35161644802153025,0.15540103471870106,0.048195000242230994,0.3520007148075769,0.6519059216314254
b_alpha_Dose_keyD3,0.44407709183113275,0.15791734168651797,0.13114219387008139,0.44419245854262257,0.7534219012846941
b_alpha_Dose_keyD4,0.6306667287214207,0.1548292012107757,0.32388209943806684,0.6312651841225267,0.9350500018636734
b_alpha_Dose_keyD5,0.9507028407350945,0.15507622062770118,0.6521759112692799,0.9523063713368753,1.2537569375498494
b_alpha_Dose_keyD6,1.1299783873429565,0.16385860509715677,0.8133919148416202,1.1304287102797117,1.4475604748487452
b_alpha_Dose_keyD7,1.3280181865384084,0.15555241011347493,1.0210633728601652,1.3285969403559883,1.633600136296706
b_alpha_Dose_keyD8,1.6843413866260954,0.15678370788433324,1.374914283662955,1.683997013968252,1.9903197781892161
b_E_Dose_keyD1,0.6561893381765304,0.19509334640728163,0.27432720355335616,0.654651471673718,1.034996740793321
b_E_Dose_keyD2,0.5795664349971245,0.19152024419779387,0.2102372912756913,0.5772065219440872,0.957693198908395
b_E_Dose_keyD3,0.6139437298693311,0.19799775301652983,0.23031390228758325,0.6125256588415259,0.9979582535296102
b_E_Dose_keyD4,0.6769007005735539,0.1952999963920144,0.30552952760784746,0.6763823553934952,1.0678163040070017
b_E_Dose_keyD5,0.4364047565438853,0.184560730504895,0.08553412751166235,0.43560556961977814,0.8020114184976455
b_E_Dose_keyD6,0.3730369555478078,0.19163972254450987,0.038024038834462266,0.3661836983583763,0.7722843011295876
b_E_Dose_keyD7,0.5787744920322273,0.19093375387478886,0.1924106144979209,0.5780027326016592,0.9566164297290455
b_E_Dose_keyD8,0.5012614829112639,0.19019976165948307,0.13025156650903974,0.4979199648028016,0.8739439238666662
sigma,0.6381832806434843,0.03761110786778396,0.5699452438488626,0.6355142236816631,0.7182742672016134
