variable,mean,sd,q2.5,q50,q97.5
b_alpha_Dose_keyD1,7.554208280522164,0.09455100668890508,7.369305989332954,7.5548450172678905,7.738799170609113
b_alpha_Dose_keyD2,7.60891842834051,0.09484170743544314,7.4225394397127165,7.6091956252727115,7.794777972574254
b_alpha_Dose_keyD3,7.690993373536893,0.09356411304300555,7.5078429296553555,7.69265293284952,7.875706769446125
b_alpha_Dose_keyD4,7.817415890070453,0.09415741745884773,7.633130182144762,7.816437610553566,8.002854214579488
b_alpha_Dose_keyD5,7.936584344067788,0.09286263649920785,7.752823424302449,7.937253640692033,8.114342741750908
b_alpha_Dose_keyD6,8.006488024734606,0.09997350434766748,7.808260048381789,8.00823104758577,8.201422908557706
b_alpha_Dose_keyD7,7.963978840866228,0.09507672617817028,7.7775684944292784,7.963141660976912,8.149750762950198
b_alpha_Dose_keyD8,8.082172268089058,0.09447031944552907,7.900162436061722,8.08222313326577,8.267873248686463
b_E_Dose_keyD1,0.647853291760331,0.12712019716738454,0.39611564098262975,0.6494994463587758,0.8948109453605483
b_E_Dose_keyD2,0.5373123354830494,0.1282068356904174,0.2817603885302884,0.5385424097759872,0.7927161407171778
b_E_Dose_keyD3,0.617375993066372,0.1292702490809206,0.3649900816416928,0.6171311692952254,0.8714314539234512
b_E_Dose_keyD4,0.6712655350998602,0.132648305197222,0.4100661961224034,0.6698207477162281,0.9319666434891204
b_E_Dose_keyD5,0.5355723503212991,0.12673952490033302,0.29159382263350136,0.5353713519817502,0.7825055343586296
b_E_Dose_keyD6,0.5255232592427308,0.1438644737609021,0.23992036469670236,0.526466175097225,0.8093060606451773
b_E_Dose_keyD7,0.6811634995318179,0.12575832810862755,0.43404071009732753,0.6808492930629145,0.9307804077225778
b_E_Dose_keyD8,0.6593164767547496,0.12940919491771447,0.4066264658220472,0.6593953538472613,0.9133147380176155
sigma,0.3757163451363592,0.022060565990531116,0.3358668398645445,0.37480223184997574,0.42189297040913526
