variable,mean,sd,q2.5,q50,q97.5
b_alpha_Dose_keyD1,-2.876030248591165,0.0950858517411567,-3.065087746687704,-2.8755003199289533,-2.687203540172454
b_alpha_Dose_keyD2,-2.8191342824099044,0.09595809775377363,-3.0061905141652203,-2.8194071161792476,-2.6303089423537505
b_alpha_Dose_keyD3,-2.737890344262982,0.09283719049651606,-2.92024571641118,-2.7372537612759498,-2.5583777401397065
b_alpha_Dose_keyD4,-2.6125274149461095,0.09308092774224219,-2.795473940627885,-2.612868573635253,-2.4307721668806983
b_alpha_Dose_keyD5,-2.4947113684647695,0.0934926859719812,-2.6743085585583435,-2.4949013953555044,-2.3100515927285876
b_alpha_Dose_keyD6,-2.4239613033784866,0.09997676595847711,-2.6171043819287503,-2.4241530406834255,-2.2289596445384663
b_alpha_Dose_keyD7,-2.465446029430256,0.09255324532011995,-2.6455850021113143,-2.4651305591269574,-2.2872622100566624
b_alpha_Dose_keyD8,-2.3471988934332475,0.09434876121346819,-2.5313233876064514,-2.3473527072426568,-2.1651753539087477
b_E_Dose_keyD1,0.6448747052915168,0.12811790074208937,0.39219351640386624,0.6472480354451411,0.8928275782208706
b_E_Dose_keyD2,0.5353393440835749,0.126656877330958,0.28753377051790574,0.5348504959271141,0.7869370086651475
b_E_Dose_keyD3,0.6138765078507094,0.13068620159763586,0.35921188720735203,0.6143108452469594,0.8684698664542202
b_E_Dose_keyD4,0.6669419933624039,0.13037481076748697,0.418198716476264,0.668366585058343,0.9236646003327493
b_E_Dose_keyD5,0.531901158823145,0.12715088695099633,0.2854367103351091,0.5324032165536552,0.7836796749468997
b_E_Dose_keyD6,0.5253963099955785,0.14067193969069136,0.250718642835533,0.525231755615472,0.7969096321496769
b_E_Dose_keyD7,0.6796818369844132,0.12639223778206793,0.4290758970911971,0.6791094764859694,0.9275474087427212
b_E_Dose_keyD8,0.6579511800832597,0.12674463335316302,0.4081983050181603,0.6555838032973585,0.9062884844988823
sigma,0.37575222115384754,0.022265119641527234,0.33507264396176056,0.3746904130170808,0.4224067426597812
