variable,mean,sd,q2.5,q50,q97.5
b_alpha_Dose_keyD1,-2.8771800436406223,0.1063196499134015,-3.087964615452223,-2.875869244065237,-2.6673133472661044
b_alpha_Dose_keyD2,-2.8204585824575106,0.10793979468982708,-3.0349387720858525,-2.8211364893763164,-2.6055239166896493
b_alpha_Dose_keyD3,-2.7413423719135053,0.10973634842995104,-2.9577099413597963,-2.741227215667624,-2.528871237919764
b_alpha_Dose_keyD4,-2.6154717235521616,0.10891223868096271,-2.8314637377966645,-2.616687214975866,-2.397427424785446
b_alpha_Dose_keyD5,-2.4959503021373255,0.10717556637276587,-2.707493208704009,-2.4956446927762794,-2.2902200320075132
b_alpha_Dose_keyD6,-2.423616814457411,0.11370849536314441,-2.650198193849279,-2.4239581627158944,-2.203223127823306
b_alpha_Dose_keyD7,-2.4646760508575114,0.10909508764107483,-2.683180101632689,-2.4642327715061354,-2.252455928497006
b_alpha_Dose_keyD8,-2.3420530444192846,0.10829536234240668,-2.55036152309493,-2.3426695902008605,-2.1314241963194447
b_E_Dose_keyD1,0.6471243252595448,0.1419302882848576,0.37283259928998785,0.6473837485046936,0.9221178871074815
b_E_Dose_keyD2,0.543853212495645,0.14404890780125268,0.2665156868197466,0.541277917398435,0.8372477255529172
b_E_Dose_keyD3,0.613152425572055,0.14827349102715362,0.3207374976767109,0.6119206736356274,0.8997048513582979
b_E_Dose_keyD4,0.6632631870729635,0.1463685818180462,0.3786346685800981,0.6627454839997695,0.9453873628645483
b_E_Dose_keyD5,0.5371889610506162,0.14307848133506554,0.26143076881816896,0.5374672216407752,0.8277718729891734
b_E_Dose_keyD6,0.5119136715771019,0.15612370584569057,0.2080904812296857,0.5084171088818306,0.8172113184006823
b_E_Dose_keyD7,0.6817282114713394,0.14548403129247195,0.39497754329842294,0.6817730196586764,0.9673418063778039
b_E_Dose_keyD8,0.6607153761772199,0.14646448236567994,0.3716771022589792,0.6605471427269174,0.9466665509086056
sigma,0.3556541082248949,0.024463568791339353,0.31124354402512966,0.35472431090370105,0.40662798356593716
