variable,mean,sd,q2.5,q50,q97.5
b_lnB0_Dose_keyD1,-2.9464335445117427,0.06928244153581126,-3.0831159000668804,-2.9462199239887488,-2.810570752885455
b_lnB0_Dose_keyD2,-3.060255531802598,0.07193299645426998,-3.202547081766914,-3.0601413187346713,-2.916418644408789
b_lnB0_Dose_keyD3,-3.0845114885094684,0.07662452875433472,-3.228563958762332,-3.08522975432013,-2.931565633157101
b_lnB0_Dose_keyD4,-3.1333497000251302,0.0905338905956337,-3.286282892052788,-3.1399675697284657,-2.9353041101758537
b_lnB0_Dose_keyD5,-3.3687079746795625,0.08267182079665589,-3.518483179262597,-3.37212362922902,-3.1991065061435418
b_lnB0_Dose_keyD6,-3.523356756091033,0.08369263648544048,-3.679097228395556,-3.525247093617539,-3.354700689861781
b_lnB0_Dose_keyD7,-3.701343793410792,0.1004303138342641,-3.872453767552312,-3.710381113006183,-3.478330512725972
b_lnB0_Dose_keyD8,-3.844309006013242,0.0858278510934585,-4.00298270398339,-3.847928132621826,-3.6685938444600428
b_E_Dose_keyD1,0.3619692807485149,0.11481398318472848,0.12953460884752405,0.36352710092770996,0.5766636234776986
b_E_Dose_keyD2,0.41320377633380195,0.11779389105326288,0.17820333333062416,0.41540680448649536,0.6345828245683622
b_E_Dose_keyD3,0.34617499504609667,0.12251866173118789,0.10760393550469831,0.3493778853212612,0.5802231679995314
b_E_Dose_keyD4,0.33025217567417264,0.12146123955468549,0.10087983966714308,0.3298570748489902,0.5657680401438842
b_E_Dose_keyD5,0.48683936030250957,0.12295685678679051,0.23802124488352025,0.4902023923104075,0.7199240955317389
b_E_Dose_keyD6,0.6244560996149076,0.13329754261359156,0.3612168811057798,0.6248333205273933,0.8797606302322737
b_E_Dose_keyD7,0.42094985819530983,0.12257801545524626,0.17986243487498263,0.42323058165843264,0.6554091116009261
b_E_Dose_keyD8,0.3709800558555166,0.12688847819623592,0.12385795789939226,0.3704795642619172,0.6120265372680824
b_Eh_Dose_keyD1,4.371746717226751,1.1369754327076924,2.233477681578509,4.318809336327814,6.713835083422623
b_Eh_Dose_keyD2,4.086424549110205,1.0964739255680682,2.0714291638793516,4.06207397538663,6.411101264794658
b_Eh_Dose_keyD3,3.667672762021469,1.1320194621584634,1.7163227879012124,3.587016911630867,6.1717541463609
b_Eh_Dose_keyD4,3.669655953180237,1.3266930633383252,1.2817059489929736,3.6180987043265174,6.435236124177445
b_Eh_Dose_keyD5,3.511406715144769,1.1836190024433404,1.4905808021034428,3.409945496792874,6.107289051989794
b_Eh_Dose_keyD6,3.7332042270982417,1.1723428579559285,1.6441327755279582,3.6540969412241173,6.274275166182236
b_Eh_Dose_keyD7,3.1312061781172753,1.335907699206211,1.0367443330732553,2.9392504473631247,6.147742495285971
b_Eh_Dose_keyD8,3.663899660975432,1.2836192833564979,1.487382385243025,3.5445533631230406,6.4379965783364
b_Th_Dose_keyD1,301.1276116761125,0.696820516787711,300.2107985494483,300.991335200894,302.8443678388836
b_Th_Dose_keyD2,301.13543242886993,0.8053969126501367,300.18655072292336,300.9360595672298,303.1572692935713
b_Th_Dose_keyD3,301.53173871928,0.9588173783581799,300.2273173161664,301.36630294747226,303.81697652283634
b_Th_Dose_keyD4,302.1027543117875,1.0749588915296453,300.364445969064,301.98393333678223,304.5387644451826
b_Th_Dose_keyD5,301.8692148708923,1.0182305097829507,300.30775519416034,301.75245811528976,304.16034100932114
b_Th_Dose_keyD6,301.7477678726343,1.0041388584654014,300.26099625357944,301.62250509721287,304.02770593952255
b_Th_Dose_keyD7,302.32615352087083,1.1306630339736838,300.36343251646014,302.2645413073217,304.79778886243355
b_Th_Dose_keyD8,301.87144893763036,0.9906273182963679,300.3172180530517,301.7435384026305,304.1516086227659
sigma,0.23664095791301853,0.014428066637030248,0.2100699781737666,0.23580869888965822,0.2667988624286461
