variable,mean,sd,q2.5,q50,q97.5
b_lnB0_Dose_keyD1,-2.7880235676585268,0.14667761825521303,-3.0140113010958696,-2.8087646358966643,-2.3835230063660506
b_lnB0_Dose_keyD2,-2.730767935752904,0.13422081403222946,-2.9499316133916427,-2.7453974277643476,-2.3979043453075737
b_lnB0_Dose_keyD3,-2.657527216496434,0.11797443723121098,-2.86290458091488,-2.664442024249069,-2.404404816062999
b_lnB0_Dose_keyD4,-2.5355783195460684,0.12457590841175784,-2.751870004154656,-2.543862955541333,-2.2614101197192458
b_lnB0_Dose_keyD5,-2.408459784152942,0.13260769069853437,-2.624153852672351,-2.422268361689901,-2.0784735210821403
b_lnB0_Dose_keyD6,-2.3563474630813697,0.1254858290370303,-2.5733483582034795,-2.3653459851155567,-2.0906766079322567
b_lnB0_Dose_keyD7,-2.3792597229965855,0.1126062654230808,-2.581485210105926,-2.386184447583361,-2.144253587828834
b_lnB0_Dose_keyD8,-2.311297904266937,0.1222845364355701,-2.528789340350323,-2.31776897751571,-2.0475128197722037
b_E_Dose_keyD1,0.7666998329792666,0.14247178253149015,0.501754631136055,0.7624354701724918,1.050608498129751
b_E_Dose_keyD2,0.6923426573791246,0.15105576962278888,0.40082580880696983,0.6894114839153598,0.9908662065141581
b_E_Dose_keyD3,0.7676697860802166,0.15085064099174275,0.48022451111761727,0.7631031270909854,1.0710928837625469
b_E_Dose_keyD4,0.7957006060055286,0.15261258755933266,0.4919420028930573,0.7954361799177828,1.0943206373738308
b_E_Dose_keyD5,0.6779400313542809,0.1448293685745635,0.4006683801172637,0.6735205201417875,0.9725374821974637
b_E_Dose_keyD6,0.6759537551139864,0.15888425395595843,0.3747290084229947,0.675772799545039,0.9918004791544833
b_E_Dose_keyD7,0.8567945251659754,0.1502654158018878,0.5710545894026523,0.8555041223784472,1.1514391771558525
b_E_Dose_keyD8,0.8823873974020606,0.15685152918848716,0.5852521846921318,0.8767339232432169,1.2082293079632922
b_Eh_Dose_keyD1,4.0281866919558444,1.7493273154131013,0.454099081950684,4.133266237885639,7.224313802064677
b_Eh_Dose_keyD2,4.1082539219264405,1.6540355044770552,0.7076034026717537,4.196782947601572,7.191004191261822
b_Eh_Dose_keyD3,4.204404925481305,1.4788877395783175,1.2092053077502702,4.212416811781031,7.075563551044839
b_Eh_Dose_keyD4,4.157946553842819,1.5153759175563684,1.0909765109639653,4.203920730366189,7.147213337140653
b_Eh_Dose_keyD5,4.012776111205084,1.636120847637796,0.7237745094607589,4.059694444429999,7.150333161275763
b_Eh_Dose_keyD6,4.347763683612132,1.5052949818356116,1.1229591001900412,4.418381804311471,7.2078059558717085
b_Eh_Dose_keyD7,4.261209210506004,1.3779267653066192,1.528765897086257,4.2333419470258224,6.98661314392655
b_Eh_Dose_keyD8,4.077900031111637,1.4679415292222036,1.2299179292951523,4.077421353904235,7.053164120434615
b_Th_Dose_keyD1,303.4108673421968,1.2099624908764146,301.0538233134382,303.3663482731303,305.9220100473868
b_Th_Dose_keyD2,303.2142460935943,1.189525676548393,300.9628538410927,303.17169094381586,305.67902052144336
b_Th_Dose_keyD3,302.7091071911716,1.1785059287107074,300.6397821243058,302.63098040117086,305.24521924686246
b_Th_Dose_keyD4,302.78525645785663,1.1599829383500064,300.71430672882514,302.73198535924723,305.24720994907955
b_Th_Dose_keyD5,303.1637062440632,1.19122923814481,300.910662468553,303.1224407891622,305.5971318892304
b_Th_Dose_keyD6,302.79627739984477,1.139981772013821,300.7345780899467,302.7360855732418,305.1581918625585
b_Th_Dose_keyD7,302.53110347404754,1.1599081725599776,300.53714052062975,302.4341660619041,304.9951364615375
b_Th_Dose_keyD8,302.7765611647975,1.1811338771741886,300.60890460479584,302.700493944414,305.2714444413025
sigma,0.370973964093226,0.022472732315082868,0.3300351281598021,0.3699985147285661,0.4176496157829258
