variable,mean,sd,q2.5,q50,q97.5
b_lnB0_Dose_keyD1,7.641745124118548,0.13918942102704537,7.419558542522748,7.624169059036781,8.00369340297672
b_lnB0_Dose_keyD2,7.702534246086426,0.14009564790187126,7.479074329649738,7.6844501838603705,8.057867505973087
b_lnB0_Dose_keyD3,7.7743129024777655,0.11535414313222683,7.564980552677224,7.769455011320059,8.016018985350488
b_lnB0_Dose_keyD4,7.899314613467442,0.11623627463144262,7.694193059017257,7.892628218462535,8.152370052238442
b_lnB0_Dose_keyD5,8.027170521351659,0.1355700809384186,7.8144990305422315,8.009272440235781,8.378055118021992
b_lnB0_Dose_keyD6,8.077979834081571,0.1255014053344869,7.85733011505851,8.07032725807459,8.343135413831599
b_lnB0_Dose_keyD7,8.051154057694497,0.11078468455453377,7.847391017749138,8.04621789670107,8.27823553468142
b_lnB0_Dose_keyD8,8.168580738629323,0.12027391355767629,7.959521068728294,8.16222569432653,8.437345549425142
b_E_Dose_keyD1,0.7639028237395831,0.14476763630287554,0.48640408700153115,0.760304972115689,1.0546899739665268
b_E_Dose_keyD2,0.6743235866624788,0.14650717808754407,0.39535343248076,0.6706786207951889,0.9691021152213615
b_E_Dose_keyD3,0.7704359213139206,0.15118399123254106,0.47841965916489443,0.768693766064972,1.0692889481377812
b_E_Dose_keyD4,0.8152203274276952,0.14800660983985434,0.5292721354379376,0.8128758424013364,1.1066589326031502
b_E_Dose_keyD5,0.672998358586089,0.14562632104372228,0.386023849441525,0.6711798097402917,0.9649328007590859
b_E_Dose_keyD6,0.6738180206858947,0.1573231511389628,0.3789573154485486,0.6698335862308851,0.9894562777592704
b_E_Dose_keyD7,0.8532424616719341,0.14786999023860137,0.572647113550338,0.850562922744929,1.1523418984056673
b_E_Dose_keyD8,0.812346746707661,0.15091669862498353,0.514669523327512,0.812422023616433,1.108093990846714
b_Eh_Dose_keyD1,4.070282130524924,1.6963002124883801,0.5866402496975361,4.178830622172174,7.164636912950536
b_Eh_Dose_keyD2,4.028910563224947,1.698057266970235,0.5782430435124494,4.118397423837404,7.163039270050098
b_Eh_Dose_keyD3,4.198102212395616,1.468024277260534,1.2954727716390517,4.212564977500856,7.0841740259035255
b_Eh_Dose_keyD4,4.171557227613165,1.4885101620981664,1.2298487232927968,4.181739291365898,7.065566107243853
b_Eh_Dose_keyD5,4.005432566256824,1.6208112600938351,0.639452819781718,4.08135904044289,7.02679554361145
b_Eh_Dose_keyD6,4.337029916351279,1.5198893109995908,1.1297565278715747,4.37426781952901,7.264222755127875
b_Eh_Dose_keyD7,4.298383112705337,1.3584562061177399,1.6383550312127824,4.281700822800702,7.0297497146815
b_Eh_Dose_keyD8,4.076050860671814,1.452557262171791,1.15112745191567,4.097896928041688,6.902393601178225
b_Th_Dose_keyD1,303.40697224641065,1.1870316961344702,301.05961106731894,303.3936305244972,305.86726888178134
b_Th_Dose_keyD2,303.1631545649383,1.164637835911313,300.9230480227199,303.1146798485112,305.50437213873136
b_Th_Dose_keyD3,302.69316304528957,1.1665207106908795,300.6644190678728,302.60470822085256,305.18911313940197
b_Th_Dose_keyD4,302.82169942508847,1.1567993123928328,300.802811647331,302.7313577696705,305.3097677121965
b_Th_Dose_keyD5,303.1517509339007,1.175215257182427,300.9332530670791,303.11463252285785,305.5830039500715
b_Th_Dose_keyD6,302.80204878811725,1.1303356293006575,300.7797699564932,302.7227614245107,305.1794344168617
b_Th_Dose_keyD7,302.55890671165105,1.1574531162108086,300.6008181935029,302.4684639906896,305.0124440097677
b_Th_Dose_keyD8,302.8676856674309,1.1807399114107435,300.74103143903494,302.7918562126613,305.3572504883001
sigma,0.37818493783738444,0.02215497849621915,0.33874859835849075,0.3771054486092986,0.4248695210125146
