Rate,Dose,n,R2,RMSE_log
growth,Control,21,0.6603177811792547,0.12251133403585741
growth,0.06,17,0.4133317728464947,0.21478512523959753
growth,0.12,20,0.2547625396901996,0.21293597778538306
growth,0.25,19,0.2383188932993161,0.1460362195905365
growth,0.5,21,0.2677350864449116,0.2570089344698924
growth,1,18,0.48722779597165666,0.23443750644360906
growth,2,21,0.1015896540600073,0.30013459737989284
growth,4,19,0.17792083945231496,0.23135257163542167
respiration,Control,21,0.594944199260929,0.3054542382328246
respiration,0.06,17,0.3669805255626042,0.4057490795349031
respiration,0.12,20,0.48965703164229235,0.37843657990459534
respiration,0.25,19,0.5565528614108839,0.3529709835519569
respiration,0.5,21,0.3380097241344958,0.4112640336915859
respiration,1,18,0.30611299356682653,0.4246362794833617
respiration,2,21,0.716846459064539,0.26922089862382487
respiration,4,19,0.7879720476075546,0.22176283905501645
