year,antagonism_24_28,above_assayed,synergy_15_20,mean_C,supra_optimal
1961,45.5,10.5,607.7,13.013545597484278,56.0
1962,20.0,0.4,442.2,11.254221698113207,20.4
1963,11.4,0.1,589.0,12.170845125786164,11.5
1964,36.7,4.3,654.0,12.900294811320753,41.0
1965,15.9,0.5,569.7,11.89553459119497,16.4
1966,42.4,3.2,649.4,12.714347484276729,45.6
1967,31.3,4.3,571.7,12.072991352201257,35.6
1968,38.4,8.5,594.6,12.165786163522013,46.9
1969,41.1,2.1,538.4,12.045129716981132,43.2
1970,60.4,2.8,638.8,12.431552672955975,63.199999999999996
1971,50.5,7.2,586.8,12.564257075471698,57.7
1972,12.9,1.7,443.2,11.484225628930819,14.6
1973,57.0,7.9,606.1,12.373447327044024,64.9
1974,7.6,0.0,577.2,11.986576257861635,7.6
1975,32.8,1.0,535.5,11.9742963836478,33.8
1976,142.7,72.7,537.1,13.66930424528302,215.39999999999998
1977,31.0,2.0,507.7,11.557165880503145,33.0
1978,23.9,0.0,478.4,11.404135220125786,23.9
1979,29.0,1.8,596.2,11.868514150943396,30.8
1980,13.0,0.8,540.9,11.60693789308176,13.8
1981,25.7,1.2,615.8,12.280762578616352,26.9
1982,79.8,15.4,611.9,12.80877358490566,95.2
1983,81.5,23.5,499.8,12.52687106918239,105.0
1984,28.3,3.9,540.1,11.852834119496857,32.2
1985,37.2,2.1,551.7,12.077047955974843,39.300000000000004
1986,68.5,11.5,537.4,12.125440251572327,80.0
1987,31.3,3.9,527.8,12.027413522012578,35.2
1988,20.3,1.3,678.5,12.855176886792453,21.6
1989,103.0,11.2,594.1,13.210837264150944,114.2
1990,29.4,3.0,692.6,12.93698113207547,32.4
1996,41.8,8.3,538.1,11.928667452830188,50.099999999999994
1997,31.0,1.2,606.8,12.426678459119497,32.2
1998,33.6,4.8,671.9,12.687995283018868,38.4
1999,43.3,4.6,689.9,13.279088050314465,47.9
2000,39.4,10.7,623.3,13.012853773584904,50.099999999999994
2001,46.7,10.3,603.6,12.660153301886792,57.0
2002,30.5,6.7,682.6,13.003014937106917,37.2
2003,82.0,17.1,742.0,13.86754323899371,99.1
2004,22.5,2.9,674.2,12.738305817610064,25.4
2005,94.0,28.4,604.1,13.447330974842766,122.4
2006,106.2,26.0,605.9,13.70424921383648,132.2
2007,45.8,6.6,829.7,14.081698113207548,52.4
2008,37.2,4.0,731.7,13.228691037735848,41.2
2009,52.7,3.9,689.7,13.543592767295598,56.6
2010,103.4,30.6,564.0,13.128863993710691,134.0
2011,57.5,10.5,777.1,14.219772012578616,68.0
2012,29.9,2.7,615.3,12.37311713836478,32.6
2013,48.0,4.6,601.4,12.337700471698113,52.6
2014,39.6,4.4,741.8,13.583011006289308,44.0
2015,59.2,27.3,609.4,13.088761792452829,86.5
2016,31.7,3.9,753.6,13.060491352201257,35.6
2017,91.0,31.4,701.0,13.744312106918239,122.4
2018,156.5,20.3,737.0,15.059661949685534,176.8
2019,74.9,36.9,653.8,13.403384433962264,111.80000000000001
2020,63.8,13.2,735.2,13.812802672955977,77.0
2021,66.6,13.4,618.0,12.603565251572327,80.0
2022,84.6,29.9,723.9,13.872731918238994,114.5
2023,120.3,27.3,663.7,13.976360062893082,147.6
2024,46.5,7.2,753.4,13.509033018867925,53.7
2025,123.7,56.1,728.9,14.80680031446541,179.8
