n_hours,mean_C,below_assayed,synergy_15_20,neutral_20_24,antagonism_24_28,above_assayed,site,lat,lon,year,period
2544,12.77995283018868,1840,523,143,36,2,"Rothamsted, UK",51.81,-0.36,1961,early
2544,10.750550314465409,2084,411,49,0,0,"Rothamsted, UK",51.81,-0.36,1962,early
2544,11.388561320754716,1974,486,84,0,0,"Rothamsted, UK",51.81,-0.36,1963,early
2544,12.279756289308176,1826,603,112,3,0,"Rothamsted, UK",51.81,-0.36,1964,early
2544,11.698191823899373,1934,555,53,2,0,"Rothamsted, UK",51.81,-0.36,1965,early
2544,11.979088050314465,1802,612,127,3,0,"Rothamsted, UK",51.81,-0.36,1966,early
2544,11.438364779874215,1936,506,96,6,0,"Rothamsted, UK",51.81,-0.36,1967,early
2544,11.264308176100629,1967,512,43,20,2,"Rothamsted, UK",51.81,-0.36,1968,early
2544,11.3625393081761,1951,452,129,12,0,"Rothamsted, UK",51.81,-0.36,1969,early
2544,12.149292452830188,1721,639,150,34,0,"Rothamsted, UK",51.81,-0.36,1970,early
2544,11.34689465408805,1968,449,108,19,0,"Rothamsted, UK",51.81,-0.36,1971,early
2544,10.522012578616351,2282,236,26,0,0,"Rothamsted, UK",51.81,-0.36,1972,early
2544,11.649174528301886,1824,579,141,0,0,"Rothamsted, UK",51.81,-0.36,1973,early
2544,11.216981132075471,2029,460,55,0,0,"Rothamsted, UK",51.81,-0.36,1974,early
2544,11.145322327044026,1961,401,178,4,0,"Rothamsted, UK",51.81,-0.36,1975,early
2544,13.461556603773584,1615,507,228,148,46,"Rothamsted, UK",51.81,-0.36,1976,early
2544,10.523624213836479,2132,310,92,10,0,"Rothamsted, UK",51.81,-0.36,1977,early
2544,10.542767295597484,2124,343,77,0,0,"Rothamsted, UK",51.81,-0.36,1978,early
2544,11.173899371069183,1935,513,91,5,0,"Rothamsted, UK",51.81,-0.36,1979,early
2544,11.114583333333334,2065,435,38,6,0,"Rothamsted, UK",51.81,-0.36,1980,early
2544,11.262893081761005,1995,494,53,2,0,"Rothamsted, UK",51.81,-0.36,1981,early
2544,12.385534591194968,1742,617,156,29,0,"Rothamsted, UK",51.81,-0.36,1982,early
2544,11.51757075471698,1927,415,132,65,5,"Rothamsted, UK",51.81,-0.36,1983,early
2544,11.223938679245283,1947,477,105,15,0,"Rothamsted, UK",51.81,-0.36,1984,early
2544,11.388915094339621,2023,438,74,9,0,"Rothamsted, UK",51.81,-0.36,1985,early
2544,11.245007861635221,1929,438,132,45,0,"Rothamsted, UK",51.81,-0.36,1986,early
2544,11.77185534591195,1926,510,96,12,0,"Rothamsted, UK",51.81,-0.36,1987,early
2544,11.61623427672956,1993,494,57,0,0,"Rothamsted, UK",51.81,-0.36,1988,early
2544,12.290723270440251,1714,543,238,49,0,"Rothamsted, UK",51.81,-0.36,1989,early
2544,12.122327044025157,1835,573,127,9,0,"Rothamsted, UK",51.81,-0.36,1990,early
2544,11.282743710691824,1930,461,129,24,0,"Rothamsted, UK",51.81,-0.36,1996,recent
2544,11.999685534591194,1894,513,137,0,0,"Rothamsted, UK",51.81,-0.36,1997,recent
2544,12.020754716981132,1863,586,85,10,0,"Rothamsted, UK",51.81,-0.36,1998,recent
2544,12.564544025157234,1819,579,145,1,0,"Rothamsted, UK",51.81,-0.36,1999,recent
2544,11.92999213836478,1920,532,75,17,0,"Rothamsted, UK",51.81,-0.36,2000,recent
2544,11.987382075471697,1792,573,141,38,0,"Rothamsted, UK",51.81,-0.36,2001,recent
2544,12.025,1931,562,49,2,0,"Rothamsted, UK",51.81,-0.36,2002,recent
2544,13.241470125786162,1625,692,193,31,3,"Rothamsted, UK",51.81,-0.36,2003,recent
2544,12.407625786163521,1800,645,85,14,0,"Rothamsted, UK",51.81,-0.36,2004,recent
2544,12.722444968553459,1774,537,160,69,4,"Rothamsted, UK",51.81,-0.36,2005,recent
2544,13.017138364779877,1678,603,200,63,0,"Rothamsted, UK",51.81,-0.36,2006,recent
2544,13.036556603773585,1714,756,74,0,0,"Rothamsted, UK",51.81,-0.36,2007,recent
2544,12.255463836477988,1787,675,82,0,0,"Rothamsted, UK",51.81,-0.36,2008,recent
2544,12.754992138364779,1830,565,122,27,0,"Rothamsted, UK",51.81,-0.36,2009,recent
2544,12.462657232704403,1702,565,228,49,0,"Rothamsted, UK",51.81,-0.36,2010,recent
2544,13.245479559748428,1704,701,123,16,0,"Rothamsted, UK",51.81,-0.36,2011,recent
2544,11.31497641509434,1999,459,81,5,0,"Rothamsted, UK",51.81,-0.36,2012,recent
2544,11.287971698113207,1946,456,103,38,1,"Rothamsted, UK",51.81,-0.36,2013,recent
2544,13.042806603773583,1769,649,126,0,0,"Rothamsted, UK",51.81,-0.36,2014,recent
2544,12.384001572327044,1838,547,130,19,10,"Rothamsted, UK",51.81,-0.36,2015,recent
2544,11.954048742138363,1826,640,78,0,0,"Rothamsted, UK",51.81,-0.36,2016,recent
2544,13.4999213836478,1581,680,212,56,15,"Rothamsted, UK",51.81,-0.36,2017,recent
2544,13.972916666666666,1518,644,257,123,2,"Rothamsted, UK",51.81,-0.36,2018,recent
2544,12.279756289308176,1753,625,152,9,5,"Rothamsted, UK",51.81,-0.36,2019,recent
2544,13.322051886792455,1587,707,205,38,7,"Rothamsted, UK",51.81,-0.36,2020,recent
2544,11.462146226415095,1866,514,141,23,0,"Rothamsted, UK",51.81,-0.36,2021,recent
2544,13.310259433962266,1627,681,163,61,12,"Rothamsted, UK",51.81,-0.36,2022,recent
2544,12.997916666666669,1640,630,197,71,6,"Rothamsted, UK",51.81,-0.36,2023,recent
2544,12.620636792452832,1789,647,84,24,0,"Rothamsted, UK",51.81,-0.36,2024,recent
2544,14.348270440251572,1433,689,272,121,29,"Rothamsted, UK",51.81,-0.36,2025,recent
2544,13.152751572327047,1759,562,168,49,6,"Cambridge, UK",52.2,0.13,1961,early
2544,11.08309748427673,2036,432,76,0,0,"Cambridge, UK",52.2,0.13,1962,early
2544,11.829205974842766,1903,550,91,0,0,"Cambridge, UK",52.2,0.13,1963,early
2544,12.741116352201258,1745,649,142,8,0,"Cambridge, UK",52.2,0.13,1964,early
2544,12.114740566037737,1843,604,95,2,0,"Cambridge, UK",52.2,0.13,1965,early
2544,12.393238993710693,1733,639,161,11,0,"Cambridge, UK",52.2,0.13,1966,early
2544,11.788050314465407,1861,548,125,10,0,"Cambridge, UK",52.2,0.13,1967,early
2544,11.683883647798742,1899,576,44,24,1,"Cambridge, UK",52.2,0.13,1968,early
2544,11.690919811320754,1886,509,138,11,0,"Cambridge, UK",52.2,0.13,1969,early
2544,12.567295597484277,1651,659,188,45,1,"Cambridge, UK",52.2,0.13,1970,early
2544,11.603852201257862,1938,480,103,23,0,"Cambridge, UK",52.2,0.13,1971,early
2544,11.068592767295597,2183,337,24,0,0,"Cambridge, UK",52.2,0.13,1972,early
2544,12.032940251572326,1774,581,181,8,0,"Cambridge, UK",52.2,0.13,1973,early
2544,11.545361635220125,1952,534,58,0,0,"Cambridge, UK",52.2,0.13,1974,early
2544,11.332507861635222,1938,416,184,6,0,"Cambridge, UK",52.2,0.13,1975,early
2544,13.810849056603775,1546,559,227,159,53,"Cambridge, UK",52.2,0.13,1976,early
2544,10.812303459119496,2089,357,79,19,0,"Cambridge, UK",52.2,0.13,1977,early
2544,10.751768867924529,2080,374,86,4,0,"Cambridge, UK",52.2,0.13,1978,early
2544,11.580856918238995,1858,557,121,8,0,"Cambridge, UK",52.2,0.13,1979,early
2544,11.459787735849057,1980,507,52,5,0,"Cambridge, UK",52.2,0.13,1980,early
2544,11.666784591194968,1890,576,70,8,0,"Cambridge, UK",52.2,0.13,1981,early
2544,12.726533018867926,1679,653,169,43,0,"Cambridge, UK",52.2,0.13,1982,early
2544,11.737696540880503,1900,449,126,59,10,"Cambridge, UK",52.2,0.13,1983,early
2544,11.378380503144655,1913,503,108,20,0,"Cambridge, UK",52.2,0.13,1984,early
2544,11.715762578616353,1943,506,84,11,0,"Cambridge, UK",52.2,0.13,1985,early
2544,11.733962264150943,1860,484,142,58,0,"Cambridge, UK",52.2,0.13,1986,early
2544,12.12004716981132,1877,521,131,15,0,"Cambridge, UK",52.2,0.13,1987,early
2544,11.885849056603773,1913,574,57,0,0,"Cambridge, UK",52.2,0.13,1988,early
2544,12.494378930817609,1711,532,244,57,0,"Cambridge, UK",52.2,0.13,1989,early
2544,12.464386792452832,1761,618,147,18,0,"Cambridge, UK",52.2,0.13,1990,early
2544,11.763404088050313,1840,512,147,41,4,"Cambridge, UK",52.2,0.13,1996,recent
2544,12.321580188679246,1830,536,178,0,0,"Cambridge, UK",52.2,0.13,1997,recent
2544,12.384827044025158,1797,633,106,8,0,"Cambridge, UK",52.2,0.13,1998,recent
2544,12.966823899371068,1717,655,168,4,0,"Cambridge, UK",52.2,0.13,1999,recent
2544,12.268946540880503,1872,552,102,14,4,"Cambridge, UK",52.2,0.13,2000,recent
2544,12.27743710691824,1738,609,158,39,0,"Cambridge, UK",52.2,0.13,2001,recent
2544,12.53565251572327,1785,701,53,5,0,"Cambridge, UK",52.2,0.13,2002,recent
2544,13.677201257861633,1489,783,236,33,3,"Cambridge, UK",52.2,0.13,2003,recent
2544,12.822877358490567,1719,702,104,19,0,"Cambridge, UK",52.2,0.13,2004,recent
2544,13.060888364779872,1711,571,185,67,10,"Cambridge, UK",52.2,0.13,2005,recent
2544,13.299685534591193,1626,619,226,67,6,"Cambridge, UK",52.2,0.13,2006,recent
2544,13.314150943396225,1641,810,93,0,0,"Cambridge, UK",52.2,0.13,2007,recent
2544,12.633608490566038,1717,712,107,8,0,"Cambridge, UK",52.2,0.13,2008,recent
2544,13.240330188679243,1708,643,161,32,0,"Cambridge, UK",52.2,0.13,2009,recent
2544,12.902869496855347,1640,575,246,79,4,"Cambridge, UK",52.2,0.13,2010,recent
2544,13.739190251572326,1562,810,148,19,5,"Cambridge, UK",52.2,0.13,2011,recent
2544,11.687106918238994,1892,540,103,9,0,"Cambridge, UK",52.2,0.13,2012,recent
2544,11.661360062893081,1869,537,101,36,1,"Cambridge, UK",52.2,0.13,2013,recent
2544,13.409198113207546,1683,709,147,5,0,"Cambridge, UK",52.2,0.13,2014,recent
2544,12.69559748427673,1755,578,173,29,9,"Cambridge, UK",52.2,0.13,2015,recent
2544,12.295361635220125,1724,718,102,0,0,"Cambridge, UK",52.2,0.13,2016,recent
2544,14.049606918238995,1464,734,279,56,11,"Cambridge, UK",52.2,0.13,2017,recent
2544,14.407665094339622,1458,672,281,125,8,"Cambridge, UK",52.2,0.13,2018,recent
2544,12.787224842767298,1648,703,168,25,0,"Cambridge, UK",52.2,0.13,2019,recent
2544,13.797012578616352,1499,741,250,42,12,"Cambridge, UK",52.2,0.13,2020,recent
2544,11.995125786163523,1744,567,203,30,0,"Cambridge, UK",52.2,0.13,2021,recent
2544,13.862657232704402,1517,734,212,60,21,"Cambridge, UK",52.2,0.13,2022,recent
2544,13.57201257861635,1578,635,228,92,11,"Cambridge, UK",52.2,0.13,2023,recent
2544,13.15888364779874,1664,742,115,23,0,"Cambridge, UK",52.2,0.13,2024,recent
2544,14.980660377358491,1329,717,299,166,33,"Cambridge, UK",52.2,0.13,2025,recent
2544,12.040605345911949,1983,528,33,0,0,"Oak Park, IE",52.86,-6.92,1961,early
2544,10.92126572327044,2070,456,18,0,0,"Oak Park, IE",52.86,-6.92,1962,early
2544,11.209512578616351,2113,379,52,0,0,"Oak Park, IE",52.86,-6.92,1963,early
2544,11.745361635220126,2073,441,30,0,0,"Oak Park, IE",52.86,-6.92,1964,early
2544,11.534473270440252,2066,472,6,0,0,"Oak Park, IE",52.86,-6.92,1965,early
2544,11.694457547169812,1976,531,37,0,0,"Oak Park, IE",52.86,-6.92,1966,early
2544,11.376572327044023,2000,461,81,2,0,"Oak Park, IE",52.86,-6.92,1967,early
2544,10.715251572327045,2102,399,43,0,0,"Oak Park, IE",52.86,-6.92,1968,early
2544,11.130227987421383,2078,375,80,11,0,"Oak Park, IE",52.86,-6.92,1969,early
2544,12.070794025157232,1852,554,123,15,0,"Oak Park, IE",52.86,-6.92,1970,early
2544,11.299135220125786,2105,359,80,0,0,"Oak Park, IE",52.86,-6.92,1971,early
2544,10.197720125786164,2410,118,16,0,0,"Oak Park, IE",52.86,-6.92,1972,early
2544,11.416077044025156,1954,553,37,0,0,"Oak Park, IE",52.86,-6.92,1973,early
2544,11.204599056603774,2114,400,30,0,0,"Oak Park, IE",52.86,-6.92,1974,early
2544,11.987224842767295,1820,543,171,10,0,"Oak Park, IE",52.86,-6.92,1975,early
2544,12.463404088050314,1794,557,114,69,10,"Oak Park, IE",52.86,-6.92,1976,early
2544,11.132861635220124,1990,443,96,15,0,"Oak Park, IE",52.86,-6.92,1977,early
2544,10.910102201257862,2084,389,71,0,0,"Oak Park, IE",52.86,-6.92,1978,early
2544,10.53309748427673,2076,409,59,0,0,"Oak Park, IE",52.86,-6.92,1979,early
2544,11.101611635220126,2195,339,10,0,0,"Oak Park, IE",52.86,-6.92,1980,early
2544,11.22932389937107,2187,336,21,0,0,"Oak Park, IE",52.86,-6.92,1981,early
2544,11.870165094339622,1940,536,68,0,0,"Oak Park, IE",52.86,-6.92,1982,early
2544,11.02181603773585,2010,329,125,69,11,"Oak Park, IE",52.86,-6.92,1983,early
2544,11.921029874213838,1900,532,112,0,0,"Oak Park, IE",52.86,-6.92,1984,early
2544,11.160849056603773,2147,358,39,0,0,"Oak Park, IE",52.86,-6.92,1985,early
2544,10.619693396226415,2065,403,75,1,0,"Oak Park, IE",52.86,-6.92,1986,early
2544,11.544496855345912,2006,497,41,0,0,"Oak Park, IE",52.86,-6.92,1987,early
2544,11.906682389937108,1994,455,92,3,0,"Oak Park, IE",52.86,-6.92,1988,early
2544,12.042413522012579,1805,502,200,37,0,"Oak Park, IE",52.86,-6.92,1989,early
2544,11.771187106918239,1974,499,71,0,0,"Oak Park, IE",52.86,-6.92,1990,early
2544,11.02759433962264,2098,407,39,0,0,"Oak Park, IE",52.86,-6.92,1996,recent
2544,11.853891509433963,2024,468,52,0,0,"Oak Park, IE",52.86,-6.92,1997,recent
2544,11.450117924528303,2008,488,48,0,0,"Oak Park, IE",52.86,-6.92,1998,recent
2544,12.106092767295598,2021,448,63,12,0,"Oak Park, IE",52.86,-6.92,1999,recent
2544,11.275432389937107,2068,413,63,0,0,"Oak Park, IE",52.86,-6.92,2000,recent
2544,11.648584905660377,1950,520,74,0,0,"Oak Park, IE",52.86,-6.92,2001,recent
2544,11.21442610062893,2198,342,4,0,0,"Oak Park, IE",52.86,-6.92,2002,recent
2544,12.24815251572327,1893,585,62,4,0,"Oak Park, IE",52.86,-6.92,2003,recent
2544,12.00133647798742,1931,581,32,0,0,"Oak Park, IE",52.86,-6.92,2004,recent
2544,12.115408805031448,1890,521,114,19,0,"Oak Park, IE",52.86,-6.92,2005,recent
2544,12.280621069182391,1891,497,156,0,0,"Oak Park, IE",52.86,-6.92,2006,recent
2544,12.555070754716981,1958,551,35,0,0,"Oak Park, IE",52.86,-6.92,2007,recent
2544,11.68195754716981,2008,501,35,0,0,"Oak Park, IE",52.86,-6.92,2008,recent
2544,11.94681603773585,1941,526,73,4,0,"Oak Park, IE",52.86,-6.92,2009,recent
2544,11.986477987421384,1838,641,65,0,0,"Oak Park, IE",52.86,-6.92,2010,recent
2544,12.044182389937108,2099,425,20,0,0,"Oak Park, IE",52.86,-6.92,2011,recent
2544,10.78502358490566,2140,363,41,0,0,"Oak Park, IE",52.86,-6.92,2012,recent
2544,11.51316823899371,1983,414,95,52,0,"Oak Park, IE",52.86,-6.92,2013,recent
2544,12.447916666666666,1882,610,52,0,0,"Oak Park, IE",52.86,-6.92,2014,recent
2544,11.351729559748426,2035,476,33,0,0,"Oak Park, IE",52.86,-6.92,2015,recent
2544,11.759591194968554,1903,569,72,0,0,"Oak Park, IE",52.86,-6.92,2016,recent
2544,12.198663522012577,1937,499,94,14,0,"Oak Park, IE",52.86,-6.92,2017,recent
2544,13.062146226415093,1641,594,240,67,2,"Oak Park, IE",52.86,-6.92,2018,recent
2544,11.389897798742137,2001,483,60,0,0,"Oak Park, IE",52.86,-6.92,2019,recent
2544,12.085416666666667,1968,501,71,4,0,"Oak Park, IE",52.86,-6.92,2020,recent
2544,10.970400943396228,1991,501,52,0,0,"Oak Park, IE",52.86,-6.92,2021,recent
2544,12.152633647798742,1922,531,88,3,0,"Oak Park, IE",52.86,-6.92,2022,recent
2544,12.98989779874214,1639,764,129,12,0,"Oak Park, IE",52.86,-6.92,2023,recent
2544,11.833018867924528,2055,448,41,0,0,"Oak Park, IE",52.86,-6.92,2024,recent
2544,12.925589622641509,1687,723,102,28,4,"Oak Park, IE",52.86,-6.92,2025,recent
2544,14.248349056603775,1539,727,202,63,13,"Rennes, FR",48.11,-1.68,1961,early
2544,12.897130503144655,1716,558,231,39,0,"Rennes, FR",48.11,-1.68,1962,early
2544,12.813050314465409,1726,669,127,22,0,"Rennes, FR",48.11,-1.68,1963,early
2544,13.935023584905663,1489,772,242,40,1,"Rennes, FR",48.11,-1.68,1964,early
2544,13.269654088050315,1647,704,179,14,0,"Rennes, FR",48.11,-1.68,1965,early
2544,14.026218553459119,1579,697,235,33,0,"Rennes, FR",48.11,-1.68,1966,early
2544,12.973781446540881,1697,608,194,39,6,"Rennes, FR",48.11,-1.68,1967,early
2544,12.9624606918239,1672,658,168,28,18,"Rennes, FR",48.11,-1.68,1968,early
2544,13.275982704402518,1700,574,175,87,8,"Rennes, FR",48.11,-1.68,1969,early
2544,13.546265723270439,1470,757,280,35,2,"Rennes, FR",48.11,-1.68,1970,early
2544,14.162224842767294,1526,697,224,69,28,"Rennes, FR",48.11,-1.68,1971,early
2544,12.02173742138365,2036,420,75,13,0,"Rennes, FR",48.11,-1.68,1972,early
2544,13.196580188679247,1597,647,247,50,3,"Rennes, FR",48.11,-1.68,1973,early
2544,13.119889937106919,1676,682,158,28,0,"Rennes, FR",48.11,-1.68,1974,early
2544,13.177083333333334,1628,594,275,47,0,"Rennes, FR",48.11,-1.68,1975,early
2544,15.58372641509434,1271,606,351,185,131,"Rennes, FR",48.11,-1.68,1976,early
2544,12.728891509433963,1736,607,141,60,0,"Rennes, FR",48.11,-1.68,1977,early
2544,12.453537735849057,1797,594,124,29,0,"Rennes, FR",48.11,-1.68,1978,early
2544,12.691509433962265,1691,634,187,32,0,"Rennes, FR",48.11,-1.68,1979,early
