"sample","median_cooks","frac_genes_cooks_gt_F99"
"12129_15_0_R8_S16",0.0023,2e-04
"12129_21_0_R2_S26",0.0064,2e-04
"12129_27_0_R2_S41",0.0064,1e-04
"12129_15_0_R1_S9",0.0023,0
"12129_15_0_R2_S10",0.0032,0
"12129_15_0_R3_S11",0.0041,0
"12129_15_0_R4_S12",0.002,0
"12129_15_0_R5_S13",0.0024,0
"12129_15_0_R6_S14",0.003,0
"12129_15_0_R7_S15",0.01,0
"12129_15_2_R1_S17",0.0037,0
"12129_15_2_R2_S18",0.0049,0
"12129_15_2_R3_S19",0.0113,0
"12129_15_2_R4_S20",0.0044,0
"12129_15_2_R5_S21",0.0045,0
"12129_15_2_R6_S22",0.0098,0
"12129_15_2_R7_S23",0.0036,0
"12129_15_2_R8_S24",0.0029,0
"12129_21_0_R1_S25",0.0015,0
"12129_21_0_R3_S27",0.0011,0
"12129_21_0_R4_S28",0.003,0
"12129_21_0_R5_S29",0.0018,0
"12129_21_0_R6_S30",0.0015,0
"12129_21_0_R7_S31",0.0024,0
"12129_21_0_R8_S32",0.0013,0
"12129_21_2_R1_S33",0.0044,0
"12129_21_2_R3_S34",0.0047,0
"12129_21_2_R4_S35",0.0063,0
"12129_21_2_R5_S36",0.0165,0
"12129_21_2_R6_S37",0.0061,0
"12129_21_2_R7_S38",0.0054,0
"12129_21_2_R8_S39",0.0088,0
"12129_27_0_R1_S40",0.0055,0
"12129_27_0_R4_S42",0.0052,0
"12129_27_0_R5_S43",0.0041,0
"12129_27_0_R6_S44",0.0053,0
"12129_27_0_R7_S45",0.0081,0
"12129_27_0_R8_S46",0.0029,0
"12129_27_2_R1_S47",0.0059,0
"12129_27_2_R2_S48",0.0047,0
"12129_27_2_R3_S49",0.015,0
"12129_27_2_R4_S50",0.0058,0
"12129_27_2_R6_S51",0.0055,0
"12129_27_2_R7_S52",0.005,0
"12129_27_2_R8_S53",0.0087,0
