"sample","temperature","prothioconazole","group","temp_label","proth_label"
"12129_15_0_R1_S9","15","0","15_0","15C","0ug/mL"
"12129_15_0_R2_S10","15","0","15_0","15C","0ug/mL"
"12129_15_0_R3_S11","15","0","15_0","15C","0ug/mL"
"12129_15_0_R4_S12","15","0","15_0","15C","0ug/mL"
"12129_15_0_R5_S13","15","0","15_0","15C","0ug/mL"
"12129_15_0_R6_S14","15","0","15_0","15C","0ug/mL"
"12129_15_0_R7_S15","15","0","15_0","15C","0ug/mL"
"12129_15_0_R8_S16","15","0","15_0","15C","0ug/mL"
"12129_15_2_R1_S17","15","2","15_2","15C","2ug/mL"
"12129_15_2_R2_S18","15","2","15_2","15C","2ug/mL"
"12129_15_2_R3_S19","15","2","15_2","15C","2ug/mL"
"12129_15_2_R4_S20","15","2","15_2","15C","2ug/mL"
"12129_15_2_R5_S21","15","2","15_2","15C","2ug/mL"
"12129_15_2_R6_S22","15","2","15_2","15C","2ug/mL"
"12129_15_2_R7_S23","15","2","15_2","15C","2ug/mL"
"12129_15_2_R8_S24","15","2","15_2","15C","2ug/mL"
"12129_21_0_R1_S25","21","0","21_0","21C","0ug/mL"
"12129_21_0_R2_S26","21","0","21_0","21C","0ug/mL"
"12129_21_0_R3_S27","21","0","21_0","21C","0ug/mL"
"12129_21_0_R4_S28","21","0","21_0","21C","0ug/mL"
"12129_21_0_R5_S29","21","0","21_0","21C","0ug/mL"
"12129_21_0_R6_S30","21","0","21_0","21C","0ug/mL"
"12129_21_0_R7_S31","21","0","21_0","21C","0ug/mL"
"12129_21_0_R8_S32","21","0","21_0","21C","0ug/mL"
"12129_21_2_R1_S33","21","2","21_2","21C","2ug/mL"
"12129_21_2_R3_S34","21","2","21_2","21C","2ug/mL"
"12129_21_2_R4_S35","21","2","21_2","21C","2ug/mL"
"12129_21_2_R5_S36","21","2","21_2","21C","2ug/mL"
"12129_21_2_R6_S37","21","2","21_2","21C","2ug/mL"
"12129_21_2_R7_S38","21","2","21_2","21C","2ug/mL"
"12129_21_2_R8_S39","21","2","21_2","21C","2ug/mL"
"12129_27_0_R1_S40","27","0","27_0","27C","0ug/mL"
"12129_27_0_R2_S41","27","0","27_0","27C","0ug/mL"
"12129_27_0_R4_S42","27","0","27_0","27C","0ug/mL"
"12129_27_0_R5_S43","27","0","27_0","27C","0ug/mL"
"12129_27_0_R6_S44","27","0","27_0","27C","0ug/mL"
"12129_27_0_R7_S45","27","0","27_0","27C","0ug/mL"
"12129_27_0_R8_S46","27","0","27_0","27C","0ug/mL"
"12129_27_2_R1_S47","27","2","27_2","27C","2ug/mL"
"12129_27_2_R2_S48","27","2","27_2","27C","2ug/mL"
"12129_27_2_R3_S49","27","2","27_2","27C","2ug/mL"
"12129_27_2_R4_S50","27","2","27_2","27C","2ug/mL"
"12129_27_2_R6_S51","27","2","27_2","27C","2ug/mL"
"12129_27_2_R7_S52","27","2","27_2","27C","2ug/mL"
"12129_27_2_R8_S53","27","2","27_2","27C","2ug/mL"
