stat,value
n,156
ti_edf,5.504271486293831
ti_F,4.615050678807717
ti_p,1.1488718904417716e-4
AIC_sep,-7.2672010510913765
AIC_int,-29.35818904629469
dAIC,22.090987995203314
anova_F,4.272010357617546
anova_p,6.347192165060614e-5
loo_rmse_sep,0.2343181141806241
loo_rmse_int,0.21618142335434629
loo_mae_sep,0.16548444220135644
loo_mae_int,0.15013668867401095
loo_paired_mean,0.008170570829652888
loo_paired_lo,0.001902878954572062
loo_paired_hi,0.014438262704733714
loo_paired_p,0.010955876877486816
pct_points_better,53.205128205128204
