kegg_id,kegg_name,n_pathway,n_interaction,expected,p,padj
map03010,Ribosome,117,91,18.65088500380063,2.6212460978714055e-50,8.46662489612464e-48
map03008,Ribosome biogenesis in eukaryotes,70,30,11.158649147573026,7.24551173470327e-08,9.472292406738212e-06
map01120,Microbial metabolism in diverse environments,261,75,41.605820393093715,8.797794805020011e-08,9.472292406738212e-06
map03040,Spliceosome,93,34,14.825062438918449,9.687985990309693e-07,7.823048687175076e-05
map05016,Huntington disease,86,32,13.709197524161146,1.2827265700988418e-06,8.286413642838519e-05
map01200,Carbon metabolism,122,39,19.44793137148442,7.432156399459117e-06,0.0004000977528375491
map04932,Non-alcoholic fatty liver disease,56,22,8.92691931805842,2.14606309229871e-05,0.0008689027369081825
map03013,Nucleocytoplasmic transport,84,29,13.390378977087632,2.1520810821255295e-05,0.0008689027369081825
map05010,Alzheimer disease,70,25,11.158649147573026,4.1058874806555014e-05,0.0014735573958352523
map00250,"Alanine, aspartate and glutamate metabolism",32,14,5.101096753176241,0.00017633045514080462,0.005695473701047989
map00680,Methane metabolism,29,13,4.622868932565968,0.00022311395211289614,0.0064473287761892956
map00010,Glycolysis / Gluconeogenesis,52,19,8.28928222391139,0.00023952924245904502,0.0064473287761892956
map05012,Parkinson disease,69,23,10.999239874036268,0.00027088279433603316,0.006730395582349132
map03020,RNA polymerase,27,12,4.304050385492453,0.00042918327104982085,0.00990187118207801
map05322,Systemic lupus erythematosus,11,7,1.7535020089043327,0.0004700031039272398,0.010120733504566564
map00620,Pyruvate metabolism,52,18,8.28928222391139,0.0007372093385788288,0.014882413522560105
map00020,Citrate cycle (TCA cycle),33,13,5.260506026712998,0.0010094943229944826,0.01918039213689517
map00240,Pyrimidine metabolism,71,22,11.318058421109784,0.0011205273654089068,0.020107241057059827
map05168,Herpes simplex virus 1 infection,30,12,4.782278206102726,0.0013414498251023198,0.022804647026739438
map04714,Thermogenesis,105,29,16.73797372135954,0.0015746769569551804,0.024298049353842804
map04623,Cytosolic DNA-sensing pathway,16,8,2.5505483765881203,0.0015797493387947335,0.024298049353842804
map00360,Phenylalanine metabolism,39,14,6.2169616679335435,0.0018851755664716823,0.027677804907743332
map00190,Oxidative phosphorylation,84,24,13.390378977087632,0.0023620645869211697,0.0331716026771973
map04260,Cardiac muscle contraction,17,8,2.7099576501248777,0.0025703428045521213,0.0345925302445973
map00230,Purine metabolism,110,29,17.53502008904333,0.003361124473562728,0.042925754016767376
map01100,Metabolic pathways,977,186,155.7428602454121,0.0034553238527428847,0.042925754016767376
map04622,RIG-I-like receptor signaling pathway,11,6,1.7535020089043327,0.003634006287933044,0.04325500733696181
map04612,Antigen processing and presentation,8,5,1.2752741882940601,0.0037496600787459157,0.04325500733696181
map05205,Proteoglycans in cancer,26,10,4.144641111955695,0.004687376779785126,0.05220767930588261
map00071,Fatty acid degradation,36,12,5.738733847323271,0.007710554082361582,0.08033899898718681
map00051,Fructose and mannose metabolism,36,12,5.738733847323271,0.007710554082361582,0.08033899898718681
map01210,2-Oxocarboxylic acid metabolism,41,13,6.535780215007058,0.008998456687656867,0.0908281721910365
map01110,Biosynthesis of secondary metabolites,387,79,61.69138885872516,0.010067050158474762,0.09625204324431988
map01521,EGFR tyrosine kinase inhibitor resistance,13,6,2.0723205559778477,0.010131794025717882,0.09625204324431988
map00630,Glyoxylate and dicarboxylate metabolism,39,12,6.2169616679335435,0.015237075738826484,0.13497485567128595
map05230,Central carbon metabolism in cancer,14,6,2.231729829514605,0.015375228869719556,0.13497485567128595
map05164,Influenza A,26,9,4.144641111955695,0.015461515974729348,0.13497485567128595
map00380,Tryptophan metabolism,53,15,8.448691497448149,0.015911205841828886,0.13524524965554552
map00561,Glycerolipid metabolism,40,12,6.3763709414703005,0.018695264365884957,0.15483513820976516
map05204,Chemical carcinogenesis - DNA adducts,27,9,4.304050385492453,0.019992685044845273,0.160432612328842
map05145,Toxoplasmosis,11,5,1.7535020089043327,0.02036451116248459,0.160432612328842
map04066,HIF-1 signaling pathway,15,6,2.391139103051363,0.02223481128868287,0.17099628681534684
map00981,Insect hormone biosynthesis,8,4,1.2752741882940601,0.02627640562905468,0.19737858181824794
map05167,Kaposi sarcoma-associated herpesvirus infection,20,7,3.1881854707351502,0.02966695963102086,0.21778245365499405
map04723,Retrograde endocannabinoid signaling,38,11,6.057552394396786,0.030863222050769457,0.2215293493866341
map03015,mRNA surveillance pathway,48,13,7.651645129764361,0.033787305214182835,0.23429399208573806
map04151,PI3K-Akt signaling pathway,34,10,5.419915300249755,0.034817683034413086,0.23429399208573806
map00310,Lysine degradation,34,10,5.419915300249755,0.034817683034413086,0.23429399208573806
map00982,Drug metabolism - cytochrome P450,30,9,4.782278206102726,0.039192941926416376,0.2573462814278398
map05212,Pancreatic cancer,9,4,1.4346834618308177,0.04143036109674201,0.2573462814278398
map04960,Aldosterone-regulated sodium reabsorption,9,4,1.4346834618308177,0.04143036109674201,0.2573462814278398
map00903,Limonene degradation,9,4,1.4346834618308177,0.04143036109674201,0.2573462814278398
map05215,Prostate cancer,13,5,2.0723205559778477,0.04309052733087126,0.25774519125687806
map05161,Hepatitis B,13,5,2.0723205559778477,0.04309052733087126,0.25774519125687806
map00330,Arginine and proline metabolism,55,14,8.767510044521664,0.046184608815127266,0.2712296117688383
map00625,Chloroalkane and chloroalkene degradation,22,7,3.5070040178086654,0.049016863499001986,0.28272226625317215
map00980,Metabolism of xenobiotics by cytochrome P450,36,10,5.738733847323271,0.050172406108546855,0.28431030128176554
map04214,Apoptosis - fly,18,6,2.8693669236616355,0.05408290394410548,0.29356124286266677
map04659,Th17 cell differentiation,6,3,0.9564556412205452,0.055440358559203325,0.29356124286266677
map04668,TNF signaling pathway,6,3,0.9564556412205452,0.055440358559203325,0.29356124286266677
map00906,Carotenoid biosynthesis,6,3,0.9564556412205452,0.055440358559203325,0.29356124286266677
map01230,Biosynthesis of amino acids,125,27,19.92615919209469,0.056992228023958896,0.2951811978569492
map00362,Benzoate degradation,14,5,2.231729829514605,0.05848791536484442,0.2951811978569492
map00720,Other carbon fixation pathways,14,5,2.231729829514605,0.05848791536484442,0.2951811978569492
map05169,Epstein-Barr virus infection,73,17,11.6368769681833,0.06424077151165566,0.31922721843484275
map04810,Regulation of actin cytoskeleton,28,8,4.46345965902921,0.06551131675261065,0.32060841380444305
map01524,Platinum drug resistance,33,9,5.260506026712998,0.06811607425395179,0.32663708709446243
map04510,Focal adhesion,19,6,3.028776197198393,0.06876570254620261,0.32663708709446243
map02020,Two-component system,24,7,3.8258225648821806,0.07488139576111849,0.3505317511716126
map04370,VEGF signaling pathway,15,5,2.391139103051363,0.07661446740292517,0.35352104244492616
map05225,Hepatocellular carcinoma,34,9,5.419915300249755,0.08010349509298555,0.3551378905991324
map00450,Selenocompound metabolism,11,4,1.7535020089043327,0.0835038823591357,0.3551378905991324
map00860,Porphyrin metabolism,20,6,3.1881854707351502,0.08552230665270907,0.3551378905991324
map05416,Viral myocarditis,7,3,1.1158649147573025,0.08576085283818058,0.3551378905991324
map05221,Acute myeloid leukemia,7,3,1.1158649147573025,0.08576085283818058,0.3551378905991324
map04930,Type II diabetes mellitus,7,3,1.1158649147573025,0.08576085283818058,0.3551378905991324
map00660,C5-Branched dibasic acid metabolism,7,3,1.1158649147573025,0.08576085283818058,0.3551378905991324
map04978,Mineral absorption,7,3,1.1158649147573025,0.08576085283818058,0.3551378905991324
map04210,Apoptosis,16,5,2.5505483765881203,0.09739922433032876,0.3982272083379264
map03018,RNA degradation,51,12,8.129872950374633,0.10178024472349104,0.4109377380710951
map05134,Legionellosis,12,4,1.9129112824410903,0.11004877781656668,0.43582082318841425
map05200,Pathways in cancer,57,13,9.086328591595178,0.11064181888993799,0.43582082318841425
map05210,Colorectal cancer,17,5,2.7099576501248777,0.12070190695824569,0.4615157804218931
map04621,NOD-like receptor signaling pathway,17,5,2.7099576501248777,0.12070190695824569,0.4615157804218931
map04657,IL-17 signaling pathway,8,3,1.2752741882940601,0.12145152116365608,0.4615157804218931
map00290,"Valine, leucine and isoleucine biosynthesis",22,6,3.5070040178086654,0.12504456592655844,0.4642459171756135
map00340,Histidine metabolism,22,6,3.5070040178086654,0.12504456592655844,0.4642459171756135
map04150,mTOR signaling pathway,43,10,6.854598762080573,0.1358412009731175,0.49334263750653823
map05226,Gastric cancer,13,4,2.0723205559778477,0.13980800025465348,0.49334263750653823
map04933,AGE-RAGE signaling pathway in diabetic complications,13,4,2.0723205559778477,0.13980800025465348,0.49334263750653823
map05034,Alcoholism,33,8,5.260506026712998,0.14345619317105787,0.49334263750653823
map04211,Longevity regulating pathway,28,7,4.46345965902921,0.14624749408700902,0.49334263750653823
map00627,Aminobenzoate degradation,28,7,4.46345965902921,0.14624749408700902,0.49334263750653823
map00410,beta-Alanine metabolism,28,7,4.46345965902921,0.14624749408700902,0.49334263750653823
map00220,Arginine biosynthesis,18,5,2.8693669236616355,0.14632460042522275,0.49334263750653823
map00280,"Valine, leucine and isoleucine degradation",49,11,7.811054403301118,0.14662815232392468,0.49334263750653823
map05220,Chronic myeloid leukemia,9,3,1.4346834618308177,0.16146210119711313,0.5263263392631857
map05203,Viral carcinogenesis,50,11,7.970463676837876,0.1625183086547837,0.5263263392631857
map00983,Drug metabolism - other enzymes,34,8,5.419915300249755,0.16294933104123396,0.5263263392631857
map00650,Butanoate metabolism,34,8,5.419915300249755,0.16294933104123396,0.5263263392631857
map05231,Choline metabolism in cancer,24,6,3.8258225648821806,0.17184976974896143,0.5353316076173296
