reference_T,T,dose,delta
15,15,0.06,0.0
15,15,0.12,0.0
15,15,0.25,0.0
15,15,0.5,0.0
15,15,1.0,0.0
15,15,2.0,0.0
15,15,4.0,0.0
15,27,0.06,0.21041077511787631
15,27,0.12,0.27130672200203976
15,27,0.25,0.3457206490947532
15,27,0.5,0.418709859083199
15,27,1.0,0.47379685908388824
15,27,2.0,0.4539465747517
15,27,4.0,0.2710384626547119
18,15,0.06,-0.12529871935480386
18,15,0.12,-0.14944057045806602
18,15,0.25,-0.16956347302073527
18,15,0.5,-0.17678902199818086
18,15,1.0,-0.16649479909273684
18,15,2.0,-0.13693609721632244
18,15,4.0,-0.09366216501762975
18,27,0.06,0.035520535453323565
18,27,0.12,0.05867431716059457
18,27,0.25,0.09692791984263316
18,27,0.5,0.14773764633370057
18,27,1.0,0.20280993035882822
18,27,2.0,0.21829757109448988
18,27,4.0,0.11769910518391752
21,15,0.06,-0.09180372589636288
21,15,0.12,-0.10381273663873025
21,15,0.25,-0.10879923172573808
21,15,0.5,-0.10182872829073725
21,15,1.0,-0.08162888996979684
21,15,2.0,-0.05112950340732586
21,15,4.0,-0.017729794417030625
21,27,0.06,0.05091012493830671
21,27,0.12,0.08110812505376086
21,27,0.25,0.12829916923974183
21,27,0.5,0.1871842963331729
21,27,1.0,0.24749259439039534
21,27,2.0,0.26588345916909667
21,27,4.0,0.17234373119105045
24,15,0.06,-0.08681278513251472
24,15,0.12,-0.09640394331449931
24,15,0.25,-0.09468581729184433
24,15,0.5,-0.07530397775674696
24,15,1.0,-0.03794030425389788
24,15,2.0,0.007761215349633699
24,15,4.0,0.04645109406051054
24,27,0.06,0.031197802786564255
24,27,0.12,0.05672457534638842
24,27,0.25,0.10219020070506268
24,27,0.5,0.16558012011094325
24,27,1.0,0.2375687847283261
24,27,2.0,0.2744648907998323
24,27,4.0,0.20828715914390372
26,15,0.06,-0.0805113338727057
26,15,0.12,-0.0890565811318873
26,15,0.25,-0.09105506019039405
26,15,0.5,-0.0833198379013203
26,15,1.0,-0.06554831523968607
26,15,2.0,-0.04056118724107416
26,15,4.0,-0.013968999031737428
26,27,0.06,0.06926759512888991
26,27,0.12,0.10498623213582947
26,27,0.25,0.15760152377966685
26,27,0.5,0.2195065407897785
26,27,1.0,0.2789020594376154
26,27,2.0,0.2908381876591875
26,27,4.0,0.18453604693558517
27,15,0.06,-0.18654085201135928
27,15,0.12,-0.24052849503699103
27,15,0.25,-0.3065005791833918
27,15,0.5,-0.37120957239561203
27,15,1.0,-0.42004726100315376
27,15,2.0,-0.40244888016966424
27,15,4.0,-0.24029066820905143
27,27,0.06,0.0
27,27,0.12,-1.1102230246251565e-16
27,27,0.25,-1.1102230246251565e-16
27,27,0.5,1.1102230246251565e-16
27,27,1.0,-1.1102230246251565e-16
27,27,2.0,0.0
27,27,4.0,0.0
28,15,0.06,-0.17590858999502434
28,15,0.12,-0.21826753109521324
28,15,0.25,-0.2573781390201989
28,15,0.5,-0.2711586538536871
28,15,1.0,-0.23768202927686977
28,15,2.0,-0.1445404420492426
28,15,4.0,-0.02260747305688382
28,27,0.06,0.009104805769822977
28,27,0.12,0.02082210731936074
28,27,0.25,0.0485769322829126
28,27,0.5,0.10190704743220402
28,27,1.0,0.18875674082318283
28,27,2.0,0.26919412701767276
28,27,4.0,0.22837405473362665
