exchange,bound,provenance
r_1654,1000.0,v1 sucrose-minimal medium default
r_1832,1000.0,v1 sucrose-minimal medium default
r_1861,1000.0,v1 sucrose-minimal medium default
r_1992,1000.0,v1 sucrose-minimal medium default
r_2005,1000.0,v1 sucrose-minimal medium default
r_2020,1000.0,v1 sucrose-minimal medium default
r_2049,1000.0,v1 sucrose-minimal medium default
r_2058,1000.0,"sucrose cap 1000 = MODEL PRIOR, effectively unbounded (substrate uptake unmeasured)"
r_2060,1000.0,v1 sucrose-minimal medium default
r_2100,1000.0,v1 sucrose-minimal medium default
r_4593,1000.0,v1 sucrose-minimal medium default
r_4594,1000.0,v1 sucrose-minimal medium default
r_4595,1000.0,v1 sucrose-minimal medium default
r_4596,1000.0,v1 sucrose-minimal medium default
r_4597,1000.0,v1 sucrose-minimal medium default
r_4600,1000.0,v1 sucrose-minimal medium default
