weighting,sector,temperature,n_samples,phi_mean,phi_sd
mass_weighted,ribosomal,15,8,0.12440170639184614,0.02389994015003529
mass_weighted,ribosomal,21,8,0.1337240143054699,0.016253954789822576
mass_weighted,ribosomal,27,7,0.08158575686705027,0.02871788644438295
mass_weighted,metabolic,15,8,0.148375661929539,0.008884981747655592
mass_weighted,metabolic,21,8,0.14893760362110736,0.006813317233077512
mass_weighted,metabolic,27,7,0.1499543885978744,0.00654193615043983
unweighted,ribosomal,15,8,0.22663962853569086,0.04250383276831887
unweighted,ribosomal,21,8,0.22984160448807156,0.022336356432296013
unweighted,ribosomal,27,7,0.13964986256423817,0.04272559484623821
unweighted,metabolic,15,8,0.10109376755281216,0.009174505159981715
unweighted,metabolic,21,8,0.10076868545650242,0.007900716164424459
unweighted,metabolic,27,7,0.10279535391544674,0.008665245745118856
